s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271523E+000, 3.1253771E+000, 1.6143566E-028, 1.6143540E-028, 1.6143511E-028, 1.6143421E-028, 1.6142055E-028, 2.8478348E-007, 1.5282789E-013
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0872924E+000, 1.2431957E+001, 3.7994799E-024, 3.7994799E-024, 3.7994799E-024, 3.7994799E-024, 3.7994799E-024, 2.6628725E-006, 4.8857693E-012
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9454929E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7066017E-001, 2.1813913E+001, 1.7508255E-013, 1.7508255E-013, 1.7508255E-013, 1.7508255E-013, 1.7508255E-013, 8.7017500E-006, 3.3049590E-011
 4.0528404E+000, 2.0755368E-001, 2.0755368E-001, 1.2830880E-110, 3.8640237E-004, 2.6000462E+001, 0.0000000E+000, 3.3077747E-001, 2.3638212E+001, 3.0184973E-018, 3.0184973E-018, 3.0184973E-018, 3.0184973E-018, 3.0184973E-018, 1.6079478E-005, 1.1476740E-010
 5.0391840E+000, 2.0755368E-001, 2.0755368E-001, 4.4214072E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0710456E+000, 2.9288075E+001, 3.8420661E-018, 3.8420661E-018, 3.8420661E-018, 3.8420661E-018, 3.8420661E-018, 2.4613903E-005, 1.8998713E-010
 6.0113531E+000, 2.0755368E-001, 2.0755368E-001, 2.6132327E-079, 3.8640237E-004, 2.6001867E+001, 2.8410982E-284, 1.4903826E+000, 3.5744128E+001, 3.4095460E-015, 3.4095460E-015, 3.4095460E-015, 3.4095460E-015, 3.4095460E-015, 3.5209017E-005, 2.5851885E-010
 7.0116832E+000, 2.0755368E-001, 2.0755368E-001, 1.0968025E-058, 3.8640237E-004, 2.6002637E+001, 2.0430178E-269, 2.0599451E+000, 4.2354354E+001, 6.3261971E-015, 6.3261971E-015, 6.3261971E-015, 6.3261971E-015, 6.3261971E-015, 4.8043157E-005, 3.4276691E-010
 8.0225115E+000, 2.0755368E-001, 2.0755368E-001, 1.0121356E-047, 3.8640237E-004, 2.6003516E+001, 2.1064804E-250, 2.6214462E+000, 4.8619997E+001, 2.2165803E-014, 2.2165803E-014, 2.2165803E-014, 2.2165803E-014, 2.2165803E-014, 6.3385271E-005, 2.0359283E-009
 9.0271050E+000, 2.0755368E-001, 2.0755368E-001, 1.0450147E-038, 3.8640237E-004, 2.6004545E+001, 7.5700071E-229, 3.1990002E+000, 5.5414770E+001, 5.9578662E-013, 5.9578662E-013, 5.9578662E-013, 5.9578662E-013, 5.9578662E-013, 8.0924216E-005, 1.1508213E-008
 1.0013299E+001, 2.0755368E-001, 2.0755368E-001, 4.1626208E-027, 3.8640237E-004, 2.6005859E+001, 6.9726791E-211, 3.8353030E+000, 6.1940822E+001, 1.7243686E-012, 1.7243686E-012, 1.7243686E-012, 1.7243686E-012, 1.7243686E-012, 1.0045327E-004, 2.6924012E-008
 1.1004207E+001, 2.0755368E-001, 2.0755368E-001, 4.1273301E-022, 3.8640237E-004, 2.6007554E+001, 3.3688932E-179, 4.5665540E+000, 6.8651747E+001, 2.5918164E-011, 2.5918164E-011, 2.5918164E-011, 2.5918164E-011, 2.5918164E-011, 1.2197485E-004, 4.5075371E-008
