s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.5993595E+001, 0.0000000E+000,-7.6271524E+000, 3.1253775E+000, 1.6156115E-028, 1.6156088E-028, 1.6156054E-028, 1.6155517E-028, 1.6154801E-028, 2.8478199E-007, 1.7106261E-012
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6002608E+001, 0.0000000E+000, 3.0872820E+000, 1.2431966E+001, 3.8473007E-024, 3.8473007E-024, 3.8473007E-024, 3.8473007E-024, 3.8473006E-024, 2.6628573E-006, 4.7320086E-011
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 4.9449605E-121, 3.8640237E-004, 2.6000874E+001, 0.0000000E+000, 9.7054572E-001, 2.1814046E+001, 1.7661985E-013, 1.7661985E-013, 1.7661985E-013, 1.7661985E-013, 1.7661985E-013, 8.7014741E-006, 2.1384140E-010
 4.0529377E+000, 2.0755368E-001, 2.0755368E-001, 1.2845078E-110, 3.8640237E-004, 2.6000463E+001, 0.0000000E+000, 3.3067072E-001, 2.3638126E+001, 3.0819587E-018, 3.0819587E-018, 3.0819587E-018, 3.0819587E-018, 3.0819587E-018, 1.6074906E-005, 5.4473962E-010
 5.0393371E+000, 2.0755368E-001, 2.0755368E-001, 4.4289480E-102, 3.8640237E-004, 2.6001286E+001, 0.0000000E+000, 1.0707939E+000, 2.9288164E+001, 3.9948868E-018, 3.9948868E-018, 3.9948868E-018, 3.9948868E-018, 3.9948868E-018, 2.4608718E-005, 8.2054138E-010
 6.0115303E+000, 2.0755368E-001, 2.0755368E-001, 2.6137702E-079, 3.8640237E-004, 2.6001867E+001, 2.2169411E-284, 1.4898765E+000, 3.5744144E+001, 3.5361440E-015, 3.5361440E-015, 3.5361440E-015, 3.5361440E-015, 3.5361440E-015, 3.5203938E-005, 1.1031946E-009
 7.0117952E+000, 2.0755368E-001, 2.0755368E-001, 1.0948047E-058, 3.8640237E-004, 2.6002638E+001, 1.5867727E-269, 2.0593098E+000, 4.2354124E+001, 6.5228527E-015, 6.5228527E-015, 6.5228527E-015, 6.5228527E-015, 6.5228527E-015, 4.8036884E-005, 1.4553249E-009
 8.0222911E+000, 2.0755368E-001, 2.0755368E-001, 1.0016410E-047, 3.8640237E-004, 2.6003516E+001, 1.7380171E-250, 2.6207243E+000, 4.8619685E+001, 2.2735994E-014, 2.2735994E-014, 2.2735994E-014, 2.2735994E-014, 2.2735994E-014, 6.3374315E-005, 4.5909824E-009
 9.0215368E+000, 2.0755368E-001, 2.0755368E-001, 8.8721990E-039, 3.8640237E-004, 2.6004542E+001, 5.0374688E-229, 3.1949232E+000, 5.5418711E+001, 6.0382224E-013, 6.0382224E-013, 6.0382224E-013, 6.0382224E-013, 6.0382224E-013, 8.0846088E-005, 2.1245980E-008
 1.0009206E+001, 2.0755368E-001, 2.0755368E-001, 4.1093594E-027, 3.8640237E-004, 2.6005854E+001, 5.0358859E-211, 3.8316486E+000, 6.1873218E+001, 1.7480276E-012, 1.7480276E-012, 1.7480276E-012, 1.7480276E-012, 1.7480276E-012, 1.0033291E-004, 4.5888770E-008
 1.1024429E+001, 2.0755368E-001, 2.0755368E-001, 5.0702673E-022, 3.8640237E-004, 2.6007581E+001, 1.8227302E-178, 4.5846575E+000, 6.8782014E+001, 2.7259300E-011, 2.7259300E-011, 2.7259300E-011, 2.7259300E-011, 2.7259300E-011, 1.2213920E-004, 7.1958255E-008
