s,m^2/s^2
FDS Time,"KE"
 0.0000000E+000, 1.1334906E-002
 2.0857665E-003, 1.1021111E-002
 4.3801097E-003, 1.0837500E-002
 6.9038873E-003, 1.0642749E-002
 9.3934992E-003, 1.0455331E-002
 1.2132073E-002, 1.0259380E-002
 1.4634606E-002, 1.0083006E-002
 1.7387394E-002, 9.9001243E-003
 1.9992404E-002, 9.7301009E-003
 2.2857916E-002, 9.5529982E-003
 2.5669841E-002, 9.3829081E-003
 2.8762961E-002, 9.2052044E-003
 3.1551614E-002, 9.0466046E-003
 3.4619130E-002, 8.8825519E-003
 3.7466504E-002, 8.7321426E-003
 4.0598616E-002, 8.5757924E-003
 4.3584894E-002, 8.4289278E-003
 4.6869799E-002, 8.2757936E-003
 4.9860254E-002, 8.1375162E-003
 5.2820660E-002, 8.0065602E-003
 5.6077108E-002, 7.8688877E-003
 5.9061944E-002, 7.7436304E-003
 6.2345266E-002, 7.6132906E-003
 6.5469190E-002, 7.4906975E-003
 6.8905503E-002, 7.3625453E-003
 7.2020493E-002, 7.2469201E-003
 7.5446993E-002, 7.1267616E-003
 7.8592107E-002, 7.0170850E-003
 8.2051732E-002, 6.9028051E-003
 8.5314997E-002, 6.7959360E-003
 8.8904589E-002, 6.6842020E-003
 9.2257090E-002, 6.5805732E-003
 9.5944837E-002, 6.4724172E-003
 9.9376619E-002, 6.3723788E-003
 1.0315158E-001, 6.2680344E-003
 1.0664152E-001, 6.1720258E-003
 1.1048046E-001, 6.0719597E-003
 1.1394709E-001, 5.9816979E-003
 1.1737539E-001, 5.8960300E-003
 1.2114652E-001, 5.8056008E-003
 1.2463807E-001, 5.7221813E-003
 1.2847877E-001, 5.6349800E-003
 1.3197348E-001, 5.5557146E-003
 1.3539015E-001, 5.4810014E-003
 1.3875219E-001, 5.4093468E-003
 1.4245044E-001, 5.3335153E-003
 1.4579011E-001, 5.2649882E-003
 1.4946377E-001, 5.1932626E-003
 1.5290383E-001, 5.1263300E-003
 1.5668787E-001, 5.0559480E-003
 1.6038020E-001, 4.9878613E-003
 1.6444173E-001, 4.9160022E-003
 1.6813143E-001, 4.8506721E-003
 1.7219009E-001, 4.7823994E-003
 1.7589815E-001, 4.7200030E-003
 1.7997701E-001, 4.6546989E-003
 1.8388981E-001, 4.5924158E-003
 1.8819387E-001, 4.5268569E-003
 1.9211483E-001, 4.4670593E-003
 1.9597597E-001, 4.4102487E-003
 2.0022324E-001, 4.3501161E-003
 2.0406826E-001, 4.2955442E-003
 2.0829777E-001, 4.2384447E-003
 2.1226957E-001, 4.1849324E-003
 2.1663857E-001, 4.1286724E-003
 2.2075832E-001, 4.0757484E-003
