s,m^2/s^2
FDS Time,"KE"
 0.0000000E+000, 8.7254933E-003
 5.9664315E-003, 8.3787543E-003
 1.2529505E-002, 8.1726187E-003
 1.8724104E-002, 7.9792754E-003
 2.5538161E-002, 7.7776495E-003
 3.1920053E-002, 7.5901482E-003
 3.8940135E-002, 7.3951360E-003
 4.5510668E-002, 7.2142721E-003
 5.2738257E-002, 7.0264974E-003
 5.9675168E-002, 6.8489348E-003
 6.7305773E-002, 6.6643474E-003
 7.4412405E-002, 6.4945116E-003
 8.2229704E-002, 6.3189857E-003
 8.9473419E-002, 6.1583878E-003
 9.6532449E-002, 6.0088583E-003
 1.0343249E-001, 5.8679305E-003
 1.1026312E-001, 5.7334134E-003
 1.1777683E-001, 5.5924490E-003
 1.2478230E-001, 5.4627413E-003
 1.3161077E-001, 5.3413754E-003
 1.3814948E-001, 5.2286968E-003
 1.4451760E-001, 5.1225772E-003
 1.5081075E-001, 5.0209994E-003
 1.5773323E-001, 4.9139036E-003
 1.6419356E-001, 4.8151513E-003
 1.7129992E-001, 4.7118383E-003
 1.7833161E-001, 4.6116257E-003
 1.8606648E-001, 4.5064045E-003
 1.9457483E-001, 4.3947977E-003
 2.0250416E-001, 4.2923855E-003
 2.1122642E-001, 4.1862062E-003
 2.1978985E-001, 4.0842338E-003
 2.2826722E-001, 3.9871059E-003
 2.3617956E-001, 3.8990130E-003
 2.4370950E-001, 3.8181903E-003
 2.5104046E-001, 3.7421781E-003
 2.5910452E-001, 3.6622684E-003
 2.6656634E-001, 3.5892632E-003
 2.7477431E-001, 3.5130641E-003
 2.8380311E-001, 3.4321627E-003
 2.9213420E-001, 3.3586440E-003
 3.0035678E-001, 3.2892402E-003
 3.0940157E-001, 3.2164983E-003
 3.1783882E-001, 3.1497307E-003
 3.2711977E-001, 3.0802694E-003
 3.3602923E-001, 3.0148724E-003
 3.4482330E-001, 2.9528009E-003
 3.5449678E-001, 2.8877384E-003
 3.6329755E-001, 2.8292734E-003
 3.7297839E-001, 2.7685788E-003
 3.8210323E-001, 2.7122882E-003
 3.9214057E-001, 2.6536089E-003
 4.0195596E-001, 2.5974001E-003
 4.1275290E-001, 2.5386330E-003
 4.2317951E-001, 2.4829666E-003
 4.3342847E-001, 2.4302987E-003
 4.4350451E-001, 2.3802581E-003
 4.5458817E-001, 2.3277659E-003
 4.6463367E-001, 2.2806278E-003
 4.7568369E-001, 2.2316481E-003
 4.8604429E-001, 2.1863134E-003
 4.9744093E-001, 2.1389958E-003
 5.0840688E-001, 2.0941952E-003
 5.2046937E-001, 2.0473516E-003
 5.3148413E-001, 2.0050051E-003
 5.4230481E-001, 1.9651349E-003
 5.5420756E-001, 1.9232400E-003
 5.6495452E-001, 1.8857355E-003
 5.7677609E-001, 1.8467214E-003
 5.8802634E-001, 1.8101288E-003
 6.0040158E-001, 1.7718390E-003
 6.1233699E-001, 1.7355223E-003
 6.2393689E-001, 1.7014016E-003
 6.3527095E-001, 1.6691174E-003
 6.4642572E-001, 1.6383201E-003
 6.5869600E-001, 1.6058648E-003
 6.6983175E-001, 1.5766580E-003
 6.8208104E-001, 1.5461594E-003
 6.9368023E-001, 1.5176529E-003
