s,m^2/s^2
FDS Time,"KE"
 2.1214311E-001, 4.5625802E-003
 2.1639509E-001, 4.5030666E-003
 2.2024235E-001, 4.4485804E-003
 2.2447434E-001, 4.3918734E-003
 2.2832081E-001, 4.3397635E-003
 2.3255190E-001, 4.2854466E-003
 2.3649579E-001, 4.2344594E-003
 2.4083406E-001, 4.1810888E-003
 2.4476725E-001, 4.1321289E-003
 2.4857087E-001, 4.0863118E-003
 2.5228658E-001, 4.0425001E-003
 2.5595373E-001, 4.0001368E-003
 2.5998756E-001, 3.9551385E-003
 2.6366952E-001, 3.9136400E-003
 2.6771969E-001, 3.8701234E-003
 2.7152342E-001, 3.8289995E-003
 2.7570751E-001, 3.7857026E-003
 2.7972645E-001, 3.7439879E-003
 2.8414729E-001, 3.6999746E-003
 2.8823623E-001, 3.6588846E-003
 2.9273406E-001, 3.6158351E-003
 2.9675877E-001, 3.5767449E-003
 3.0118597E-001, 3.5359826E-003
 3.0516815E-001, 3.4988094E-003
 3.0954856E-001, 3.4599609E-003
 3.1356695E-001, 3.4239348E-003
 3.1798720E-001, 3.3861438E-003
 3.2224852E-001, 3.3495865E-003
 3.2693595E-001, 3.3109725E-003
 3.3133009E-001, 3.2744745E-003
 3.3616364E-001, 3.2361510E-003
 3.4049767E-001, 3.2012491E-003
 3.4526509E-001, 3.1648609E-003
 3.4964499E-001, 3.1310402E-003
 3.5446283E-001, 3.0956140E-003
 3.5903010E-001, 3.0618023E-003
 3.6351240E-001, 3.0294454E-003
 3.6793280E-001, 2.9981363E-003
 3.7279525E-001, 2.9648963E-003
 3.7721437E-001, 2.9342785E-003
 3.8207543E-001, 2.9022291E-003
 3.8666263E-001, 2.8717548E-003
 3.9170861E-001, 2.8396737E-003
 3.9653894E-001, 2.8087943E-003
 4.0185231E-001, 2.7762564E-003
 4.0681097E-001, 2.7455856E-003
 4.1226548E-001, 2.7134473E-003
 4.1727513E-001, 2.6835485E-003
 4.2278573E-001, 2.6523157E-003
 4.2764816E-001, 2.6242169E-003
 4.3239939E-001, 2.5977730E-003
 4.3707266E-001, 2.5722440E-003
 4.4221324E-001, 2.5451273E-003
 4.4687289E-001, 2.5202004E-003
 4.5199853E-001, 2.4940902E-003
 4.5681864E-001, 2.4693311E-003
 4.6212077E-001, 2.4432534E-003
 4.6697906E-001, 2.4190576E-003
 4.7232318E-001, 2.3936925E-003
 4.7735277E-001, 2.3696194E-003
 4.8288533E-001, 2.3442880E-003
 4.8788631E-001, 2.3210472E-003
 4.9338740E-001, 2.2967594E-003
 4.9844325E-001, 2.2741646E-003
 5.0400466E-001, 2.2504801E-003
 5.0917375E-001, 2.2282341E-003
 5.1485974E-001, 2.2048794E-003
 5.1999635E-001, 2.1834587E-003
 5.2564663E-001, 2.1610725E-003
 5.3064555E-001, 2.1409015E-003
 5.3614444E-001, 2.1198612E-003
 5.4112393E-001, 2.1005300E-003
 5.4660136E-001, 2.0802640E-003
 5.5180264E-001, 2.0608774E-003
 5.5752397E-001, 2.0404093E-003
 5.6294876E-001, 2.0208467E-003
 5.6823498E-001, 2.0022078E-003
 5.7345152E-001, 1.9841562E-003
 5.7918978E-001, 1.9649543E-003
 5.8449215E-001, 1.9469946E-003
 5.9032482E-001, 1.9281151E-003
 5.9599257E-001, 1.9096894E-003
 6.0222703E-001, 1.8901861E-003
 6.0908502E-001, 1.8691169E-003
 6.1518902E-001, 1.8499740E-003
 6.2190342E-001, 1.8301156E-003
 6.2793237E-001, 1.8119472E-003
 6.3456422E-001, 1.7930382E-003
 6.4065880E-001, 1.7754035E-003
 6.4736283E-001, 1.7569620E-003
 6.5365684E-001, 1.7394522E-003
 6.6058028E-001, 1.7210793E-003
 6.6705954E-001, 1.7036738E-003
 6.7418677E-001, 1.6854351E-003
 6.8082863E-001, 1.6682099E-003
