s,m^2/s^2
FDS Time,"KE"
 0.0000000E+000, 8.7254933E-003
 6.0032522E-003, 8.3024341E-003
 1.2606829E-002, 8.0216756E-003
 1.8822990E-002, 7.7690800E-003
 2.5660768E-002, 7.5117006E-003
 3.2143310E-002, 7.2781238E-003
 3.9274104E-002, 7.0396007E-003
 4.5952979E-002, 6.8250347E-003
 5.3299736E-002, 6.6058199E-003
 6.0361590E-002, 6.4036506E-003
 6.8129629E-002, 6.1964666E-003
 7.5387768E-002, 6.0099496E-003
 8.3371729E-002, 5.8191672E-003
 9.0810753E-002, 5.6475509E-003
 9.8993681E-002, 5.4717869E-003
 1.0659153E-001, 5.3139378E-003
 1.1494917E-001, 5.1520931E-003
 1.2280933E-001, 5.0049049E-003
 1.3145551E-001, 4.8536721E-003
 1.3964580E-001, 4.7151589E-003
 1.4865512E-001, 4.5727135E-003
 1.5719533E-001, 4.4421039E-003
 1.6658956E-001, 4.3077862E-003
 1.7547897E-001, 4.1847638E-003
 1.8525732E-001, 4.0582806E-003
 1.9431569E-001, 3.9445234E-003
 2.0427990E-001, 3.8277455E-003
 2.1316229E-001, 3.7261149E-003
 2.2191691E-001, 3.6315024E-003
 2.3154700E-001, 3.5330809E-003
 2.4022923E-001, 3.4463310E-003
 2.4977970E-001, 3.3568448E-003
 2.5862569E-001, 3.2759516E-003
 2.6835626E-001, 3.1921732E-003
 2.7743238E-001, 3.1159224E-003
 2.8741610E-001, 3.0368637E-003
 2.9646206E-001, 2.9667132E-003
 3.0641261E-001, 2.8940859E-003
 3.1572703E-001, 2.8276704E-003
 3.2597286E-001, 2.7586423E-003
 3.3582032E-001, 2.6939999E-003
 3.4553808E-001, 2.6328589E-003
 3.5622761E-001, 2.5689149E-003
 3.6594054E-001, 2.5119287E-003
 3.7662476E-001, 2.4528029E-003
 3.8667056E-001, 2.3984286E-003
 3.9772096E-001, 2.3418012E-003
 4.0848103E-001, 2.2880740E-003
 4.2031711E-001, 2.2320082E-003
 4.3158787E-001, 2.1798957E-003
 4.4398573E-001, 2.1257075E-003
 4.5513022E-001, 2.0778513E-003
 4.6738917E-001, 2.0283236E-003
 4.7869688E-001, 1.9835155E-003
 4.9113539E-001, 1.9369505E-003
 5.0298291E-001, 1.8935777E-003
 5.1601517E-001, 1.8483688E-003
 5.2831978E-001, 1.8065892E-003
 5.4185486E-001, 1.7631045E-003
 5.5471033E-001, 1.7227003E-003
 5.6885135E-001, 1.6806444E-003
 5.8198225E-001, 1.6423383E-003
 5.9642625E-001, 1.6025601E-003
 6.0934854E-001, 1.5674872E-003
 6.2356305E-001, 1.5311457E-003
 6.3677740E-001, 1.4979591E-003
 6.5131319E-001, 1.4633973E-003
 6.6536534E-001, 1.4307154E-003
 6.8082273E-001, 1.3965779E-003
 6.9507569E-001, 1.3656372E-003
