"ID","Quantity_Label","Scatter_Plot_Title","Ind_Title","Dep_Title","Plot_Min","Plot_Max","%error","Title_Position","Key_Position","Plot_Width","Exp_Error_Lines","Mu_Line","Sigma_Lines","Plot_Filename"
1,"HGL_Temperature","Hot Gas Layer Temperature","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,800,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/HGL_Temperature"
2,"HGL_Depth","Hot Gas Layer Depth","Measured Layer Depth (m)","Predicted Layer Depth (m)",0,20,13,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/HGL_Depth"
3,"Ceiling_Jet_Temperature","Ceiling Jet Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,1000,16,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Ceiling_Jet_Temperature"
4,"Plume_Temperature","Plume Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,500,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Plume_Temperature"
5,"Flame_Height","Flame Height","Measured Flame Height (m)","Predicted Flame Height (m)",0,8,20,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Flame_Height"
6,"Oxygen_Concentration","Oxygen Concentration","Measured Drop in Volume Fraction","Predicted Drop in Volume Fraction",0,0.15,9,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Oxygen_Concentration"
7,"Carbon_Dioxide_Concentration","Carbon Dioxide Concentration","Measured Rise in Volume Fraction","Predicted Rise in Volume Fraction",0,0.15,9,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Carbon_Dioxide_Concentration"
8,"Compartment_Pressure","Compartment Over-Pressure","Measured Pressure Rise(Pa)","Predicted Pressure Rise (Pa)",0,300,40,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Compartment_Pressure"
9,"Heat_Flux","NIST/NRC Heat Flux near Cables","Measured Heat Flux (kW/m$^2$)","Predicted Heat Flux (kW/m$^2$)",0,20,20,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/NIST_NRC_Heat_Flux"
10,"Heat_Flux","WTC Heat Flux","Measured Heat Flux (kW/m$^2$)","Predicted Heat Flux (kW/m$^2$)",0,120,20,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/WTC_Heat_Flux"
11,"Target_Temperature","NIST/NRC Cable Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,400,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Cable_Temperature"
12,"Dummy","Dummy","Dummy","Dummy",0,800,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Dummy"
13,"Wall_Temperature","NIST/NRC Wall, Floor and Ceiling Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,500,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Wall_Temperature"
14,"Smoke_Concentration","Smoke Concentration","Measured Density (mg/m$^3$)","Predicted Density (mg/m$^3$)",0,400,33,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Smoke_Concentration"
15,"Carbon_Monoxide_Concentration","Carbon Monoxide Concentration","Measured Change in Volume Fraction","Predicted Change in Volume Fraction",0,0.1,9,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Carbon_Monoxide_Concentration"
16,"Velocity","Velocity","Measured Velocity (m/s)","Predicted Velocity (m/s)",0,5,10,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Velocity"
17,"Compartment_Pressure","Open Compartment Over-Pressure","Measured Pressure Drop (Pa)","Predicted Pressure Drop (Pa)",0,5,40,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Open_Compartment_Pressure"
18,"Target_Temperature","WTC Steel Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,800,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Steel_Temperature"
19,"Wall_Temperature","WTC Wall and Ceiling Temperatures","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,1000,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/WTC_Surface_Temperature"
20,"HGL_Temperature","HGL Temperature, Steckler Compartment","Measured Temperature Rise ($^\circ$C)","Predicted Temperature Rise ($^\circ$C)",0,300,14,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/HGL_Temperature_Steckler"
21,"Velocity","Doorway Velocity, Steckler Compartment","Measured Velocity (m/s)","Predicted Velocity (m/s)",0,5,10,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/Velocity_Steckler"
22,"Hydrogen_Concentration","INERIS Hydrogen Experiments","Measured Hydrogen Volume Fraction","Predicted Hydrogen Volume Fraction",0,0.25,10,"[0.015,0.94]","lower right",5,"yes","yes","yes","ScatterPlots/INERIS_H2"
