"ID","Symbol_Style","Edge_Color","Fill_Color","Symbol_Size","Line_Color","Line_Style","Line_Width"
1,"o","k","k",20,"none","none","none"
2,"o","k","none",20,"none","none","none"
3,"o","b","b",20,"none","none","none"
4,"o","g","g",20,"none","none","none"
5,"o","r","r",20,"none","none","none"
6,"o","y","y",20,"none","none","none"
7,"d","k","k",20,"none","none","none"
8,"d","k","none",20,"none","none","none"
9,"d","b","none",20,"none","none","none"
10,"d","g","none",20,"none","none","none"
11,"d","r","none",20,"none","none","none"
12,"d","r","r",20,"none","none","none"
13,"d","y","none",20,"none","none","none"
14,"s","r","r",20,"none","none","none"
15,"^","g","g",20,"none","none","none"
16,"none","none","none","none","k","-",1
17,"none","none","none","none","r","-",1
18,"none","none","none","none","g",":",1
19,"none","none","none","none","b","-.",1
20,"none","none","none","none","k",":",1
21,"none","none","none","none","r",":",1
22,"none","none","none","none","g",":",0.75
23,"none","none","none","none","b","-.",0.75
24,"o","k","k",20,"k","-",2
