s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10"
 0.0000000E+000, 2.0000000E+001, 4.5000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011
 1.5010085E+000, 2.0007778E+001, 4.3307349E+002, 5.9280782E+000, 4.9664431E+000, 3.6085227E+000, 2.2618790E+000, 1.2723238E+000, 7.5653952E-001, 4.5041606E-001, 2.8299150E-001, 1.7384173E-001, 1.0426171E-001
 3.0046929E+000, 2.0028095E+001, 4.2183597E+002, 5.6025767E+000, 4.6197629E+000, 3.3464518E+000, 2.0987072E+000, 1.1838930E+000, 7.0570254E-001, 4.2164797E-001, 2.6604581E-001, 1.6468832E-001, 1.0010702E-001
 4.5003588E+000, 2.0808578E+001, 4.1557434E+002, 5.6073351E+000, 4.5127745E+000, 3.2472005E+000, 2.0334806E+000, 1.1483328E+000, 6.8540609E-001, 4.1047469E-001, 2.5953731E-001, 1.6117662E-001, 9.8677605E-002
 6.0098870E+000, 2.4588722E+001, 4.1097556E+002, 5.6161790E+000, 4.4518914E+000, 3.1875608E+000, 1.9941300E+000, 1.1283077E+000, 6.7486060E-001, 4.0580633E-001, 2.5769019E-001, 1.6074285E-001, 9.9639922E-002
 7.5059011E+000, 2.8689684E+001, 4.0691830E+002, 5.5450048E+000, 4.3880372E+000, 3.1351869E+000, 1.9624561E+000, 1.1112598E+000, 6.6507697E-001, 4.0041804E-001, 2.5469604E-001, 1.5934347E-001, 9.9534631E-002
 9.0049368E+000, 3.1745363E+001, 4.0350168E+002, 5.5049868E+000, 4.3474064E+000, 3.1007042E+000, 1.9405422E+000, 1.1002133E+000, 6.5961015E-001, 3.9808363E-001, 2.5383902E-001, 1.5945809E-001, 1.0036805E-001
 1.0504465E+001, 3.4994843E+001, 4.0057990E+002, 5.6147504E+000, 4.3479466E+000, 3.0887110E+000, 1.9319212E+000, 1.0980633E+000, 6.6034275E-001, 4.0023890E-001, 2.5635090E-001, 1.6210024E-001, 1.0340384E-001
 1.2005179E+001, 3.9220741E+001, 3.9802090E+002, 5.5972004E+000, 4.3104134E+000, 3.0548306E+000, 1.9100958E+000, 1.0883348E+000, 6.5625095E-001, 3.9943820E-001, 2.5700283E-001, 1.6353723E-001, 1.0558351E-001
 1.3505892E+001, 4.2767822E+001, 3.9587952E+002, 5.6371341E+000, 4.2937980E+000, 3.0287526E+000, 1.8919625E+000, 1.0785823E+000, 6.5144968E-001, 3.9819402E-001, 2.5776193E-001, 1.6529092E-001, 1.0816415E-001
 1.5000353E+001, 4.6545288E+001, 3.9404742E+002, 5.5858941E+000, 4.2878985E+000, 3.0140486E+000, 1.8831879E+000, 1.0762656E+000, 6.5163928E-001, 3.9987710E-001, 2.6028335E-001, 1.6808210E-001, 1.1132261E-001
 1.6507977E+001, 5.0762882E+001, 3.9241330E+002, 5.5413241E+000, 4.2552981E+000, 2.9844906E+000, 1.8622663E+000, 1.0649647E+000, 6.4564335E-001, 3.9750752E-001, 2.5982884E-001, 1.6897963E-001, 1.1322843E-001
 1.8003269E+001, 5.4529766E+001, 3.9080731E+002, 5.5523353E+000, 4.2318025E+000, 2.9565942E+000, 1.8416781E+000, 1.0536965E+000, 6.3967246E-001, 3.9487883E-001, 2.5912353E-001, 1.6972402E-001, 1.1507121E-001
 1.9512155E+001, 5.7607769E+001, 3.8941245E+002, 5.5733562E+000, 4.2141132E+000, 2.9397132E+000, 1.8317064E+000, 1.0498223E+000, 6.3883322E-001, 3.9606547E-001, 2.6131153E-001, 1.7236815E-001, 1.1799031E-001
 2.1007447E+001, 5.9754570E+001, 3.8803906E+002, 5.4882259E+000, 4.1460767E+000, 2.8985362E+000, 1.8047442E+000, 1.0345318E+000, 6.2992465E-001, 3.9129105E-001, 2.5885624E-001, 1.7171243E-001, 1.1874009E-001
 2.2502739E+001, 6.2685528E+001, 3.8670053E+002, 5.5289216E+000, 4.1228046E+000, 2.8773329E+000, 1.7931341E+000, 1.0299881E+000, 6.2897760E-001, 3.9263564E-001, 2.6156729E-001, 1.7503949E-001, 1.2250090E-001
 2.4011624E+001, 6.5054756E+001, 3.8549258E+002, 5.5703373E+000, 4.1148906E+000, 2.8646083E+000, 1.7851871E+000, 1.0262538E+000, 6.2773591E-001, 3.9317855E-001, 2.6311886E-001, 1.7700644E-001, 1.2630107E-001
 2.5506916E+001, 6.7199524E+001, 3.8435773E+002, 5.5258665E+000, 4.0726805E+000, 2.8371267E+000, 1.7689826E+000, 1.0188923E+000, 6.2500185E-001, 3.9321524E-001, 2.6440725E-001, 1.7979036E-001, 1.3030896E-001
 2.7002208E+001, 6.8951874E+001, 3.8328445E+002, 5.4717131E+000, 4.0468802E+000, 2.8215492E+000, 1.7605419E+000, 1.0151793E+000, 6.2403756E-001, 3.9386842E-001, 2.6558712E-001, 1.8258804E-001, 1.3333206E-001
 2.8511094E+001, 6.9920044E+001, 3.8233664E+002, 5.4140959E+000, 4.0198727E+000, 2.8038623E+000, 1.7503327E+000, 1.0121248E+000, 6.2454098E-001, 3.9576101E-001, 2.6930982E-001, 1.8760410E-001, 1.3853025E-001
 3.0006386E+001, 7.1214111E+001, 3.8140808E+002, 5.4375525E+000, 4.0097666E+000, 2.7899125E+000, 1.7414272E+000, 1.0083340E+000, 6.2341446E-001, 3.9666349E-001, 2.7093211E-001, 1.9047199E-001, 1.4154153E-001
 3.1501678E+001, 7.2429367E+001, 3.8060657E+002, 5.4207330E+000, 3.9937418E+000, 2.7811251E+000, 1.7377346E+000, 1.0074809E+000, 6.2395835E-001, 3.9786199E-001, 2.7728564E-001, 1.9764730E-001, 1.5005267E-001
 3.3009204E+001, 7.3329422E+001, 3.7984836E+002, 5.4114666E+000, 3.9775307E+000, 2.7646754E+000, 1.7281667E+000, 1.0045578E+000, 6.2385035E-001, 4.0297553E-001, 2.8527373E-001, 2.0678417E-001, 1.5690726E-001
 3.4504496E+001, 7.5033165E+001, 3.7912643E+002, 5.4524608E+000, 3.9862115E+000, 2.7620945E+000, 1.7253205E+000, 1.0043410E+000, 6.2511915E-001, 4.0207028E-001, 2.8367868E-001, 2.0385502E-001, 1.5526612E-001
 3.6014741E+001, 7.5779892E+001, 3.7842374E+002, 5.4280796E+000, 3.9664500E+000, 2.7505848E+000, 1.7184494E+000, 1.0005956E+000, 6.2299025E-001, 4.0024877E-001, 2.8356510E-001, 2.0682561E-001, 1.6349718E-001
 3.7510033E+001, 7.7179497E+001, 3.7780325E+002, 5.4361854E+000, 3.9622269E+000, 2.7473724E+000, 1.7182570E+000, 1.0025992E+000, 6.2611681E-001, 4.0621582E-001, 2.9021320E-001, 2.1659063E-001, 1.7632456E-001
 3.9005325E+001, 7.8270088E+001, 3.7719739E+002, 5.4193664E+000, 3.9409068E+000, 2.7306969E+000, 1.7081230E+000, 9.9844599E-001, 6.2481576E-001, 4.0784365E-001, 2.9070520E-001, 2.1121162E-001, 1.6416307E-001
 4.0500617E+001, 7.7894890E+001, 3.7653482E+002, 5.3902431E+000, 3.9181111E+000, 2.7163286E+000, 1.7013726E+000, 9.9580127E-001, 6.2485123E-001, 4.0642127E-001, 2.9241118E-001, 2.1880858E-001, 1.7733954E-001
 4.2010862E+001, 7.8471703E+001, 3.7599567E+002, 5.4184861E+000, 3.9259527E+000, 2.7143600E+000, 1.6988015E+000, 9.9526370E-001, 6.2433940E-001, 4.1055703E-001, 2.9616734E-001, 2.1934390E-001, 1.7208576E-001
 4.3506154E+001, 7.9500580E+001, 3.7557840E+002, 5.4186034E+000, 3.9214697E+000, 2.7122095E+000, 1.6976805E+000, 9.9599147E-001, 6.2603700E-001, 4.1298300E-001, 2.9852590E-001, 2.2170658E-001, 1.7646378E-001
 4.5001446E+001, 8.0043129E+001, 3.7504962E+002, 5.3848162E+000, 3.9151886E+000, 2.7053173E+000, 1.6927073E+000, 9.9310184E-001, 6.2340176E-001, 4.1568220E-001, 3.0099764E-001, 2.2233678E-001, 1.7692046E-001
 4.6511691E+001, 8.0726837E+001, 3.7456003E+002, 5.3625169E+000, 3.8926520E+000, 2.6957145E+000, 1.6890341E+000, 9.9281204E-001, 6.2579459E-001, 4.1308051E-001, 2.9939875E-001, 2.2243896E-001, 1.7547002E-001
 4.8006983E+001, 8.0487778E+001, 3.7411789E+002, 5.3381710E+000, 3.8757954E+000, 2.6779377E+000, 1.6774220E+000, 9.8722345E-001, 6.1982572E-001, 4.1410854E-001, 3.0041313E-001, 2.2389841E-001, 1.7983222E-001
 4.9502275E+001, 8.0645264E+001, 3.7369727E+002, 5.3809748E+000, 3.8918540E+000, 2.6912296E+000, 1.6864443E+000, 9.9255884E-001, 6.1956698E-001, 4.2052141E-001, 3.0594537E-001, 2.2883159E-001, 1.8511602E-001
 5.1012520E+001, 8.1843857E+001, 3.7334787E+002, 5.3843999E+000, 3.8871572E+000, 2.6844106E+000, 1.6805872E+000, 9.9007660E-001, 6.2462187E-001, 4.2012572E-001, 3.0689016E-001, 2.3232207E-001, 1.9043998E-001
