s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10"
 0.0000000E+000, 2.0000000E+001, 4.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011
 1.5282495E+000, 2.0006102E+001, 3.8682346E+002, 4.4769573E+000, 3.7437165E+000, 2.7191565E+000, 1.7043929E+000, 9.5865697E-001, 5.7010192E-001, 3.3949202E-001, 2.1336317E-001, 1.3114262E-001, 7.8726493E-002
 3.0107625E+000, 2.0022753E+001, 3.7822485E+002, 4.3392863E+000, 3.5544541E+000, 2.5704851E+000, 1.6118335E+000, 9.0950876E-001, 5.4239678E-001, 3.2429606E-001, 2.0476003E-001, 1.2688456E-001, 7.7252679E-002
 4.5148322E+000, 2.0582342E+001, 3.7347876E+002, 4.4206214E+000, 3.5150528E+000, 2.5206182E+000, 1.5775871E+000, 8.9134705E-001, 5.3230667E-001, 3.1901491E-001, 2.0182846E-001, 1.2548909E-001, 7.6932810E-002
 6.0200145E+000, 2.3852730E+001, 3.7000729E+002, 4.4930701E+000, 3.5010571E+000, 2.4946387E+000, 1.5594232E+000, 8.8299394E-001, 5.2873963E-001, 3.1848976E-001, 2.0254840E-001, 1.2659638E-001, 7.8770526E-002
 7.5071854E+000, 2.7647799E+001, 3.6689706E+002, 4.4328909E+000, 3.4703012E+000, 2.4673076E+000, 1.5427368E+000, 8.7433475E-001, 5.2387053E-001, 3.1596562E-001, 2.0133081E-001, 1.2623532E-001, 7.9226419E-002
 9.0098751E+000, 3.0818790E+001, 3.6424930E+002, 4.4195433E+000, 3.4588835E+000, 2.4534783E+000, 1.5341190E+000, 8.7076586E-001, 5.2263886E-001, 3.1604475E-001, 2.0194732E-001, 1.2721749E-001, 8.0596857E-002
 1.0502963E+001, 3.3930882E+001, 3.6197717E+002, 4.5638747E+000, 3.4741721E+000, 2.4540379E+000, 1.5348035E+000, 8.7347209E-001, 5.2614951E-001, 3.1984186E-001, 2.0559044E-001, 1.3056269E-001, 8.4094428E-002
 1.2008394E+001, 3.8035637E+001, 3.6002509E+002, 4.5800505E+000, 3.4638782E+000, 2.4399946E+000, 1.5264118E+000, 8.7011635E-001, 5.2585912E-001, 3.2108814E-001, 2.0742685E-001, 1.3266981E-001, 8.6579390E-002
 1.3501383E+001, 4.1715485E+001, 3.5840125E+002, 4.6416035E+000, 3.4648075E+000, 2.4251111E+000, 1.5144583E+000, 8.6446184E-001, 5.2380842E-001, 3.2158092E-001, 2.0896292E-001, 1.3477144E-001, 8.9222245E-002
 1.5006813E+001, 4.5875210E+001, 3.5701865E+002, 4.5744901E+000, 3.4550760E+000, 2.4137726E+000, 1.5074075E+000, 8.6343533E-001, 5.2434373E-001, 3.2353058E-001, 2.1154337E-001, 1.3749395E-001, 9.2188604E-002
 1.6507267E+001, 4.9888626E+001, 3.5568744E+002, 4.5863461E+000, 3.4351056E+000, 2.3976810E+000, 1.4972270E+000, 8.5885149E-001, 5.2234906E-001, 3.2319340E-001, 2.1243121E-001, 1.3920936E-001, 9.4651707E-002
 1.8012698E+001, 5.3928658E+001, 3.5449060E+002, 4.6137795E+000, 3.4386756E+000, 2.3902326E+000, 1.4905725E+000, 8.5627818E-001, 5.2241820E-001, 3.2492054E-001, 2.1498992E-001, 1.4228205E-001, 9.8397262E-002
 1.9504443E+001, 5.7174965E+001, 3.5342563E+002, 4.5575023E+000, 3.4216058E+000, 2.3749471E+000, 1.4803555E+000, 8.5120642E-001, 5.2014810E-001, 3.2455528E-001, 2.1568049E-001, 1.4371555E-001, 9.9949598E-002
 2.1009873E+001, 6.0365543E+001, 3.5249197E+002, 4.5268707E+000, 3.3924301E+000, 2.3530593E+000, 1.4663755E+000, 8.4389180E-001, 5.1669520E-001, 3.2374826E-001, 2.1647546E-001, 1.4550762E-001, 1.0280576E-001
 2.2512695E+001, 6.2593124E+001, 3.5152039E+002, 4.5380826E+000, 3.3734303E+000, 2.3387616E+000, 1.4583738E+000, 8.3992714E-001, 5.1513404E-001, 3.2388008E-001, 2.1763583E-001, 1.4726505E-001, 1.0484052E-001
