m,m,m,kg/m2,m,m,m,kW/m2
Mass per Area-x,Mass per Area-y,Mass per Area-z,Mass per Area,Incident Heat Flux-x,Incident Heat Flux-y,Incident Heat Flux-z,Incident Heat Flu
 1.0500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 1.0000000E-001, 0.0000000E+000, 0.0000000E+000, 2.7102247E-001
 1.1500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 2.0000000E-001, 0.0000000E+000, 0.0000000E+000, 3.1932028E-001
 1.2500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 3.0000000E-001, 0.0000000E+000, 0.0000000E+000, 3.7257387E-001
 1.3500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 4.0000000E-001, 0.0000000E+000, 0.0000000E+000, 4.7295752E-001
 1.4500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 5.0000000E-001, 0.0000000E+000, 0.0000000E+000, 6.2990812E-001
 1.5500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 6.0000000E-001, 0.0000000E+000, 0.0000000E+000, 8.6229763E-001
 1.6500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 7.0000000E-001, 0.0000000E+000, 0.0000000E+000, 1.2620933E+000
 1.7500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 8.0000000E-001, 0.0000000E+000, 0.0000000E+000, 1.8881473E+000
 1.8500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 9.0000000E-001, 0.0000000E+000, 0.0000000E+000, 2.7095730E+000
 1.9500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2560702E+000
 2.0500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 1.1000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1267582E+000
 2.1500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000, 1.2000000E+000, 0.0000000E+000, 0.0000000E+000, 7.7097422E+000
 2.2500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.3500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.4500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.5500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.6500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.7500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.8500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 2.9500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.0500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.1500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.2500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.3500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.4500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.5500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.6500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
 3.8500000E-001, 0.0000000E+000, 0.0000000E+000, 3.0026397E+000,NaN,NaN,NaN,NaN
