s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10"
 0.0000000E+000, 2.0000000E+001, 6.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011
 1.5068250E+000, 2.0015928E+001, 5.6728046E+002, 1.2196630E+001, 1.0245985E+001, 7.4480586E+000, 4.6701345E+000, 2.6295650E+000, 1.5641940E+000, 9.3159807E-001, 5.8528572E-001, 3.5925007E-001, 2.1510297E-001
 3.0153103E+000, 2.0052160E+001, 5.4595270E+002, 1.0759933E+001, 8.9677324E+000, 6.5120416E+000, 4.0837526E+000, 2.3020067E+000, 1.3708410E+000, 8.1794935E-001, 5.1544470E-001, 3.1854126E-001, 1.9318524E-001
 4.5091858E+000, 2.1747803E+001, 5.3430176E+002, 1.0354766E+001, 8.5014305E+000, 6.1517467E+000, 3.8550615E+000, 2.1752772E+000, 1.2967970E+000, 7.7543646E-001, 4.8960739E-001, 3.0339408E-001, 1.8518670E-001
 6.0114572E+000, 2.6713326E+001, 5.2552551E+002, 1.0096615E+001, 8.2031269E+000, 5.9173660E+000, 3.7057910E+000, 2.0942228E+000, 1.2500623E+000, 7.4931061E-001, 4.7438335E-001, 2.9485735E-001, 1.8143466E-001
 7.5001959E+000, 3.1191109E+001, 5.1840033E+002, 9.7901516E+000, 7.9606776E+000, 5.7393279E+000, 3.5953689E+000, 2.0341816E+000, 1.2148997E+000, 7.2932452E-001, 4.6233311E-001, 2.8803602E-001, 1.7816931E-001
 9.0006838E+000, 3.4183842E+001, 5.1245453E+002, 9.6113148E+000, 7.7870207E+000, 5.6033854E+000, 3.5126193E+000, 1.9877172E+000, 1.1890961E+000, 7.1506858E-001, 4.5408109E-001, 2.8381205E-001, 1.7660689E-001
 1.0509382E+001, 3.7023506E+001, 5.0735446E+002, 9.5442972E+000, 7.6554775E+000, 5.5019064E+000, 3.4467258E+000, 1.9564489E+000, 1.1718187E+000, 7.0729798E-001, 4.5055562E-001, 2.8291732E-001, 1.7758904E-001
 1.2005576E+001, 4.0328949E+001, 5.0297910E+002, 9.4312344E+000, 7.5213580E+000, 5.3897028E+000, 3.3676257E+000, 1.9144862E+000, 1.1484795E+000, 6.9378924E-001, 4.4338414E-001, 2.7945033E-001, 1.7673291E-001
 1.3504037E+001, 4.3998795E+001, 4.9919101E+002, 9.4028625E+000, 7.4382834E+000, 5.3092775E+000, 3.3253055E+000, 1.8880341E+000, 1.1350702E+000, 6.8779230E-001, 4.4158000E-001, 2.7974561E-001, 1.7863740E-001
 1.5007379E+001, 4.9018200E+001, 4.9584479E+002, 9.3224497E+000, 7.3340540E+000, 5.2245870E+000, 3.2709544E+000, 1.8589545E+000, 1.1182469E+000, 6.7972201E-001, 4.3835253E-001, 2.7921537E-001, 1.8025792E-001
 1.6510721E+001, 5.3187935E+001, 4.9275323E+002, 9.2226677E+000, 7.2224584E+000, 5.1290846E+000, 3.2077496E+000, 1.8244958E+000, 1.0988687E+000, 6.6908121E-001, 4.3223488E-001, 2.7657259E-001, 1.8011412E-001
 1.8000640E+001, 5.6282635E+001, 4.8983484E+002, 9.1579046E+000, 7.1271520E+000, 5.0605478E+000, 3.1590292E+000, 1.7972583E+000, 1.0827830E+000, 6.6030383E-001, 4.2694858E-001, 2.7451944E-001, 1.8017028E-001
 1.9503982E+001, 5.9216305E+001, 4.8712149E+002, 9.1283474E+000, 7.0663457E+000, 5.0028381E+000, 3.1186793E+000, 1.7753762E+000, 1.0705528E+000, 6.5441585E-001, 4.2484036E-001, 2.7471030E-001, 1.8193549E-001
 2.1007324E+001, 6.2065929E+001, 4.8455319E+002, 8.9939938E+000, 6.9538841E+000, 4.9119334E+000, 3.0600379E+000, 1.7424849E+000, 1.0524877E+000, 6.4531267E-001, 4.2062959E-001, 2.7354991E-001, 1.8282630E-001
 2.2510666E+001, 6.5189819E+001, 4.8216544E+002, 8.9091272E+000, 6.8733797E+000, 4.8543301E+000, 3.0239432E+000, 1.7235043E+000, 1.0423200E+000, 6.4092195E-001, 4.1947088E-001, 2.7439889E-001, 1.8507305E-001
 2.4000585E+001, 6.8388901E+001, 4.8004388E+002, 8.8318529E+000, 6.7993827E+000, 4.7972980E+000, 2.9917803E+000, 1.7082082E+000, 1.0354642E+000, 6.3898253E-001, 4.1992867E-001, 2.7689210E-001, 1.9135423E-001
 2.5503927E+001, 7.0460823E+001, 4.7803720E+002, 8.7505808E+000, 6.7317438E+000, 4.7443118E+000, 2.9575388E+000, 1.6887583E+000, 1.0249983E+000, 6.3361895E-001, 4.1707939E-001, 2.8014231E-001, 1.9563256E-001
 2.7000557E+001, 7.2169098E+001, 4.7613452E+002, 8.7366972E+000, 6.6893167E+000, 4.7035632E+000, 2.9308336E+000, 1.6764766E+000, 1.0200067E+000, 6.3272822E-001, 4.1767219E-001, 2.8354776E-001, 2.0187603E-001
 2.8506584E+001, 7.2916214E+001, 4.7437186E+002, 8.6573648E+000, 6.6275001E+000, 4.6596661E+000, 2.8997476E+000, 1.6599083E+000, 1.0110774E+000, 6.2845474E-001, 4.1993895E-001, 2.9079339E-001, 2.1202278E-001
 3.0012610E+001, 7.3367111E+001, 4.7269934E+002, 8.5815325E+000, 6.5719485E+000, 4.6231904E+000, 2.8788676E+000, 1.6502687E+000, 1.0063161E+000, 6.2423402E-001, 4.2266971E-001, 2.9142776E-001, 2.1086150E-001
 3.1503872E+001, 7.4553047E+001, 4.7116882E+002, 8.5107250E+000, 6.5140324E+000, 4.5850177E+000, 2.8568485E+000, 1.6401658E+000, 1.0019424E+000, 6.2566292E-001, 4.2949122E-001, 2.9945430E-001, 2.2047769E-001
 3.3009898E+001, 7.6067856E+001, 4.6971387E+002, 8.4574480E+000, 6.4574418E+000, 4.5357914E+000, 2.8263853E+000, 1.6248162E+000, 9.9424267E-001, 6.2514758E-001, 4.3041664E-001, 3.0076167E-001, 2.2013833E-001
 3.4512972E+001, 7.7590782E+001, 4.6836893E+002, 8.4347124E+000, 6.4249911E+000, 4.5075569E+000, 2.8119271E+000, 1.6189142E+000, 9.9098384E-001, 6.2935179E-001, 4.3460515E-001, 3.0566505E-001, 2.3039474E-001
