s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10","Density, 1.2 m","Density, 1.15 m","Density, 1.1 m","Density, 1.05 m","Density, 1.0 m","Density, 0.95 m","Density, 0.9 m","Density, 0.85 m","Density, 0.8 m","Density, 0.75 m","Density, 0.7 m","Density, 0.65 m","Density, 0.6 m","Density, 0.55 m","Density, 0.5 m","Density, 0.45 m","Density, 0.4 m","Density, 0.35 m","Density, 0.3 m","Density, 0.25 m","Density, 0.2 m","Density, 0.1 m"
 0.0000000E+000, 2.0223965E+001, 7.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 2.0066805E+000, 3.0204752E+001, 6.4887445E+002, 1.8186802E+001, 1.5863053E+001, 1.2170026E+001, 8.6873093E+000, 6.2321649E+000, 4.7219386E+000, 3.8080428E+000, 3.4081569E+000, 3.0799460E+000, 2.8335876E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 4.0111505E+000, 5.5353466E+001, 6.1816473E+002, 1.5658401E+001, 1.3636015E+001, 1.0546773E+001, 7.6268392E+000, 5.5680985E+000, 4.2987633E+000, 3.5309963E+000, 3.1952958E+000, 2.9180450E+000, 2.7141531E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 6.0005191E+000, 8.0387276E+001, 6.0172498E+002, 1.4887528E+001, 1.2863987E+001, 9.8906298E+000, 7.1734324E+000, 5.2647190E+000, 4.1018763E+000, 3.3914258E+000, 3.0786462E+000, 2.8845227E+000, 2.8485813E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 8.0093204E+000, 1.0275503E+002, 5.9018622E+002, 1.4399453E+001, 1.2337782E+001, 9.4848633E+000, 6.9564042E+000, 5.1627412E+000, 4.0872207E+000, 3.4196701E+000, 3.1139405E+000, 2.8619180E+000, 2.8104432E+000, 3.0026252E+000, 3.0026386E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 1.0002716E+001, 1.2018764E+002, 5.8146466E+002, 1.4082028E+001, 1.1969953E+001, 9.3205166E+000, 6.8671308E+000, 5.1357994E+000, 4.0599608E+000, 3.4102941E+000, 3.1146593E+000, 2.8753245E+000, 2.6906443E+000, 3.0022213E+000, 3.0025914E+000, 3.0026371E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 1.2006765E+001, 1.3416600E+002, 5.7432867E+002, 1.3717456E+001, 1.1693534E+001, 9.1388655E+000, 6.7607894E+000, 5.1039324E+000, 4.0670862E+000, 3.4301782E+000, 3.1411326E+000, 2.8978636E+000, 2.7409513E+000, 3.0005984E+000, 3.0020535E+000, 3.0025861E+000, 3.0026391E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 1.4006959E+001, 1.4736613E+002, 5.6825885E+002, 1.3501625E+001, 1.1502574E+001, 8.9910536E+000, 6.6923118E+000, 5.0845814E+000, 4.0599642E+000, 3.4398539E+000, 3.1625161E+000, 2.9384356E+000, 2.7968311E+000, 2.9981160E+000, 3.0005951E+000, 3.0021954E+000, 3.0026314E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
 1.6006160E+001, 1.5909306E+002, 5.6314777E+002, 1.3353793E+001, 1.1341776E+001, 8.8367052E+000, 6.5758338E+000, 4.9991541E+000, 4.0086656E+000, 3.4177701E+000, 3.1638839E+000, 2.9558792E+000, 2.8133509E+000, 2.9951997E+000, 2.9985383E+000, 3.0011559E+000, 3.0025744E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 9.6199999E+000
