s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10","Density, 1.2 m","Density, 1.15 m","Density, 1.1 m","Density, 1.05 m","Density, 1.0 m","Density, 0.95 m","Density, 0.9 m","Density, 0.85 m","Density, 0.8 m","Density, 0.75 m","Density, 0.7 m","Density, 0.65 m","Density, 0.6 m","Density, 0.55 m","Density, 0.5 m","Density, 0.45 m","Density, 0.4 m","Density, 0.35 m","Density, 0.3 m","Density, 0.25 m","Density, 0.2 m","Density, 0.15 m","Density, 0.1 m"
 0.0000000E+000, 2.0143063E+001, 7.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 2.0054490E+000, 3.0495155E+001, 6.4943561E+002, 1.8025291E+001, 1.5403006E+001, 1.1961176E+001, 9.0389051E+000, 6.2218862E+000, 4.7250037E+000, 3.8095849E+000, 3.4462066E+000, 3.1024833E+000, 2.8182871E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 4.0043068E+000, 5.7448555E+001, 6.1953601E+002, 1.5753486E+001, 1.3450459E+001, 1.0521258E+001, 8.0214548E+000, 5.6188273E+000, 4.3354931E+000, 3.5539315E+000, 3.2392519E+000, 2.9466529E+000, 2.7076468E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 6.0024693E+000, 8.2234932E+001, 6.0344446E+002, 1.4980923E+001, 1.2639606E+001, 9.9177341E+000, 7.6011114E+000, 5.3779616E+000, 4.1835227E+000, 3.4550352E+000, 3.1556828E+000, 2.8931205E+000, 2.8473315E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 8.0019531E+000, 1.0338418E+002, 5.9188257E+002, 1.4494699E+001, 1.2171838E+001, 9.5002117E+000, 7.3071241E+000, 5.2086987E+000, 4.0904627E+000, 3.4083459E+000, 3.1104786E+000, 2.8437583E+000, 2.6557288E+000, 3.0026224E+000, 3.0026393E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.0001302E+001, 1.2166010E+002, 5.8335077E+002, 1.4187747E+001, 1.1829581E+001, 9.2782927E+000, 7.1588421E+000, 5.1343646E+000, 4.0448933E+000, 3.3862824E+000, 3.1212835E+000, 2.8670416E+000, 2.6677189E+000, 3.0021660E+000, 3.0026176E+000, 3.0026383E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.2001501E+001, 1.3653273E+002, 5.7621661E+002, 1.3959987E+001, 1.1530507E+001, 9.1070433E+000, 7.0582981E+000, 5.1116414E+000, 4.0554171E+000, 3.4119048E+000, 3.1305728E+000, 2.8709121E+000, 2.6779153E+000, 3.0004315E+000, 3.0022902E+000, 3.0026083E+000, 3.0026386E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.4005043E+001, 1.4856717E+002, 5.7029120E+002, 1.3582853E+001, 1.1329228E+001, 8.9571342E+000, 6.9611125E+000, 5.0754609E+000, 4.0477815E+000, 3.4288709E+000, 3.1653450E+000, 2.9226725E+000, 2.7380958E+000, 2.9978218E+000, 3.0011306E+000, 3.0023375E+000, 3.0026259E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.6001956E+001, 1.6069830E+002, 5.6520782E+002, 1.3444510E+001, 1.1188228E+001, 8.8097324E+000, 6.8407865E+000, 5.0011783E+000, 4.0054712E+000, 3.4079652E+000, 3.1520007E+000, 2.9143655E+000, 2.7435455E+000, 2.9948034E+000, 2.9993086E+000, 3.0014770E+000, 3.0025320E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
