s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10","Density, 1.2 m","Density, 1.15 m","Density, 1.1 m","Density, 1.05 m","Density, 1.0 m","Density, 0.95 m","Density, 0.9 m","Density, 0.85 m","Density, 0.8 m","Density, 0.75 m","Density, 0.7 m","Density, 0.65 m","Density, 0.6 m","Density, 0.55 m","Density, 0.5 m","Density, 0.45 m","Density, 0.4 m","Density, 0.35 m","Density, 0.3 m","Density, 0.25 m","Density, 0.2 m","Density, 0.15 m","Density, 0.1 m"
 0.0000000E+000, 2.0359591E+001, 8.0000000E+002,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 5.0012524E+000, 3.7762558E+001, 6.9930713E+002, 2.0413082E+001, 1.7464205E+001, 1.2859729E+001, 8.4388084E+000, 4.9889822E+000, 3.1822481E+000, 2.0423181E+000, 1.4179649E+000, 9.9079949E-001, 7.2278941E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 1.0008452E+001, 6.9869354E+001, 6.4574451E+002, 1.6471083E+001, 1.3858485E+001, 1.0138294E+001, 6.6092882E+000, 3.8199213E+000, 2.4075723E+000, 1.5301819E+000, 1.0339954E+000, 7.2293341E-001, 5.1018512E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 1.5007983E+001, 8.4699692E+001, 6.2064252E+002, 1.5282414E+001, 1.2656734E+001, 9.1973658E+000, 5.9839993E+000, 3.4812970E+000, 2.1684630E+000, 1.3317999E+000, 9.0578836E-001, 6.2276882E-001, 4.3500060E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 2.0013769E+001, 9.0469597E+001, 6.0338464E+002, 1.4354448E+001, 1.1772783E+001, 8.5230780E+000, 5.5319705E+000, 3.2233880E+000, 2.0141311E+000, 1.2498581E+000, 8.3991712E-001, 5.8086205E-001, 4.0862441E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 2.5001820E+001, 9.3366508E+001, 5.9052258E+002, 1.3650054E+001, 1.1114203E+001, 8.0204973E+000, 5.1970177E+000, 3.0346024E+000, 1.9001101E+000, 1.1865690E+000, 8.0814505E-001, 5.7268667E-001, 4.1748393E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 3.0012522E+001, 9.5258232E+001, 5.8030371E+002, 1.3113223E+001, 1.0618442E+001, 7.6344910E+000, 4.9374199E+000, 2.8877046E+000, 1.8132340E+000, 1.1337696E+000, 7.8257155E-001, 5.6739998E-001, 4.3195811E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 3.5002365E+001, 9.7167343E+001, 5.7190021E+002, 1.2633456E+001, 1.0203568E+001, 7.3340721E+000, 4.7431650E+000, 2.7804854E+000, 1.7504361E+000, 1.0978787E+000, 7.6943600E-001, 5.5844903E-001, 4.2054769E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 4.0011391E+001, 9.8414330E+001, 5.6485687E+002, 1.2329338E+001, 9.9028511E+000, 7.0908775E+000, 4.5811591E+000, 2.6908572E+000, 1.6971881E+000, 1.0665513E+000, 7.6713663E-001, 5.7152700E-001, 4.4041115E-001, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
