s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10"
 0.0000000E+000, 2.0000000E+001, 5.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011
 1.5018110E+000, 2.0009991E+001, 4.7855460E+002, 7.6762719E+000, 6.4389734E+000, 4.6795425E+000, 2.9334095E+000, 1.6503557E+000, 9.8136729E-001, 5.8429712E-001, 3.6708361E-001, 2.2542797E-001, 1.3511789E-001
 3.0006110E+000, 2.0034685E+001, 4.6434747E+002, 7.0873694E+000, 5.8720136E+000, 4.2583766E+000, 2.6707401E+000, 1.5062139E+000, 8.9747119E-001, 5.3591609E-001, 3.3795989E-001, 2.0904703E-001, 1.2693313E-001
 4.5239444E+000, 2.1106722E+001, 4.5639087E+002, 6.9849529E+000, 5.6731372E+000, 4.0924292E+000, 2.5636642E+000, 1.4471395E+000, 8.6332715E-001, 5.1668853E-001, 3.2650483E-001, 2.0257322E-001, 1.2386601E-001
 6.0046018E+000, 2.5327644E+001, 4.5053976E+002, 6.9203949E+000, 5.5507951E+000, 3.9882889E+000, 2.4964528E+000, 1.4118583E+000, 8.4386271E-001, 5.0682664E-001, 3.2146785E-001, 2.0023496E-001, 1.2374849E-001
 7.5024153E+000, 2.9550095E+001, 4.4554056E+002, 6.8079171E+000, 5.4441786E+000, 3.9037919E+000, 2.4448159E+000, 1.3839200E+000, 8.2755631E-001, 4.9759647E-001, 3.1607753E-001, 1.9739799E-001, 1.2279832E-001
 9.0087843E+000, 3.2471230E+001, 4.4129822E+002, 6.7823396E+000, 5.3768978E+000, 3.8464897E+000, 2.4088297E+000, 1.3644921E+000, 8.1722528E-001, 4.9241421E-001, 3.1340528E-001, 1.9642206E-001, 1.2301452E-001
 1.0503536E+001, 3.6068542E+001, 4.3773132E+002, 6.8612137E+000, 5.3563066E+000, 3.8141842E+000, 2.3863380E+000, 1.3544476E+000, 8.1345862E-001, 4.9205795E-001, 3.1435189E-001, 1.9812906E-001, 1.2546360E-001
 1.2005153E+001, 4.0249100E+001, 4.3458246E+002, 6.8105555E+000, 5.2887602E+000, 3.7555299E+000, 2.3470998E+000, 1.3346003E+000, 8.0345213E-001, 4.8749304E-001, 3.1263548E-001, 1.9811733E-001, 1.2683295E-001
 1.3506771E+001, 4.3522789E+001, 4.3186795E+002, 6.7133226E+000, 5.2444029E+000, 3.7169349E+000, 2.3229570E+000, 1.3224998E+000, 7.9711872E-001, 4.8565769E-001, 3.1330684E-001, 1.9991300E-001, 1.2955819E-001
 1.5008389E+001, 4.6510620E+001, 4.2957822E+002, 6.7115574E+000, 5.2065825E+000, 3.6809947E+000, 2.3014402E+000, 1.3124493E+000, 7.9245043E-001, 4.8414674E-001, 3.1359479E-001, 2.0125201E-001, 1.3170128E-001
 1.6511658E+001, 5.1277935E+001, 4.2745413E+002, 6.6578488E+000, 5.1616459E+000, 3.6377060E+000, 2.2716572E+000, 1.2969881E+000, 7.8478426E-001, 4.8110804E-001, 3.1292841E-001, 2.0224543E-001, 1.3401310E-001
 1.8011899E+001, 5.5619495E+001, 4.2545956E+002, 6.6190844E+000, 5.1025929E+000, 3.5876877E+000, 2.2368152E+000, 1.2769397E+000, 7.7278030E-001, 4.7484592E-001, 3.0999625E-001, 2.0167473E-001, 1.3513198E-001
 1.9511306E+001, 5.8031303E+001, 4.2353491E+002, 6.6326818E+000, 5.0653925E+000, 3.5584493E+000, 2.2173562E+000, 1.2669933E+000, 7.6787227E-001, 4.7314650E-001, 3.0998150E-001, 2.0275573E-001, 1.3690875E-001
 2.1010713E+001, 5.9630249E+001, 4.2185123E+002, 6.5576062E+000, 5.0109525E+000, 3.5139041E+000, 2.1874526E+000, 1.2502691E+000, 7.5837892E-001, 4.6848902E-001, 3.0812562E-001, 2.0284125E-001, 1.3815776E-001
 2.2511359E+001, 6.1769642E+001, 4.2011020E+002, 6.5699582E+000, 4.9806619E+000, 3.4891937E+000, 2.1734374E+000, 1.2447912E+000, 7.5705481E-001, 4.6973327E-001, 3.1064853E-001, 2.0589410E-001, 1.4192039E-001
 2.4010766E+001, 6.4023849E+001, 4.1859702E+002, 6.5697770E+000, 4.9397111E+000, 3.4586320E+000, 2.1552901E+000, 1.2361248E+000, 7.5354415E-001, 4.6947572E-001, 3.1169948E-001, 2.0871483E-001, 1.4696218E-001
 2.5510173E+001, 6.6030029E+001, 4.1716428E+002, 6.4633288E+000, 4.8727484E+000, 3.4213560E+000, 2.1341176E+000, 1.2260349E+000, 7.4962181E-001, 4.6871632E-001, 3.1286043E-001, 2.1266934E-001, 1.5192768E-001
 2.7009580E+001, 6.7982445E+001, 4.1586563E+002, 6.4265628E+000, 4.8354239E+000, 3.3883231E+000, 2.1130311E+000, 1.2161733E+000, 7.4515575E-001, 4.6628529E-001, 3.1429043E-001, 2.1535912E-001, 1.5528266E-001
 2.8508987E+001, 6.9294640E+001, 4.1466907E+002, 6.4545126E+000, 4.8241277E+000, 3.3746448E+000, 2.1057169E+000, 1.2129381E+000, 7.4424976E-001, 4.6743524E-001, 3.1592262E-001, 2.2214828E-001, 1.6597719E-001
 3.0008394E+001, 7.0491982E+001, 4.1352057E+002, 6.4423862E+000, 4.8120289E+000, 3.3582821E+000, 2.0937164E+000, 1.2079766E+000, 7.4273372E-001, 4.6812943E-001, 3.2043928E-001, 2.2466935E-001, 1.6700210E-001
 3.1507801E+001, 7.1779999E+001, 4.1252295E+002, 6.3958721E+000, 4.7668476E+000, 3.3331611E+000, 2.0808825E+000, 1.2022300E+000, 7.3922324E-001, 4.6858156E-001, 3.2245576E-001, 2.2542344E-001, 1.6651037E-001
 3.3007208E+001, 7.2769432E+001, 4.1144589E+002, 6.3211594E+000, 4.7308216E+000, 3.3125329E+000, 2.0701106E+000, 1.1984043E+000, 7.3796296E-001, 4.7474128E-001, 3.3164307E-001, 2.3821877E-001, 1.8552743E-001
 3.4506615E+001, 7.4431824E+001, 4.1046225E+002, 6.3580599E+000, 4.7295980E+000, 3.3009746E+000, 2.0608175E+000, 1.1935118E+000, 7.3614484E-001, 4.7699943E-001, 3.3890855E-001, 2.4500585E-001, 1.8607087E-001
 3.6010111E+001, 7.6184715E+001, 4.0957242E+002, 6.3815088E+000, 4.7220430E+000, 3.2885168E+000, 2.0511997E+000, 1.1884973E+000, 7.3664057E-001, 4.7080174E-001, 3.2866713E-001, 2.3958141E-001, 1.8245563E-001
 3.7509518E+001, 7.7985764E+001, 4.0871100E+002, 6.3653607E+000, 4.7025900E+000, 3.2723813E+000, 2.0419192E+000, 1.1855516E+000, 7.3649621E-001, 4.7078821E-001, 3.3172041E-001, 2.4194431E-001, 1.8880938E-001
 3.9008925E+001, 7.9171997E+001, 4.0784546E+002, 6.3337507E+000, 4.6797428E+000, 3.2543137E+000, 2.0330210E+000, 1.1822225E+000, 7.3513615E-001, 4.7123474E-001, 3.3183998E-001, 2.3932533E-001, 1.8807253E-001
 4.0508332E+001, 7.9577553E+001, 4.0705487E+002, 6.3146877E+000, 4.6668973E+000, 3.2394350E+000, 2.0217640E+000, 1.1767193E+000, 7.2916543E-001, 4.7539291E-001, 3.3667231E-001, 2.4417247E-001, 1.8897276E-001
 4.2007738E+001, 8.0376556E+001, 4.0636630E+002, 6.3060923E+000, 4.6598063E+000, 3.2362049E+000, 2.0195017E+000, 1.1752565E+000, 7.2359413E-001, 4.8211309E-001, 3.4191692E-001, 2.4865669E-001, 1.9200104E-001
 4.3507145E+001, 8.0910858E+001, 4.0571463E+002, 6.2491846E+000, 4.6286116E+000, 3.2139115E+000, 2.0055871E+000, 1.1682719E+000, 7.2357708E-001, 4.7936508E-001, 3.4088093E-001, 2.4880248E-001, 1.9527955E-001
 4.5006552E+001, 8.1198463E+001, 4.0519202E+002, 6.2985573E+000, 4.6312041E+000, 3.2106836E+000, 2.0065470E+000, 1.1732845E+000, 7.3446977E-001, 4.7948709E-001, 3.4405497E-001, 2.5514600E-001, 2.0382492E-001
 4.6505959E+001, 8.2714699E+001, 4.0451233E+002, 6.1925635E+000, 4.5836892E+000, 3.1851528E+000, 1.9925802E+000, 1.1640103E+000, 7.2727174E-001, 4.7574383E-001, 3.4156668E-001, 2.5378057E-001, 2.0958126E-001
 4.8005366E+001, 8.3107178E+001, 4.0384100E+002, 6.1628442E+000, 4.5847268E+000, 3.1831238E+000, 1.9875712E+000, 1.1606059E+000, 7.2075224E-001, 4.8432854E-001, 3.4571511E-001, 2.5459072E-001, 2.0360751E-001
 4.9504773E+001, 8.3492279E+001, 4.0334753E+002, 6.1898022E+000, 4.5829139E+000, 3.1765850E+000, 1.9834861E+000, 1.1602314E+000, 7.2431195E-001, 4.8394200E-001, 3.5031271E-001, 2.6002762E-001, 2.0615351E-001
 5.1004180E+001, 8.3779900E+001, 4.0280246E+002, 6.2109022E+000, 4.5668974E+000, 3.1645641E+000, 1.9774684E+000, 1.1572046E+000, 7.1578562E-001, 4.8429197E-001, 3.5120806E-001, 2.6401985E-001, 2.1128415E-001
 5.2503587E+001, 8.3269676E+001, 4.0226938E+002, 6.2040963E+000, 4.5520859E+000, 3.1539571E+000, 1.9742980E+000, 1.1585594E+000, 7.2023690E-001, 4.8734078E-001, 3.5400900E-001, 2.6551920E-001, 2.1157545E-001
 5.4002994E+001, 8.3155830E+001, 4.0181201E+002, 6.2148428E+000, 4.5458794E+000, 3.1496904E+000, 1.9714575E+000, 1.1574067E+000, 7.2251958E-001, 4.9018031E-001, 3.6399406E-001, 2.8328031E-001, 2.3060212E-001
 5.5502401E+001, 8.3451248E+001, 4.0120825E+002, 6.1876626E+000, 4.5168791E+000, 3.1357143E+000, 1.9639080E+000, 1.1538439E+000, 7.2158277E-001, 4.9101540E-001, 3.6473763E-001, 2.8318185E-001, 2.3302831E-001
 5.7001808E+001, 8.4004852E+001, 4.0064178E+002, 6.1274433E+000, 4.4815955E+000, 3.1153290E+000, 1.9536421E+000, 1.1495174E+000, 7.2251374E-001, 4.8959556E-001, 3.6152309E-001, 2.7636015E-001, 2.2579239E-001
 5.8501215E+001, 8.5252007E+001, 4.0017236E+002, 6.1902084E+000, 4.5170126E+000, 3.1212220E+000, 1.9527875E+000, 1.1485291E+000, 7.2298664E-001, 4.9112663E-001, 3.5921466E-001, 2.7228832E-001, 2.2230956E-001
 6.0000622E+001, 8.5658707E+001, 3.9976987E+002, 6.1311622E+000, 4.5084319E+000, 3.1230021E+000, 1.9565057E+000, 1.1514676E+000, 7.2356331E-001, 4.9263844E-001, 3.5858062E-001, 2.7022335E-001, 2.2050980E-001
 6.1500029E+001, 8.6091255E+001, 3.9924765E+002, 6.1069765E+000, 4.4834490E+000, 3.1040599E+000, 1.9451358E+000, 1.1476076E+000, 7.1967661E-001, 4.9427527E-001, 3.6666116E-001, 2.8181130E-001, 2.2771555E-001
 6.3002718E+001, 8.6539925E+001, 3.9891245E+002, 6.1120119E+000, 4.4699659E+000, 3.0918849E+000, 1.9371995E+000, 1.1424220E+000, 7.1798187E-001, 4.9136320E-001, 3.6563674E-001, 2.8212067E-001, 2.3042980E-001
 6.4501775E+001, 8.6835777E+001, 3.9851553E+002, 6.1418066E+000, 4.4738216E+000, 3.0911231E+000, 1.9363389E+000, 1.1433786E+000, 7.2150993E-001, 4.8832852E-001, 3.6177874E-001, 2.7757466E-001, 2.2937146E-001
 6.6000832E+001, 8.6425438E+001, 3.9811243E+002, 6.1598978E+000, 4.4883485E+000, 3.0992954E+000, 1.9391901E+000, 1.1444060E+000, 7.1919036E-001, 4.9289900E-001, 3.6415032E-001, 2.7752441E-001, 2.2588401E-001
 6.7508578E+001, 8.6679756E+001, 3.9774487E+002, 6.0438972E+000, 4.4488025E+000, 3.0769773E+000, 1.9297503E+000, 1.1411831E+000, 7.1684974E-001, 5.0056720E-001, 3.7339509E-001, 2.8588215E-001, 2.3405503E-001
 6.9005452E+001, 8.6973923E+001, 3.9739093E+002, 6.0877471E+000, 4.4627109E+000, 3.0784507E+000, 1.9285325E+000, 1.1411636E+000, 7.1915680E-001, 4.9507713E-001, 3.6800930E-001, 2.8416049E-001, 2.3160768E-001
 7.0513942E+001, 8.7163147E+001, 3.9707642E+002, 6.1287446E+000, 4.4717336E+000, 3.0844114E+000, 1.9302341E+000, 1.1420274E+000, 7.1981990E-001, 4.9964464E-001, 3.7624511E-001, 2.8840858E-001, 2.3513815E-001
 7.2006393E+001, 8.7077316E+001, 3.9674545E+002, 6.1065316E+000, 4.4496551E+000, 3.0762496E+000, 1.9301097E+000, 1.1423982E+000, 7.2068208E-001, 5.0225925E-001, 3.7403852E-001, 2.9291120E-001, 2.4887179E-001
 7.3506104E+001, 8.6785385E+001, 3.9635532E+002, 6.0755529E+000, 4.4279289E+000, 3.0649722E+000, 1.9246382E+000, 1.1416034E+000, 7.2479749E-001, 4.9597102E-001, 3.7090945E-001, 2.8762940E-001, 2.3804814E-001
 7.5005153E+001, 8.6960037E+001, 3.9599133E+002, 6.0903778E+000, 4.4211259E+000, 3.0568700E+000, 1.9164490E+000, 1.1358899E+000, 7.2032261E-001, 5.0777131E-001, 3.8636383E-001, 3.0437332E-001, 2.5372091E-001
 7.6504202E+001, 8.7113068E+001, 3.9564249E+002, 6.1017909E+000, 4.4242034E+000, 3.0555484E+000, 1.9157805E+000, 1.1356245E+000, 7.2490072E-001, 5.0477952E-001, 3.8051280E-001, 2.9569480E-001, 2.4268538E-001
 7.8003251E+001, 8.7431168E+001, 3.9534360E+002, 6.0970554E+000, 4.4266152E+000, 3.0576077E+000, 1.9181061E+000, 1.1379039E+000, 7.1835387E-001, 5.0386262E-001, 3.8354602E-001, 3.0119061E-001, 2.4379896E-001
 7.9510866E+001, 8.7808044E+001, 3.9517435E+002, 6.0870819E+000, 4.4211721E+000, 3.0483491E+000, 1.9123038E+000, 1.1374742E+000, 7.1790707E-001, 5.0489193E-001, 3.8027880E-001, 2.9856893E-001, 2.4745752E-001
 8.1002777E+001, 8.8188736E+001, 3.9493695E+002, 6.0781970E+000, 4.4232311E+000, 3.0476499E+000, 1.9127766E+000, 1.1383976E+000, 7.1958345E-001, 5.0759667E-001, 3.8076994E-001, 2.9636654E-001, 2.4855506E-001
 8.2510392E+001, 8.7833672E+001, 3.9463931E+002, 6.0414457E+000, 4.4104824E+000, 3.0429394E+000, 1.9100977E+000, 1.1371309E+000, 7.2416961E-001, 4.9971113E-001, 3.7578493E-001, 2.9655224E-001, 2.5219807E-001
 8.4002302E+001, 8.8216919E+001, 3.9434793E+002, 6.0182953E+000, 4.4117241E+000, 3.0409136E+000, 1.9094132E+000, 1.1377139E+000, 7.2260755E-001, 5.0609010E-001, 3.8338131E-001, 3.0307293E-001, 2.5435847E-001
 8.5509917E+001, 8.8641205E+001, 3.9420483E+002, 6.0524979E+000, 4.4246058E+000, 3.0374615E+000, 1.9060966E+000, 1.1338415E+000, 7.2932184E-001, 5.1114881E-001, 3.8730928E-001, 3.0946037E-001, 2.5977945E-001
 8.7001828E+001, 8.8847748E+001, 3.9401358E+002, 6.1062851E+000, 4.4286633E+000, 3.0456471E+000, 1.9104885E+000, 1.1399187E+000, 7.2059470E-001, 5.0722378E-001, 3.8359874E-001, 3.0432004E-001, 2.5766763E-001
 8.8509443E+001, 8.8981003E+001, 3.9372198E+002, 6.0765457E+000, 4.4051342E+000, 3.0315359E+000, 1.9039352E+000, 1.1363133E+000, 7.2412181E-001, 5.0728434E-001, 3.8545126E-001, 3.0631122E-001, 2.6052663E-001
 9.0001354E+001, 8.9115738E+001, 3.9346924E+002, 6.0942550E+000, 4.4116116E+000, 3.0360572E+000, 1.9047382E+000, 1.1364552E+000, 7.2092861E-001, 5.1087004E-001, 3.9088997E-001, 3.1190366E-001, 2.6554349E-001
