s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000286E+000, 9.2982728E-001, 2.9646698E-001,-6.5078841E-001, 1.5032652E+000, 2.6215285E-005
 1.0000784E+001, 2.1117021E+000, 7.4145886E-001, 2.6335003E-001, 1.7040668E+000, 5.8883362E-005
 1.5003190E+001, 2.7587508E+000, 1.0239453E+000, 6.0166917E-001, 1.9752384E+000, 7.5145296E-005
 2.0001581E+001, 2.7606552E+000, 1.0554948E+000, 6.0122204E-001, 1.9667836E+000, 7.5145486E-005
 2.5005491E+001, 2.7630597E+000, 1.0570481E+000, 6.2565258E-001, 1.9374940E+000, 7.5145437E-005
 3.0003998E+001, 2.7616201E+000, 1.0632561E+000, 6.3779586E-001, 1.9167641E+000, 7.5145388E-005
 3.5002872E+001, 2.7609981E+000, 1.0545949E+000, 6.5187812E-001, 1.8954932E+000, 7.5145339E-005
 4.0003773E+001, 2.7639963E+000, 1.0485030E+000, 6.7571834E-001, 1.8719851E+000, 7.5145290E-005
 4.5006222E+001, 2.7615274E+000, 1.0408062E+000, 6.7206910E-001, 1.8697765E+000, 7.5145240E-005
 5.0003689E+001, 2.7620591E+000, 1.0426307E+000, 6.6824340E-001, 1.8696704E+000, 7.5145191E-005
 5.5002262E+001, 2.7595989E+000, 1.0464616E+000, 6.6285681E-001, 1.8709031E+000, 7.5145142E-005
 6.0000977E+001, 2.7623480E+000, 1.0470774E+000, 6.6102022E-001, 1.8715135E+000, 7.5145093E-005
 6.5005257E+001, 2.7618331E+000, 1.0549861E+000, 6.5518227E-001, 1.8752390E+000, 7.5145044E-005
 7.0003105E+001, 2.7631446E+000, 1.0533705E+000, 6.6773758E-001, 1.8624180E+000, 7.5144994E-005
 7.5000107E+001, 2.7613502E+000, 1.0575322E+000, 6.6177738E-001, 1.8633492E+000, 7.5144945E-005
 8.0001595E+001, 2.7612472E+000, 1.0623000E+000, 6.5332338E-001, 1.8708369E+000, 7.5144896E-005
 8.5000443E+001, 2.7643846E+000, 1.0744814E+000, 6.6166553E-001, 1.8639543E+000, 7.5144847E-005
 9.0005295E+001, 2.7606848E+000, 1.0686134E+000, 6.6519184E-001, 1.8538830E+000, 7.5144798E-005
 9.5000557E+001, 2.7592668E+000, 1.0713834E+000, 6.7461086E-001, 1.8419944E+000, 7.5144748E-005
 1.0000272E+002, 2.7627845E+000, 1.0788422E+000, 6.7410563E-001, 1.8445897E+000, 7.5144699E-005
 1.0500120E+002, 2.7602230E+000, 1.0782714E+000, 6.6957695E-001, 1.8453587E+000, 7.5144650E-005
 1.1000069E+002, 2.7602134E+000, 1.0857577E+000, 6.7152001E-001, 1.8418914E+000, 7.5144601E-005
 1.1500035E+002, 2.7665722E+000, 1.0876023E+000, 6.7362410E-001, 1.8440068E+000, 7.5144552E-005
 1.2000576E+002, 2.7587307E+000, 1.0928535E+000, 6.5536401E-001, 1.8539163E+000, 7.5144502E-005
 1.2500098E+002, 2.7636873E+000, 1.0905308E+000, 6.8075297E-001, 1.8326878E+000, 7.5144453E-005
 1.3000348E+002, 2.7616933E+000, 1.0886570E+000, 6.8703810E-001, 1.8223522E+000, 7.5144404E-005
 1.3500429E+002, 2.7608450E+000, 1.1045008E+000, 6.7238813E-001, 1.8358921E+000, 7.5144355E-005
 1.4000516E+002, 2.7608693E+000, 1.0968622E+000, 6.8724354E-001, 1.8194742E+000, 7.5144306E-005
 1.4500316E+002, 2.7657274E+000, 1.0978137E+000, 6.8392745E-001, 1.8267231E+000, 7.5144256E-005
 1.5000377E+002, 2.7597018E+000, 1.1012528E+000, 6.9061829E-001, 1.8129914E+000, 7.5144207E-005
 1.5500447E+002, 2.7601205E+000, 1.1088069E+000, 6.7818808E-001, 1.8235979E+000, 7.5144158E-005
 1.6000252E+002, 2.7649089E+000, 1.1089895E+000, 6.9302814E-001, 1.8130343E+000, 7.5144109E-005
 1.6500433E+002, 2.7581817E+000, 1.1093190E+000, 6.9977749E-001, 1.7995292E+000, 7.5144060E-005
