s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10"
 0.0000000E+000, 2.0000000E+001, 5.5000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011
 1.5052275E+000, 2.0012707E+001, 5.2329498E+002, 9.7558537E+000, 8.1903553E+000, 5.9532061E+000, 3.7322657E+000, 2.1006048E+000, 1.2492937E+000, 7.4390310E-001, 4.6734253E-001, 2.8691730E-001, 1.7187721E-001
 3.0237452E+000, 2.0042913E+001, 5.0566727E+002, 8.8040323E+000, 7.3182197E+000, 5.3111138E+000, 3.3308496E+000, 1.8779843E+000, 1.1186092E+000, 6.6767061E-001, 4.2087901E-001, 2.6020882E-001, 1.5789588E-001
 4.5019938E+000, 2.1406324E+001, 4.9598062E+002, 8.5666380E+000, 7.0023685E+000, 5.0604658E+000, 3.1708305E+000, 1.7893747E+000, 1.0670962E+000, 6.3834739E-001, 4.0320984E-001, 2.4999078E-001, 1.5271077E-001
 6.0040851E+000, 2.5983709E+001, 4.8874664E+002, 8.4417868E+000, 6.8061051E+000, 4.9005818E+000, 3.0679896E+000, 1.7342629E+000, 1.0357636E+000, 6.2135446E-001, 3.9367002E-001, 2.4488936E-001, 1.5094742E-001
 7.5076525E+000, 3.0361870E+001, 4.8264841E+002, 8.2166071E+000, 6.6335974E+000, 4.7730451E+000, 2.9893725E+000, 1.6918932E+000, 1.0110813E+000, 6.0740495E-001, 3.8541409E-001, 2.4038228E-001, 1.4907339E-001
 9.0129175E+000, 3.3452141E+001, 4.7757486E+002, 8.1174545E+000, 6.5206819E+000, 4.6785131E+000, 2.9308510E+000, 1.6597072E+000, 9.9320412E-001, 5.9779310E-001, 3.7999406E-001, 2.3778205E-001, 1.4838901E-001
 1.0510206E+001, 3.6954964E+001, 4.7325409E+002, 8.1218138E+000, 6.4461212E+000, 4.6141219E+000, 2.8893085E+000, 1.6394070E+000, 9.8256099E-001, 5.9375405E-001, 3.7861761E-001, 2.3809907E-001, 1.4999041E-001
 1.2000530E+001, 4.0332489E+001, 4.6951233E+002, 8.0423660E+000, 6.3510642E+000, 4.5351729E+000, 2.8333933E+000, 1.6101288E+000, 9.6752495E-001, 5.8564645E-001, 3.7478250E-001, 2.3671538E-001, 1.5039107E-001
 1.3501805E+001, 4.3383335E+001, 4.6632135E+002, 8.0417948E+000, 6.2916656E+000, 4.4729080E+000, 2.7989202E+000, 1.5914265E+000, 9.5757371E-001, 5.8138877E-001, 3.7391257E-001, 2.3757084E-001, 1.5259615E-001
 1.5003080E+001, 4.6897099E+001, 4.6348819E+002, 7.9541535E+000, 6.2325435E+000, 4.4237409E+000, 2.7647789E+000, 1.5728369E+000, 9.4779199E-001, 5.7724649E-001, 3.7261057E-001, 2.3793426E-001, 1.5427932E-001
 1.6504355E+001, 5.0210232E+001, 4.6080713E+002, 7.9487209E+000, 6.1639600E+000, 4.3568416E+000, 2.7198133E+000, 1.5493658E+000, 9.3466604E-001, 5.7047635E-001, 3.6904794E-001, 2.3699732E-001, 1.5521933E-001
 1.8005630E+001, 5.4025555E+001, 4.5831909E+002, 7.9149384E+000, 6.0870228E+000, 4.2969995E+000, 2.6796641E+000, 1.5263705E+000, 9.2168808E-001, 5.6433964E-001, 3.6677352E-001, 2.3724860E-001, 1.5724106E-001
