s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10","Density, 1.2 m","Density, 1.15 m","Density, 1.1 m","Density, 1.05 m","Density, 1.0 m","Density, 0.95 m","Density, 0.9 m","Density, 0.85 m","Density, 0.8 m","Density, 0.75 m","Density, 0.7 m","Density, 0.65 m","Density, 0.6 m","Density, 0.55 m","Density, 0.5 m","Density, 0.45 m","Density, 0.4 m","Density, 0.35 m","Density, 0.3 m","Density, 0.25 m","Density, 0.2 m","Density, 0.15 m","Density, 0.1 m"
 0.0000000E+000, 2.0136351E+001, 5.5000000E+002,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011,-4.6526508E-011, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 5.0038204E+000, 3.3465004E+001, 5.0811963E+002, 8.9435110E+000, 7.7319651E+000, 5.8963566E+000, 4.1207433E+000, 2.7343943E+000, 2.0087736E+000, 1.5500400E+000, 1.3019215E+000, 1.1395868E+000, 1.0308764E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 1.0005227E+001, 6.2824852E+001, 4.8265921E+002, 8.3322372E+000, 7.0484905E+000, 5.3607988E+000, 3.7854440E+000, 2.5489869E+000, 1.8992260E+000, 1.4868318E+000, 1.2628402E+000, 1.1186745E+000, 1.0214947E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 1.5010629E+001, 8.7750305E+001, 4.7030576E+002, 8.2510300E+000, 6.8582044E+000, 5.1918907E+000, 3.6724141E+000, 2.4981422E+000, 1.8776573E+000, 1.4901283E+000, 1.2829248E+000, 1.1366389E+000, 1.0502990E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 2.0000146E+001, 1.0923167E+002, 4.6211234E+002, 8.0585117E+000, 6.6534719E+000, 5.0387077E+000, 3.5888975E+000, 2.4670653E+000, 1.8731115E+000, 1.4994727E+000, 1.2935086E+000, 1.1560843E+000, 1.0705520E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 2.5004301E+001, 1.2194400E+002, 4.5602371E+002, 8.0304537E+000, 6.5569520E+000, 4.9546657E+000, 3.5315125E+000, 2.4452236E+000, 1.8695185E+000, 1.5102636E+000, 1.3096284E+000, 1.1770929E+000, 1.0926061E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 3.0010991E+001, 1.3123259E+002, 4.5124570E+002, 7.9442325E+000, 6.4476705E+000, 4.8616676E+000, 3.4740863E+000, 2.4231498E+000, 1.8660311E+000, 1.5189513E+000, 1.3252478E+000, 1.1961436E+000, 1.1143910E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 3.5003735E+001, 1.3788748E+002, 4.4740643E+002, 7.9301300E+000, 6.3737149E+000, 4.7971497E+000, 3.4349377E+000, 2.4108717E+000, 1.8673843E+000, 1.5294964E+000, 1.3407056E+000, 1.2147025E+000, 1.1351081E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
 4.0010425E+001, 1.4270285E+002, 4.4411615E+002, 7.8496766E+000, 6.2945533E+000, 4.7375913E+000, 3.4001489E+000, 2.3995235E+000, 1.8678682E+000, 1.5381534E+000, 1.3535528E+000, 1.2302969E+000, 1.1528012E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000, 9.6199999E+000
