s,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2
FDS Time,"TC-1","TC-2","HFG_1","HFG_2","HFG_3","HFG_4","HFG_5","HFG_6","HFG_7","HFG_8","HFG_9","HFG_10","Density, 1.2 m","Density, 1.15 m","Density, 1.1 m","Density, 1.05 m","Density, 1.0 m","Density, 0.95 m","Density, 0.9 m","Density, 0.85 m","Density, 0.8 m","Density, 0.75 m","Density, 0.7 m","Density, 0.65 m","Density, 0.6 m","Density, 0.55 m","Density, 0.5 m","Density, 0.45 m","Density, 0.4 m","Density, 0.35 m","Density, 0.3 m","Density, 0.25 m","Density, 0.2 m","Density, 0.15 m","Density, 0.1 m"
 0.0000000E+000, 2.0277660E+001, 7.0000000E+002,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011,-4.6526453E-011, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 2.0029389E+000, 3.1649351E+001, 6.4910706E+002, 1.9301355E+001, 1.6651789E+001, 1.2809112E+001, 8.9721556E+000, 6.1667223E+000, 4.6974068E+000, 3.8255196E+000, 3.3461938E+000, 3.0480893E+000, 2.8464248E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 4.0047655E+000, 5.9421303E+001, 6.1778314E+002, 1.6484703E+001, 1.4176126E+001, 1.0991946E+001, 7.8166637E+000, 5.4890628E+000, 4.2642841E+000, 3.5367525E+000, 3.1356094E+000, 2.8838425E+000, 2.7192008E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 6.0137247E+000, 8.3725937E+001, 6.0113788E+002, 1.5534153E+001, 1.3278866E+001, 1.0252725E+001, 7.3657093E+000, 5.2230530E+000, 4.0954857E+000, 3.4339283E+000, 3.0903115E+000, 2.8787925E+000, 2.6622851E+000, 3.0026393E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 8.0105766E+000, 1.0347662E+002, 5.8932965E+002, 1.5050511E+001, 1.2731757E+001, 9.9860373E+000, 7.1953650E+000, 5.1359048E+000, 4.0721097E+000, 3.4534221E+000, 3.1283967E+000, 2.9276433E+000, 2.7528217E+000, 3.0025599E+000, 3.0026362E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.0001948E+001, 1.2144344E+002, 5.8053638E+002, 1.4790557E+001, 1.2385946E+001, 9.6536951E+000, 6.9996591E+000, 5.1091728E+000, 4.0798130E+000, 3.4492016E+000, 3.0901310E+000, 2.8992391E+000, 2.7552857E+000, 3.0015216E+000, 3.0024991E+000, 3.0026295E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.2011057E+001, 1.3729330E+002, 5.7334442E+002, 1.4348581E+001, 1.2055763E+001, 9.4785347E+000, 6.9034829E+000, 5.0479736E+000, 4.0811009E+000, 3.4741561E+000, 3.1357460E+000, 2.9228275E+000, 2.7962530E+000, 2.9991267E+000, 3.0015583E+000, 3.0024576E+000, 3.0026381E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.4010958E+001, 1.5185167E+002, 5.6706689E+002, 1.4136277E+001, 1.1934158E+001, 9.3404360E+000, 6.8311372E+000, 5.0109062E+000, 4.0478749E+000, 3.4691486E+000, 3.1552749E+000, 2.9695837E+000, 2.8838110E+000, 2.9960659E+000, 2.9996884E+000, 3.0016446E+000, 3.0026205E+000, 3.0026395E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
 1.6010859E+001, 1.6435814E+002, 5.6158472E+002, 1.3993451E+001, 1.1753455E+001, 9.1928110E+000, 6.7468238E+000, 4.9771819E+000, 4.0232716E+000, 3.4719508E+000, 3.1673403E+000, 2.9652510E+000, 2.8458436E+000, 2.9926543E+000, 2.9973011E+000, 3.0001371E+000, 3.0024948E+000, 3.0026386E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000, 3.0026398E+000
