s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8759393E-005, 0.0000000E+000, 0.0000000E+000
 5.0053811E+000, 2.0537936E+002, 7.3733041E+001, 1.1029608E+002, 7.5809019E+001, 4.3474387E-003
 1.0010864E+001, 4.7355485E+002, 1.8612407E+002, 2.3617661E+002, 2.2915635E+002, 1.0226348E-002
 1.5006967E+001, 7.8117512E+002, 3.3387598E+002, 3.4585548E+002, 4.2091037E+002, 1.6716110E-002
 2.0007160E+001, 1.0890321E+003, 5.0419782E+002, 4.1448181E+002, 6.3451866E+002, 2.3334229E-002
 2.5009109E+001, 1.4053214E+003, 6.9970641E+002, 4.6902038E+002, 8.6882687E+002, 2.9900837E-002
 3.0007158E+001, 1.7231806E+003, 9.1943707E+002, 5.0398237E+002, 1.1249581E+003, 3.6647832E-002
 3.5004112E+001, 1.9725111E+003, 1.1300474E+003, 4.9070009E+002, 1.3700756E+003, 4.1329368E-002
 4.0009594E+001, 2.1217443E+003, 1.2890142E+003, 4.5397460E+002, 1.5463911E+003, 4.4126875E-002
 4.5008980E+001, 2.1893582E+003, 1.3749137E+003, 4.1594220E+002, 1.6470243E+003, 4.6926159E-002
 5.0000610E+001, 2.4493131E+003, 1.5561622E+003, 4.5916008E+002, 1.8551221E+003, 4.9730929E-002
 5.5005367E+001, 2.4550612E+003, 1.6250817E+003, 3.8101581E+002, 1.9336960E+003, 5.2527795E-002
 6.0005432E+001, 2.4906536E+003, 1.6978107E+003, 3.4708757E+002, 2.0154806E+003, 5.5334582E-002
 6.5003601E+001, 2.7351365E+003, 1.8437314E+003, 4.0802482E+002, 2.1728206E+003, 5.7373472E-002
 7.0004860E+001, 2.6067326E+003, 1.8074436E+003, 3.3972196E+002, 2.1414111E+003, 5.6290087E-002
 7.5000534E+001, 2.6440711E+003, 1.8515518E+003, 3.3287224E+002, 2.2026178E+003, 5.4882549E-002
 8.0001320E+001, 2.4989593E+003, 1.7651897E+003, 2.9259409E+002, 2.1005349E+003, 5.3456915E-002
 8.5003487E+001, 2.4275684E+003, 1.7028797E+003, 3.0221609E+002, 2.0331171E+003, 5.2045556E-002
 9.0006538E+001, 2.3462878E+003, 1.6832701E+003, 2.5146060E+002, 2.0189214E+003, 5.0643478E-002
 9.5009392E+001, 2.3417185E+003, 1.6582703E+003, 2.8324369E+002, 1.9757560E+003, 4.9223342E-002
 1.0000536E+002, 2.2609010E+003, 1.6113181E+003, 2.5641311E+002, 1.9269477E+003, 4.7805352E-002
 1.0500494E+002, 2.1919651E+003, 1.5653848E+003, 2.4963629E+002, 1.8800601E+003, 4.6394487E-002
