 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.48493E+02
 0.10000E+00, 0.47794E+02
 0.20000E+00, 0.47448E+02
 0.30000E+00, 0.48309E+02
 0.40000E+00, 0.49407E+02
 0.50000E+00, 0.51142E+02
 0.60000E+00, 0.54102E+02
 0.70000E+00, 0.60035E+02
 0.80000E+00, 0.69480E+02
 0.90000E+00, 0.82031E+02
 0.10000E+01, 0.10149E+03
 0.11000E+01, 0.13924E+03
 0.12000E+01, 0.19737E+03
 0.13000E+01, 0.27415E+03
 0.14000E+01, 0.36049E+03
 0.15000E+01, 0.44687E+03
 0.16000E+01, 0.52037E+03
 0.17000E+01, 0.56075E+03
 0.18000E+01, 0.57634E+03
 0.19000E+01, 0.58315E+03
 0.20000E+01, 0.58761E+03
 0.21000E+01, 0.59215E+03
 0.22000E+01, 0.59652E+03
 0.23000E+01, 0.59992E+03
 0.24000E+01, 0.60260E+03
 0.25000E+01, 0.60487E+03
 0.26000E+01, 0.61105E+03
 0.27000E+01, 0.64477E+03
 0.28000E+01, 0.67332E+03
