s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0127716E+000, 2.0000078E+001, 2.0257628E+001, 2.0259394E+001, 2.0490501E+001, 2.0514675E+001, 2.0547229E+001, 2.0000806E+001, 2.1823824E+001, 2.0843201E+001, 2.1092279E+001
 1.0000924E+001, 2.0000137E+001, 3.5597183E+001, 3.2268070E+001, 2.8676964E+001, 2.6820523E+001, 2.4426812E+001, 2.0266365E+001, 2.4243541E+001, 2.2225424E+001, 2.2932358E+001
 1.5005132E+001, 2.0000163E+001, 6.5647516E+001, 7.0246692E+001, 6.9267714E+001, 5.7941619E+001, 4.7974147E+001, 3.0770521E+001, 2.6577424E+001, 2.4087403E+001, 2.5274833E+001
 2.0007738E+001, 2.0000175E+001, 1.1319430E+002, 1.1349907E+002, 1.0833173E+002, 7.1395931E+001, 2.5799498E+001, 1.9427654E+001, 2.8815259E+001, 2.5935668E+001, 2.6765363E+001
 2.5005449E+001, 2.0000176E+001, 1.6274004E+002, 1.5687119E+002, 1.4538727E+002, 1.0756807E+002, 4.5814207E+001, 2.4806327E+001, 3.1839812E+001, 2.8152227E+001, 2.9041728E+001
 3.0006437E+001, 2.0000172E+001, 2.1374227E+002, 2.0377427E+002, 1.8040725E+002, 1.1531589E+002, 7.0108622E+001, 3.1213920E+001, 3.8192959E+001, 3.2190342E+001, 3.1588986E+001
 3.5008480E+001, 2.0000162E+001, 2.6386135E+002, 2.6031044E+002, 2.5081959E+002, 1.7777620E+002, 8.0894570E+001, 3.4325530E+001, 4.2464685E+001, 3.6093657E+001, 3.8869934E+001
 4.0000862E+001, 2.0000156E+001, 3.0122111E+002, 3.0590596E+002, 2.9645448E+002, 2.5257290E+002, 1.0452299E+002, 3.1947883E+001, 4.6534146E+001, 3.9632237E+001, 4.1948476E+001
 4.5005646E+001, 2.0000132E+001, 3.5175723E+002, 3.4364528E+002, 3.1738649E+002, 2.4803491E+002, 1.3058056E+002, 3.2185278E+001, 4.7500600E+001, 4.0757224E+001, 4.4537906E+001
 5.0000427E+001, 2.0000107E+001, 3.8872631E+002, 3.7608208E+002, 3.3391117E+002, 2.9077297E+002, 1.3777740E+002, 3.9127448E+001, 4.8784115E+001, 4.2333892E+001, 4.3859212E+001
 5.5001472E+001, 2.0000102E+001, 4.0499309E+002, 3.9466963E+002, 3.7448372E+002, 3.2714331E+002, 1.6736785E+002, 4.2943665E+001, 5.6422196E+001, 4.8475375E+001, 4.6359650E+001
 6.0002151E+001, 2.0000086E+001, 4.3437925E+002, 4.2664581E+002, 3.8780551E+002, 3.1797990E+002, 1.7834785E+002, 5.5753109E+001, 6.1414728E+001, 5.0259795E+001, 4.8111930E+001
 6.5005302E+001, 2.0000051E+001, 4.5263258E+002, 4.4308637E+002, 4.2394421E+002, 3.5819518E+002, 2.0482502E+002, 6.5481020E+001, 6.6502569E+001, 5.5685059E+001, 5.4868894E+001
 7.0003677E+001, 2.0000035E+001, 4.4181250E+002, 4.4116745E+002, 4.2357723E+002, 4.2067548E+002, 2.3793715E+002, 7.9270331E+001, 7.0995531E+001, 5.5715897E+001, 5.7751598E+001
 7.5000443E+001, 2.0000032E+001, 4.6129626E+002, 4.5630509E+002, 4.4553883E+002, 4.1806342E+002, 2.2268280E+002, 7.5857215E+001, 7.8899686E+001, 6.2623739E+001, 6.0555436E+001
 8.0009468E+001, 2.0000027E+001, 4.9367097E+002, 4.8613937E+002, 4.6444432E+002, 3.8741909E+002, 2.1946264E+002, 9.0033780E+001, 8.6400296E+001, 7.0304129E+001, 6.0074144E+001
 8.5002251E+001, 2.0000020E+001, 4.8033525E+002, 4.7796006E+002, 4.5557414E+002, 3.9848444E+002, 2.4345673E+002, 9.7335180E+001, 8.4618642E+001, 6.9432262E+001, 6.2840133E+001
 9.0000114E+001, 2.0000009E+001, 4.8744398E+002, 4.8151723E+002, 4.6857229E+002, 4.3768060E+002, 2.5777864E+002, 9.6357354E+001, 9.1360717E+001, 7.1057352E+001, 6.4342151E+001
 9.5006546E+001, 2.0000003E+001, 5.0112887E+002, 4.9507243E+002, 4.7758541E+002, 4.5695085E+002, 2.6691157E+002, 9.3856608E+001, 9.5341832E+001, 7.4436060E+001, 6.8449612E+001
 1.0000625E+002, 2.0000004E+001, 5.1572813E+002, 5.1066597E+002, 4.8798706E+002, 4.6877250E+002, 2.8867837E+002, 1.0406784E+002, 9.9164061E+001, 7.6476776E+001, 6.8667874E+001
 1.0500585E+002, 1.9999998E+001, 5.1430337E+002, 5.0765280E+002, 4.7890245E+002, 4.7845987E+002, 2.7852798E+002, 1.1218559E+002, 1.0628981E+002, 7.8069488E+001, 7.1648964E+001
 1.1000166E+002, 1.9999995E+001, 5.1245842E+002, 5.1042877E+002, 4.9160009E+002, 4.5600071E+002, 2.8687128E+002, 1.0525293E+002, 1.0421140E+002, 9.4968909E+001, 8.0327183E+001
 1.1500271E+002, 1.9999988E+001, 5.1271161E+002, 5.1489801E+002, 4.9565020E+002, 4.8732731E+002, 2.9685978E+002, 1.0857301E+002, 1.0404635E+002, 9.1868870E+001, 7.5542396E+001
 1.2000436E+002, 1.9999987E+001, 5.3111629E+002, 5.2682688E+002, 4.9995105E+002, 4.8961048E+002, 2.7663489E+002, 1.0916041E+002, 1.0743971E+002, 9.1759718E+001, 7.3306703E+001
 1.2500918E+002, 1.9999991E+001, 5.3596007E+002, 5.2507828E+002, 4.9290865E+002, 5.0366819E+002, 3.0049161E+002, 1.0531369E+002, 1.0861857E+002, 9.2044897E+001, 7.5084329E+001
 1.3000620E+002, 1.9999994E+001, 5.4595226E+002, 5.2790744E+002, 4.9895729E+002, 4.4222813E+002, 2.9639584E+002, 1.1948817E+002, 1.1272414E+002, 9.7892363E+001, 7.6918352E+001
 1.3500395E+002, 1.9999994E+001, 5.4451687E+002, 5.3920204E+002, 5.1761065E+002, 4.9819405E+002, 2.9780941E+002, 1.2550325E+002, 1.1554988E+002, 1.0412346E+002, 7.2812146E+001
 1.4000363E+002, 1.9999998E+001, 5.8142224E+002, 5.5250757E+002, 5.1072781E+002, 4.6788979E+002, 2.9490972E+002, 1.3176980E+002, 1.1890188E+002, 9.1435470E+001, 7.8639126E+001
 1.4500107E+002, 1.9999990E+001, 5.8742435E+002, 5.5958539E+002, 5.0724217E+002, 4.6637967E+002, 2.9088731E+002, 1.3039392E+002, 1.2233694E+002, 1.0877613E+002, 8.7165861E+001
 1.5000032E+002, 1.9999998E+001, 6.1632331E+002, 5.8425583E+002, 5.2672806E+002, 4.9112633E+002, 3.1321482E+002, 1.2845496E+002, 1.2492495E+002, 1.1189720E+002, 9.1141973E+001
 1.5500531E+002, 1.9999997E+001, 6.0901542E+002, 5.7434957E+002, 5.1221165E+002, 5.0183105E+002, 3.0671674E+002, 1.3710195E+002, 1.2688317E+002, 1.0511175E+002, 8.5112243E+001
 1.6000612E+002, 1.9999998E+001, 5.9779246E+002, 5.7968918E+002, 5.3145215E+002, 4.9579553E+002, 3.0570325E+002, 1.2991850E+002, 1.2895866E+002, 1.1857802E+002, 8.3403350E+001
 1.6500531E+002, 1.9999998E+001, 6.4816530E+002, 6.0779009E+002, 5.3615577E+002, 4.7329880E+002, 3.0637614E+002, 1.4325887E+002, 1.2912335E+002, 1.2152656E+002, 8.5380716E+001
 1.7000154E+002, 2.0000000E+001, 5.7622739E+002, 5.6028235E+002, 5.2431531E+002, 5.0619092E+002, 3.0101007E+002, 1.3362397E+002, 1.3252184E+002, 1.1483183E+002, 8.7289269E+001
 1.7500288E+002, 2.0000003E+001, 5.9887874E+002, 5.8071092E+002, 5.3853394E+002, 4.8719652E+002, 3.1337071E+002, 1.3646097E+002, 1.3393271E+002, 1.2478036E+002, 9.0937524E+001
 1.8000453E+002, 2.0000004E+001, 5.8633714E+002, 5.6646183E+002, 5.2099010E+002, 4.7703910E+002, 3.1144070E+002, 1.4221536E+002, 1.2829602E+002, 1.2072825E+002, 8.1766544E+001
 1.8500949E+002, 2.0000007E+001, 5.7432237E+002, 5.6596372E+002, 5.1987249E+002, 4.6303436E+002, 2.9240016E+002, 1.3542188E+002, 1.2580762E+002, 1.1220570E+002, 9.1270313E+001
 1.9000038E+002, 2.0000005E+001, 5.7339666E+002, 5.6423666E+002, 5.3531679E+002, 4.8973225E+002, 3.0358002E+002, 1.4019942E+002, 1.3060436E+002, 1.2257447E+002, 8.6841399E+001
 1.9500632E+002, 2.0000006E+001, 5.8265025E+002, 5.7364941E+002, 5.3006852E+002, 4.6699559E+002, 2.9155652E+002, 1.3059889E+002, 1.3625560E+002, 1.1122434E+002, 8.6640514E+001
 2.0000648E+002, 2.0000010E+001, 5.7555843E+002, 5.5784977E+002, 5.0944081E+002, 4.6566979E+002, 3.0445781E+002, 1.5023568E+002, 1.3023614E+002, 1.0424853E+002, 8.9689748E+001
 2.0500194E+002, 2.0000018E+001, 5.5471274E+002, 5.5376467E+002, 5.2758390E+002, 5.1239517E+002, 2.8519201E+002, 1.4158143E+002, 1.4246012E+002, 1.2401823E+002, 8.9052091E+001
 2.1000833E+002, 2.0000008E+001, 5.6865154E+002, 5.5728432E+002, 5.1480676E+002, 4.8285951E+002, 3.1080161E+002, 1.4251567E+002, 1.4054441E+002, 1.2198924E+002, 8.8025145E+001
 2.1500618E+002, 2.0000021E+001, 5.5489235E+002, 5.4122961E+002, 4.9378508E+002, 4.6427331E+002, 2.7897299E+002, 1.4194551E+002, 1.4029442E+002, 1.2191822E+002, 9.0558479E+001
 2.2000087E+002, 2.0000013E+001, 5.4960141E+002, 5.5191200E+002, 5.1784780E+002, 4.6946994E+002, 2.9096010E+002, 1.4311152E+002, 1.4253029E+002, 1.2153324E+002, 9.0154033E+001
 2.2500182E+002, 2.0000025E+001, 5.9360534E+002, 5.5367785E+002, 4.9399672E+002, 4.4442237E+002, 2.9267762E+002, 1.5085059E+002, 1.2912724E+002, 1.1029326E+002, 9.1819594E+001
