 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.38137E+02
 0.10000E+00, 0.38112E+02
 0.20000E+00, 0.38344E+02
 0.30000E+00, 0.38794E+02
 0.40000E+00, 0.39185E+02
 0.50000E+00, 0.39987E+02
 0.60000E+00, 0.41834E+02
 0.70000E+00, 0.45753E+02
 0.80000E+00, 0.51782E+02
 0.90000E+00, 0.59041E+02
 0.10000E+01, 0.69238E+02
 0.11000E+01, 0.90134E+02
 0.12000E+01, 0.13774E+03
 0.13000E+01, 0.21096E+03
 0.14000E+01, 0.29699E+03
 0.15000E+01, 0.38271E+03
 0.16000E+01, 0.44091E+03
 0.17000E+01, 0.46799E+03
 0.18000E+01, 0.47997E+03
 0.19000E+01, 0.48353E+03
 0.20000E+01, 0.48514E+03
 0.21000E+01, 0.48824E+03
 0.22000E+01, 0.49184E+03
 0.23000E+01, 0.49419E+03
 0.24000E+01, 0.49498E+03
 0.25000E+01, 0.49565E+03
 0.26000E+01, 0.49974E+03
 0.27000E+01, 0.52216E+03
 0.28000E+01, 0.54093E+03
