 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.44590E+02
 0.10000E+00, 0.45380E+02
 0.20000E+00, 0.46771E+02
 0.30000E+00, 0.47856E+02
 0.40000E+00, 0.48898E+02
 0.50000E+00, 0.50607E+02
 0.60000E+00, 0.53845E+02
 0.70000E+00, 0.59585E+02
 0.80000E+00, 0.67743E+02
 0.90000E+00, 0.77558E+02
 0.10000E+01, 0.93623E+02
 0.11000E+01, 0.12014E+03
 0.12000E+01, 0.15798E+03
 0.13000E+01, 0.20924E+03
 0.14000E+01, 0.28761E+03
 0.15000E+01, 0.37560E+03
 0.16000E+01, 0.43849E+03
 0.17000E+01, 0.47464E+03
 0.18000E+01, 0.48927E+03
 0.19000E+01, 0.49617E+03
 0.20000E+01, 0.50302E+03
 0.21000E+01, 0.50723E+03
 0.22000E+01, 0.50905E+03
 0.23000E+01, 0.50940E+03
 0.24000E+01, 0.51047E+03
 0.25000E+01, 0.51376E+03
 0.26000E+01, 0.52170E+03
 0.27000E+01, 0.55064E+03
 0.28000E+01, 0.57410E+03
