 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.41002E+02
 0.10000E+00, 0.41197E+02
 0.20000E+00, 0.41385E+02
 0.30000E+00, 0.41417E+02
 0.40000E+00, 0.41492E+02
 0.50000E+00, 0.41978E+02
 0.60000E+00, 0.43010E+02
 0.70000E+00, 0.45936E+02
 0.80000E+00, 0.51655E+02
 0.90000E+00, 0.59979E+02
 0.10000E+01, 0.71984E+02
 0.11000E+01, 0.91365E+02
 0.12000E+01, 0.12320E+03
 0.13000E+01, 0.17688E+03
 0.14000E+01, 0.25022E+03
 0.15000E+01, 0.32509E+03
 0.16000E+01, 0.39792E+03
 0.17000E+01, 0.46060E+03
 0.18000E+01, 0.50459E+03
 0.19000E+01, 0.53022E+03
 0.20000E+01, 0.54219E+03
 0.21000E+01, 0.55295E+03
 0.22000E+01, 0.56346E+03
 0.23000E+01, 0.57099E+03
 0.24000E+01, 0.57599E+03
 0.25000E+01, 0.58080E+03
 0.26000E+01, 0.59270E+03
 0.27000E+01, 0.65424E+03
 0.28000E+01, 0.70668E+03
