 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.59979E+02
 0.10000E+00, 0.59926E+02
 0.20000E+00, 0.60455E+02
 0.30000E+00, 0.61581E+02
 0.40000E+00, 0.63097E+02
 0.50000E+00, 0.65590E+02
 0.60000E+00, 0.69609E+02
 0.70000E+00, 0.75544E+02
 0.80000E+00, 0.83017E+02
 0.90000E+00, 0.92306E+02
 0.10000E+01, 0.10514E+03
 0.11000E+01, 0.13257E+03
 0.12000E+01, 0.19380E+03
 0.13000E+01, 0.27373E+03
 0.14000E+01, 0.35084E+03
 0.15000E+01, 0.43028E+03
 0.16000E+01, 0.51914E+03
 0.17000E+01, 0.61139E+03
 0.18000E+01, 0.68119E+03
 0.19000E+01, 0.72066E+03
 0.20000E+01, 0.74240E+03
 0.21000E+01, 0.75513E+03
 0.22000E+01, 0.76410E+03
 0.23000E+01, 0.77229E+03
 0.24000E+01, 0.78294E+03
 0.25000E+01, 0.79579E+03
 0.26000E+01, 0.81945E+03
 0.27000E+01, 0.90268E+03
 0.28000E+01, 0.96859E+03
