 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.34947E+02
 0.10000E+00, 0.35303E+02
 0.20000E+00, 0.36548E+02
 0.30000E+00, 0.37983E+02
 0.40000E+00, 0.38913E+02
 0.50000E+00, 0.39763E+02
 0.60000E+00, 0.41315E+02
 0.70000E+00, 0.43642E+02
 0.80000E+00, 0.47724E+02
 0.90000E+00, 0.54357E+02
 0.10000E+01, 0.62880E+02
 0.11000E+01, 0.79390E+02
 0.12000E+01, 0.12562E+03
 0.13000E+01, 0.19927E+03
 0.14000E+01, 0.28564E+03
 0.15000E+01, 0.37041E+03
 0.16000E+01, 0.42794E+03
 0.17000E+01, 0.45871E+03
 0.18000E+01, 0.47416E+03
 0.19000E+01, 0.48073E+03
 0.20000E+01, 0.48372E+03
 0.21000E+01, 0.48620E+03
 0.22000E+01, 0.48889E+03
 0.23000E+01, 0.49181E+03
 0.24000E+01, 0.49438E+03
 0.25000E+01, 0.49592E+03
 0.26000E+01, 0.49915E+03
 0.27000E+01, 0.51933E+03
 0.28000E+01, 0.53693E+03
