s,s,s,s,C,C,C,C,C,C,C,C
FDS Time,"TIMER","open stair door","open hall door","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0011864E+000, 3.2667496E+000, 3.2667496E+000, 3.2667496E+000, 2.0452250E+001, 2.0542270E+001, 2.0665590E+001, 2.0711378E+001, 2.0814817E+001, 2.1582888E+001, 2.2489195E+001, 2.1009351E+001
 1.0006726E+001, 7.6759061E+000, 7.6759061E+000, 7.6759061E+000, 4.6843214E+001, 4.4069981E+001, 4.3014846E+001, 3.8580386E+001, 3.6399169E+001, 3.4168499E+001, 3.0021309E+001, 2.2835845E+001
 1.5003133E+001, 1.2536442E+001, 1.2536442E+001, 1.2536442E+001, 1.3140379E+002, 1.2450989E+002, 1.2281276E+002, 8.6842676E+001, 5.6348488E+001, 3.7322143E+001, 3.2188973E+001, 2.8243589E+001
 2.0003397E+001, 1.7569233E+001, 1.7569233E+001, 1.7569233E+001, 1.8327880E+002, 1.8200840E+002, 1.8091630E+002, 1.6305441E+002, 6.5585096E+001, 3.3036665E+001, 3.2426718E+001, 2.8515366E+001
 2.5001059E+001, 2.2448542E+001, 2.2448542E+001, 2.2448542E+001, 2.4368560E+002, 2.3467603E+002, 2.2981651E+002, 2.1985034E+002, 7.7641215E+001, 4.9728330E+001, 4.1618067E+001, 3.4613833E+001
 3.0006121E+001, 2.7485229E+001, 2.7485229E+001, 2.7485229E+001, 3.4735660E+002, 3.3658953E+002, 3.2786066E+002, 3.0739491E+002, 1.0751642E+002, 6.1342235E+001, 4.8009409E+001, 4.0067041E+001
 3.5001999E+001, 3.2493662E+001, 3.2493662E+001, 3.2493662E+001, 4.3072962E+002, 4.2220243E+002, 4.1944783E+002, 4.2777662E+002, 2.1641074E+002, 6.4073464E+001, 5.4447853E+001, 4.7413299E+001
 4.0002132E+001, 3.7526399E+001, 3.7526399E+001, 3.7526399E+001, 5.6704218E+002, 5.4690056E+002, 5.2493605E+002, 4.0754126E+002, 1.9412274E+002, 7.6742531E+001, 6.2485269E+001, 5.2235550E+001
 4.5000046E+001, 4.2492232E+001, 4.2492232E+001, 4.2492232E+001, 5.6033965E+002, 5.5877984E+002, 5.4757782E+002, 4.6459482E+002, 2.0754286E+002, 8.9664820E+001, 7.3656264E+001, 5.9994027E+001
 5.0007084E+001, 4.7493898E+001, 4.7493898E+001, 4.7493898E+001, 5.4673131E+002, 5.3536518E+002, 5.3447218E+002, 5.1157277E+002, 3.0211460E+002, 1.0151285E+002, 7.6370495E+001, 6.2191412E+001
 5.5005001E+001, 5.2517261E+001, 5.2517261E+001, 5.2517261E+001, 6.8608042E+002, 6.5535591E+002, 6.3957607E+002, 5.2341949E+002, 2.7474147E+002, 1.3195846E+002, 9.7458257E+001, 7.9801089E+001
 6.0000652E+001, 5.7518806E+001, 5.7518806E+001, 5.7518806E+001, 7.4860971E+002, 7.3901286E+002, 7.2222033E+002, 5.3053637E+002, 3.0344112E+002, 1.2992167E+002, 1.0805471E+002, 9.0664141E+001
 6.5001877E+001, 6.2496938E+001, 6.2496938E+001, 6.2496938E+001, 6.6124562E+002, 6.3605449E+002, 6.1881897E+002, 5.3774489E+002, 3.1289955E+002, 1.3842432E+002, 1.0941342E+002, 9.2002899E+001
 7.0009926E+001, 6.7514223E+001, 6.7514223E+001, 6.7514223E+001, 7.4068797E+002, 7.1691183E+002, 7.0115630E+002, 5.9189537E+002, 3.5522591E+002, 1.3939273E+002, 1.1412442E+002, 9.4781931E+001
 7.5003571E+001, 7.2501337E+001, 7.2501337E+001, 7.2501337E+001, 7.8742947E+002, 7.5634784E+002, 7.2070520E+002, 6.1310608E+002, 3.7097203E+002, 1.6215214E+002, 1.3741186E+002, 1.1600405E+002
 8.0000694E+001, 7.7502007E+001, 7.7502007E+001, 7.7502007E+001, 7.5143800E+002, 7.2450438E+002, 6.9184425E+002, 6.2853262E+002, 3.6829364E+002, 1.6716494E+002, 1.3882541E+002, 1.1003032E+002
