s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"removeobst_0","removeobst_0b","addhole_0","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0155559E+000, 2.8649654E+000, 2.8649654E+000, 2.8649654E+000, 3.0814046E+001, 2.0888629E+001, 2.1090334E+001, 2.1345377E+001, 2.1805308E+001, 2.2294015E+001, 2.1978409E+001, 2.0770886E+001, 2.0003048E+001, 2.0003644E+001, 2.0003812E+001, 2.0003696E+001, 2.0003806E+001, 2.0003485E+001, 2.0003137E+001, 2.0002353E+001
 1.0015191E+001, 7.5729904E+000, 7.5729904E+000, 7.5729904E+000, 5.0251109E+001, 2.3608150E+001, 2.1457102E+001, 2.1591929E+001, 2.2067526E+001, 2.2517335E+001, 2.2207225E+001, 2.0880679E+001, 2.0006148E+001, 2.0007376E+001, 2.0008065E+001, 2.0007851E+001, 2.0008134E+001, 2.0007397E+001, 2.0006653E+001, 2.0005219E+001
 1.5018447E+001, 1.2569335E+001, 1.2569335E+001, 1.2569335E+001, 6.0883586E+001, 4.5213906E+001, 3.5341799E+001, 2.9778283E+001, 2.2986110E+001, 2.2679248E+001, 2.2408241E+001, 2.0998878E+001, 2.2742819E+001, 2.0074153E+001, 2.0011538E+001, 2.0011894E+001, 2.0011008E+001, 2.0010522E+001, 2.0009120E+001, 2.0006976E+001
 2.0004274E+001, 1.7495372E+001, 1.7495372E+001, 1.7495372E+001, 7.1995653E+001, 5.7131500E+001, 4.3895872E+001, 2.5407703E+001, 2.2778406E+001, 2.2903725E+001, 2.2560222E+001, 2.1080856E+001, 3.7150196E+001, 2.1044752E+001, 2.0027807E+001, 2.0019113E+001, 2.0016645E+001, 2.0015740E+001, 2.0013022E+001, 2.0009976E+001
 2.5012854E+001, 2.2518545E+001, 2.2518545E+001, 2.2518545E+001, 8.1935212E+001, 6.7235625E+001, 5.4058696E+001, 2.9510203E+001, 2.2656088E+001, 2.2610250E+001, 2.2257046E+001, 2.1036104E+001, 4.3421765E+001, 2.8643619E+001, 2.5812875E+001, 2.3951405E+001, 2.0603237E+001, 2.0028337E+001, 2.0022730E+001, 2.0018604E+001
 3.0015779E+001, 2.7599936E+001, 2.7599936E+001, 2.7599936E+001, 9.3090936E+001, 7.0865130E+001, 5.4911921E+001, 3.4003243E+001, 2.3540701E+001, 2.3071284E+001, 2.2627131E+001, 2.1129327E+001, 4.7008433E+001, 3.5434433E+001, 3.1997761E+001, 2.3453999E+001, 2.0444890E+001, 2.0050248E+001, 2.0033768E+001, 2.0026527E+001
 3.5021187E+001, 3.2518594E+001, 3.2518594E+001, 3.2518594E+001, 1.0986409E+002, 7.9822014E+001, 6.3483048E+001, 4.2247947E+001, 2.4162993E+001, 2.3363084E+001, 2.2559319E+001, 2.1192872E+001, 5.4786910E+001, 3.9704040E+001, 3.8556796E+001, 2.8231614E+001, 2.0631517E+001, 2.0091000E+001, 2.0051209E+001, 2.0041674E+001
 4.0002441E+001, 3.7623289E+001, 3.7623289E+001, 3.7623289E+001, 1.2003264E+002, 8.7723783E+001, 7.0771900E+001, 4.3961500E+001, 3.0257368E+001, 2.4772589E+001, 2.4514211E+001, 2.1597683E+001, 6.0953314E+001, 4.3717667E+001, 4.0505232E+001, 3.4246961E+001, 2.3919014E+001, 2.0245455E+001, 2.0060541E+001, 2.0049298E+001
