s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0023952E+000, 2.0000068E+001, 2.0249186E+001, 2.0249365E+001, 2.0463320E+001, 2.0489297E+001, 2.0514176E+001, 2.0000742E+001, 2.1665088E+001, 2.0769322E+001, 2.0992156E+001
 1.0012408E+001, 2.0000117E+001, 3.7801529E+001, 2.9766353E+001, 2.4941435E+001, 2.4759090E+001, 2.2631806E+001, 2.0077252E+001, 2.3963212E+001, 2.2063173E+001, 2.2723938E+001
 1.5005641E+001, 2.0000135E+001, 6.5010286E+001, 6.3709830E+001, 6.0014042E+001, 5.1242593E+001, 4.4890270E+001, 2.9795309E+001, 2.6204233E+001, 2.3804488E+001, 2.5034109E+001
 2.0000137E+001, 2.0000137E+001, 1.0905396E+002, 1.0203005E+002, 9.7026704E+001, 4.8639110E+001, 2.7543989E+001, 2.0612033E+001, 2.7931692E+001, 2.5312987E+001, 2.6244544E+001
 2.5005577E+001, 2.0000129E+001, 1.5880381E+002, 1.4982308E+002, 1.4522573E+002, 1.0250637E+002, 4.3430066E+001, 2.4013956E+001, 3.0003770E+001, 2.7591716E+001, 2.8235521E+001
 3.0005898E+001, 2.0000117E+001, 1.9361137E+002, 1.9087555E+002, 1.8527097E+002, 1.5585724E+002, 6.7672776E+001, 2.8999085E+001, 3.6334728E+001, 3.1175247E+001, 3.0129760E+001
 3.5001339E+001, 2.0000100E+001, 2.4458066E+002, 2.3426115E+002, 2.2247607E+002, 1.7014797E+002, 7.8776849E+001, 2.9601225E+001, 4.1374304E+001, 3.5412683E+001, 3.4733106E+001
 4.0005211E+001, 2.0000070E+001, 2.9998292E+002, 2.7323692E+002, 2.6247375E+002, 2.0735953E+002, 1.0664020E+002, 3.0268809E+001, 4.2927667E+001, 3.6791943E+001, 3.9418039E+001
 4.5002556E+001, 2.0000042E+001, 3.4229962E+002, 3.2415987E+002, 3.0128182E+002, 2.4472582E+002, 1.1572329E+002, 3.5082359E+001, 4.9648309E+001, 4.4424568E+001, 4.1809576E+001
 5.0000767E+001, 2.0000008E+001, 3.7808272E+002, 3.6054201E+002, 3.3571354E+002, 2.8269177E+002, 1.3298128E+002, 3.7068836E+001, 5.0844883E+001, 4.3933014E+001, 4.0791517E+001
 5.5001892E+001, 1.9999979E+001, 4.0766262E+002, 4.0209258E+002, 3.8889534E+002, 3.4099794E+002, 1.6707553E+002, 4.3242661E+001, 5.4393142E+001, 5.0213590E+001, 5.0301802E+001
 6.0008633E+001, 1.9999942E+001, 4.4273512E+002, 4.3656721E+002, 4.1436115E+002, 3.8747560E+002, 1.9849039E+002, 5.2420722E+001, 5.9862199E+001, 5.4223646E+001, 5.3557801E+001
 6.5009193E+001, 1.9999907E+001, 4.8621084E+002, 4.7457780E+002, 4.4903167E+002, 4.1386478E+002, 2.2433141E+002, 7.0677034E+001, 6.9721257E+001, 6.2522492E+001, 5.9639070E+001
 7.0007759E+001, 1.9999871E+001, 5.3669335E+002, 5.2084540E+002, 4.8640945E+002, 4.7719500E+002, 2.7161471E+002, 8.6228819E+001, 9.3370873E+001, 7.1841749E+001, 6.8228421E+001
 7.5010170E+001, 1.9999867E+001, 5.6115697E+002, 5.5548178E+002, 5.2348847E+002, 5.2977349E+002, 3.1686487E+002, 9.4565997E+001, 9.6685741E+001, 7.7249013E+001, 7.1546222E+001
 8.0003647E+001, 1.9999814E+001, 5.8657127E+002, 5.7312875E+002, 5.4666979E+002, 4.8437334E+002, 2.8737636E+002, 1.0270376E+002, 1.0210500E+002, 7.9013148E+001, 7.2564167E+001
 8.5001740E+001, 1.9999809E+001, 5.9183990E+002, 5.7559143E+002, 5.4964292E+002, 4.6776776E+002, 2.9167484E+002, 1.0680732E+002, 1.0817571E+002, 8.3063178E+001, 7.1505377E+001
 9.0002296E+001, 1.9999834E+001, 5.6287632E+002, 5.5061251E+002, 5.2749193E+002, 5.0532093E+002, 3.1298813E+002, 1.2092828E+002, 1.0859858E+002, 8.2368442E+001, 7.9307204E+001
 9.5006897E+001, 1.9999796E+001, 5.4146740E+002, 5.3560246E+002, 5.1063657E+002, 4.8155751E+002, 3.0416239E+002, 1.2169122E+002, 1.0262923E+002, 8.1948150E+001, 7.4576476E+001
 1.0000338E+002, 1.9999778E+001, 5.2314233E+002, 5.2028430E+002, 4.9535233E+002, 4.6611886E+002, 2.8277510E+002, 1.1319492E+002, 1.0459575E+002, 8.6471750E+001, 7.3377957E+001
 1.0500208E+002, 1.9999798E+001, 5.0270101E+002, 4.9991269E+002, 4.7792927E+002, 4.2132473E+002, 2.7540638E+002, 1.0910548E+002, 9.7128677E+001, 8.1374404E+001, 6.5822325E+001
 1.1000014E+002, 1.9999789E+001, 4.7404331E+002, 4.7518700E+002, 4.5635116E+002, 4.1288049E+002, 2.4997461E+002, 1.1234118E+002, 9.0765776E+001, 7.8206762E+001, 6.3898535E+001
 1.1500283E+002, 1.9999795E+001, 4.5188960E+002, 4.4457361E+002, 4.2332476E+002, 3.7250095E+002, 2.3970490E+002, 9.8695756E+001, 8.9192680E+001, 7.3053133E+001, 6.0883286E+001
 1.2000185E+002, 1.9999814E+001, 4.2814757E+002, 4.2292446E+002, 4.0508878E+002, 3.6942374E+002, 2.1288424E+002, 9.6520209E+001, 8.0125831E+001, 7.4023697E+001, 5.8110330E+001
 1.2500504E+002, 1.9999822E+001, 4.1457293E+002, 4.0829834E+002, 3.8855920E+002, 3.2266352E+002, 2.0092678E+002, 9.3033515E+001, 8.1453994E+001, 6.9854624E+001, 5.3780335E+001
 1.3000468E+002, 1.9999831E+001, 3.9750917E+002, 3.9170456E+002, 3.6190622E+002, 2.9193953E+002, 1.9609481E+002, 8.6588600E+001, 8.0483267E+001, 6.1018874E+001, 5.2591259E+001
 1.3500368E+002, 1.9999842E+001, 3.6627250E+002, 3.6229505E+002, 3.3732426E+002, 2.9582561E+002, 1.6277063E+002, 8.4453600E+001, 7.1802656E+001, 5.8973889E+001, 4.8254338E+001
 1.4001140E+002, 1.9999857E+001, 3.3740868E+002, 3.3902380E+002, 3.2741135E+002, 2.6565092E+002, 1.5845312E+002, 8.3001331E+001, 6.3500418E+001, 5.4023278E+001, 4.3022401E+001
 1.4500195E+002, 1.9999876E+001, 3.1335630E+002, 3.1819789E+002, 2.9575842E+002, 2.2748733E+002, 1.4182547E+002, 7.7210488E+001, 6.0947946E+001, 4.9512847E+001, 4.1341798E+001
 1.5000092E+002, 1.9999893E+001, 3.0368407E+002, 3.0044562E+002, 2.6131187E+002, 2.1388749E+002, 1.2948468E+002, 7.2383699E+001, 5.5384766E+001, 5.1289388E+001, 4.5190929E+001
 1.5500714E+002, 1.9999912E+001, 2.8117781E+002, 2.7827525E+002, 2.5454364E+002, 2.1716074E+002, 1.2080048E+002, 7.1231146E+001, 5.4565575E+001, 4.5266020E+001, 4.5742539E+001
 1.6000441E+002, 1.9999932E+001, 2.7245344E+002, 2.6756772E+002, 2.4377059E+002, 1.9645890E+002, 1.1425842E+002, 6.9073203E+001, 5.5093556E+001, 4.4011744E+001, 4.2841039E+001
 1.6500377E+002, 1.9999952E+001, 2.5499503E+002, 2.5295707E+002, 2.2488126E+002, 1.9485596E+002, 1.0890551E+002, 6.9491762E+001, 5.3330835E+001, 4.4028424E+001, 4.0384579E+001
 1.7000412E+002, 1.9999976E+001, 2.4326537E+002, 2.4435368E+002, 2.1704367E+002, 1.7412903E+002, 1.0355566E+002, 6.5115236E+001, 5.0124932E+001, 4.3447902E+001, 3.7427691E+001
 1.7501480E+002, 1.9999999E+001, 2.4212272E+002, 2.2673453E+002, 2.0253826E+002, 1.6175954E+002, 1.0973869E+002, 6.4821657E+001, 5.1944899E+001, 4.3376312E+001, 3.6503042E+001
 1.8001740E+002, 2.0000020E+001, 2.3686969E+002, 2.2167286E+002, 1.8672768E+002, 1.6459517E+002, 9.5606309E+001, 6.2340367E+001, 5.2164817E+001, 4.4679106E+001, 3.6659667E+001
 1.8501245E+002, 2.0000040E+001, 2.2971406E+002, 2.1972196E+002, 1.8719651E+002, 1.6596231E+002, 9.5311373E+001, 5.7991206E+001, 5.1225242E+001, 4.3001018E+001, 3.6326970E+001
 1.9000618E+002, 2.0000058E+001, 2.1611515E+002, 2.0555164E+002, 1.8773925E+002, 1.6334955E+002, 8.6829886E+001, 5.8251133E+001, 4.9608681E+001, 4.3339889E+001, 3.6571658E+001
 1.9500848E+002, 2.0000073E+001, 2.1090600E+002, 2.0680219E+002, 1.8103323E+002, 1.5418570E+002, 9.7441505E+001, 5.7885155E+001, 5.0272613E+001, 4.0338864E+001, 3.6498732E+001
 2.0000586E+002, 2.0000087E+001, 2.1082007E+002, 1.9933975E+002, 1.7303346E+002, 1.4740256E+002, 9.0377622E+001, 5.7443878E+001, 4.6024791E+001, 4.1595915E+001, 3.4692927E+001
 2.0501437E+002, 2.0000098E+001, 2.0862485E+002, 1.9817082E+002, 1.7043011E+002, 1.5370499E+002, 7.6361174E+001, 5.5855120E+001, 4.7824601E+001, 4.1534815E+001, 3.6646171E+001
 2.1001103E+002, 2.0000107E+001, 2.0564938E+002, 1.9590681E+002, 1.6750343E+002, 1.4484712E+002, 8.4102067E+001, 5.4970322E+001, 4.6514323E+001, 4.2711802E+001, 3.5933509E+001
 2.1500806E+002, 2.0000114E+001, 2.0382637E+002, 1.9241022E+002, 1.5914852E+002, 1.4236866E+002, 8.9851373E+001, 5.5029111E+001, 4.5160557E+001, 3.8789843E+001, 3.6667118E+001
 2.2001006E+002, 2.0000118E+001, 2.0007535E+002, 1.8722199E+002, 1.5897001E+002, 1.4300589E+002, 8.4619483E+001, 5.2431204E+001, 4.4293856E+001, 3.9281846E+001, 3.7402125E+001
 2.2500285E+002, 2.0000122E+001, 1.9548194E+002, 1.8260554E+002, 1.5671396E+002, 1.4546736E+002, 8.5451978E+001, 5.3833689E+001, 4.2749255E+001, 3.8199090E+001, 3.7812085E+001
