 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.58764E+02
 0.10000E+00, 0.59331E+02
 0.20000E+00, 0.62196E+02
 0.30000E+00, 0.66018E+02
 0.40000E+00, 0.68726E+02
 0.50000E+00, 0.71749E+02
 0.60000E+00, 0.76680E+02
 0.70000E+00, 0.84041E+02
 0.80000E+00, 0.93136E+02
 0.90000E+00, 0.10555E+03
 0.10000E+01, 0.12544E+03
 0.11000E+01, 0.15518E+03
 0.12000E+01, 0.19549E+03
 0.13000E+01, 0.25075E+03
 0.14000E+01, 0.33100E+03
 0.15000E+01, 0.42828E+03
 0.16000E+01, 0.51308E+03
 0.17000E+01, 0.56945E+03
 0.18000E+01, 0.60409E+03
 0.19000E+01, 0.62146E+03
 0.20000E+01, 0.62958E+03
 0.21000E+01, 0.63686E+03
 0.22000E+01, 0.64111E+03
 0.23000E+01, 0.64267E+03
 0.24000E+01, 0.64261E+03
 0.25000E+01, 0.64358E+03
 0.26000E+01, 0.65401E+03
 0.27000E+01, 0.70341E+03
 0.28000E+01, 0.74361E+03
