s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol
FDS Time,"add_hole","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8","TC_D1","TC_D2","TC_D3","TC_D4","TC_D5","TC_D6","TC_D7","TC_D8","TEMP_A5ft","THCP_A5ft","CO_A5ft","CO2_A5ft","TEMP_B5ft","THCP_B5ft","CO_B5ft","CO2_B5ft","TEMP_C5ft","THCP_C5ft","CO_C5ft","CO2_C5ft","TEMP_D5ft","THCP_D5ft","CO_D5ft","CO2_D5ft","TEMP_E5ft","THCP_E5ft","CO_E5ft","CO2_E5ft"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000
 5.0156817E+000, 3.1297384E+000, 2.6313539E+001, 2.1950026E+001, 2.1872291E+001, 2.1442177E+001, 2.1817832E+001, 2.2552706E+001, 2.2665757E+001, 2.2061447E+001, 2.0000005E+001, 2.0000020E+001, 2.0000032E+001, 2.0000111E+001, 1.9999959E+001, 1.9999998E+001, 1.9999955E+001, 1.9999867E+001, 2.0000011E+001, 2.0000131E+001, 2.0000046E+001, 2.0000142E+001, 2.0000028E+001, 1.9999860E+001, 2.0000129E+001, 2.0000114E+001, 1.9999969E+001, 1.9999938E+001, 1.9999963E+001, 1.9999948E+001, 2.0000181E+001, 1.9999973E+001, 2.0000025E+001, 2.0000146E+001, 2.0139390E+001, 2.1503248E+001, 1.3470355E-007, 1.4149800E-005, 2.0000003E+001, 2.0000003E+001, 0.0000000E+000, 0.0000000E+000, 2.0000054E+001, 2.0000052E+001, 5.5037841E-160, 5.7813950E-158, 1.9999911E+001, 1.9999915E+001, 0.0000000E+000, 0.0000000E+000, 2.0000048E+001, 2.0000045E+001, 9.4822012E-296, 9.9604834E-294
 1.0012585E+001, 7.6478595E+000, 8.1063835E+001, 3.8041165E+001, 2.8322553E+001, 2.4184807E+001, 2.5289964E+001, 2.6492573E+001, 2.4988423E+001, 2.4340563E+001, 2.0000038E+001, 2.0000009E+001, 2.0000047E+001, 2.0000171E+001, 1.9999910E+001, 1.9999973E+001, 1.9999940E+001, 1.9999752E+001, 1.9999953E+001, 2.0000255E+001, 2.0000091E+001, 2.0000266E+001, 1.9999987E+001, 1.9999800E+001, 2.0000214E+001, 2.0000305E+001, 1.9999947E+001, 1.9999904E+001, 1.9999920E+001, 1.9999904E+001, 2.0000340E+001, 1.9999948E+001, 2.0000019E+001, 2.0000322E+001, 2.1138765E+001, 2.4265814E+001, 6.6873595E-007, 7.0246699E-005, 1.9999963E+001, 1.9999965E+001, 0.0000000E+000, 0.0000000E+000, 2.0000061E+001, 2.0000061E+001, 1.0332156E-090, 1.0853310E-088, 1.9999834E+001, 1.9999843E+001, 0.0000000E+000, 0.0000000E+000, 2.0000039E+001, 2.0000039E+001, 4.0626219E-183, 4.2675406E-181
 1.5003966E+001, 1.2630855E+001, 1.4608149E+002, 8.2543789E+001, 6.7725514E+001, 5.6426248E+001, 4.7541302E+001, 4.1393177E+001, 3.5218979E+001, 2.6374371E+001, 2.0000083E+001, 1.9999976E+001, 2.0000055E+001, 2.0000181E+001, 1.9999875E+001, 1.9999925E+001, 1.9999946E+001, 1.9999684E+001, 1.9999821E+001, 2.0000322E+001, 2.0000058E+001, 2.0000281E+001, 1.9999840E+001, 1.9999868E+001, 1.9999982E+001, 2.0000524E+001, 1.9999941E+001, 1.9999898E+001, 1.9999901E+001, 1.9999885E+001, 2.0000441E+001, 1.9999923E+001, 1.9999983E+001, 2.0000477E+001, 5.4389288E+001, 5.8634284E+001, 3.3575319E-005, 3.5268858E-003, 1.9999901E+001, 1.9999907E+001, 0.0000000E+000, 0.0000000E+000, 1.9999949E+001, 1.9999960E+001, 4.2473825E-059, 4.4616205E-057, 1.9999798E+001, 1.9999809E+001, 0.0000000E+000, 0.0000000E+000, 1.9999856E+001, 1.9999871E+001, 9.0784524E-126, 9.5363695E-124
 2.0006708E+001, 1.7554545E+001, 2.2665937E+002, 1.2115246E+002, 1.0580185E+002, 9.8913929E+001, 9.2399597E+001, 6.7579505E+001, 4.8616904E+001, 3.0468130E+001, 2.0000121E+001, 1.9999933E+001, 2.0000052E+001, 2.0000163E+001, 1.9999849E+001, 1.9999864E+001, 1.9999950E+001, 1.9999647E+001, 1.9999890E+001, 2.0000441E+001, 2.0000100E+001, 2.0000497E+001, 2.0000157E+001, 2.0000466E+001, 2.0000171E+001, 2.0000929E+001, 1.9999945E+001, 1.9999904E+001, 1.9999902E+001, 1.9999890E+001, 2.0000507E+001, 1.9999898E+001, 1.9999945E+001, 2.0000595E+001, 9.5297463E+001, 9.9649832E+001, 7.7440198E-005, 8.1346281E-003, 1.9999841E+001, 1.9999849E+001, 0.0000000E+000, 0.0000000E+000, 1.9999628E+001, 2.0000061E+001, 3.5340227E-030, 3.7122788E-028, 1.9999790E+001, 1.9999802E+001, 0.0000000E+000, 0.0000000E+000, 1.9999635E+001, 2.0000022E+001, 2.6472644E-088, 2.7807924E-086
 2.5009024E+001, 2.2520020E+001, 2.7409124E+002, 1.8301047E+002, 1.6708917E+002, 1.5348407E+002, 1.4021189E+002, 9.7786928E+001, 4.7483577E+001, 3.4695542E+001, 2.0000151E+001, 1.9999887E+001, 2.0000042E+001, 2.0000131E+001, 1.9999831E+001, 1.9999797E+001, 1.9999946E+001, 1.9999623E+001, 2.0000376E+001, 2.0000879E+001, 2.0001188E+001, 2.0002047E+001, 2.0001724E+001, 2.0002569E+001, 2.0002344E+001, 2.0003063E+001, 1.9999951E+001, 1.9999916E+001, 1.9999909E+001, 1.9999911E+001, 2.0000554E+001, 1.9999875E+001, 1.9999919E+001, 2.0000678E+001, 1.5251405E+002, 1.5578507E+002, 1.4864478E-004, 1.5614242E-002, 1.9999788E+001, 1.9999800E+001, 4.9951541E-304, 5.2471120E-302, 1.9999354E+001, 2.0001507E+001, 6.4211668E-022, 6.7450504E-020, 1.9999798E+001, 1.9999809E+001, 0.0000000E+000, 0.0000000E+000, 1.9999489E+001, 2.0003324E+001, 8.1110767E-068, 8.5201994E-066
 3.0008104E+001, 2.7576171E+001, 3.8485432E+002, 2.4086931E+002, 2.0298125E+002, 1.9670816E+002, 1.8010584E+002, 1.4401604E+002, 6.6532972E+001, 3.9393923E+001, 2.0000171E+001, 1.9999837E+001, 2.0000026E+001, 2.0000089E+001, 1.9999816E+001, 1.9999728E+001, 1.9999928E+001, 1.9999598E+001, 2.1394871E+001, 2.0014506E+001, 2.0003992E+001, 2.0005800E+001, 2.0005798E+001, 2.0007255E+001, 2.0007341E+001, 2.0007489E+001, 1.9999962E+001, 1.9999930E+001, 1.9999915E+001, 1.9999946E+001, 2.0000593E+001, 1.9999857E+001, 1.9999910E+001, 2.0000724E+001, 1.9603958E+002, 1.9942654E+002, 2.2083560E-004, 2.3197455E-002, 1.9999744E+001, 1.9999758E+001, 3.6090629E-271, 3.7911040E-269, 1.9999478E+001, 2.0005270E+001, 3.4016600E-016, 3.5732397E-014, 1.9999816E+001, 1.9999826E+001, 0.0000000E+000, 0.0000000E+000, 2.0002355E+001, 2.0015274E+001, 3.1860081E-009, 3.3467103E-007
 3.5001564E+001, 3.2471491E+001, 4.2479957E+002, 2.7860660E+002, 2.5072924E+002, 2.3808518E+002, 2.1023685E+002, 1.8314392E+002, 7.7194099E+001, 4.8494653E+001, 2.0000182E+001, 1.9999790E+001, 2.0000010E+001, 2.0000047E+001, 1.9999806E+001, 1.9999662E+001, 1.9999906E+001, 1.9999577E+001, 2.4006816E+001, 2.0082104E+001, 2.0008564E+001, 2.0011900E+001, 2.0012124E+001, 2.0013911E+001, 2.0014433E+001, 2.0014089E+001, 2.0000011E+001, 1.9999942E+001, 1.9999914E+001, 2.0000004E+001, 2.0000634E+001, 1.9999870E+001, 1.9999928E+001, 2.0000680E+001, 2.3682945E+002, 2.4015694E+002, 3.1026008E-004, 3.2590960E-002, 1.9999710E+001, 1.9999726E+001, 7.9510721E-205, 8.3521242E-203, 1.9999805E+001, 2.0011229E+001, 7.4499640E-015, 7.8257402E-013, 1.9999866E+001, 1.9999873E+001, 3.5499164E-238, 3.7289742E-236, 3.0639970E+001, 3.0387456E+001, 1.5740030E-005, 1.6533957E-003
 4.0010918E+001, 3.7514592E+001, 4.6896869E+002, 3.3971572E+002, 2.9887595E+002, 2.7808416E+002, 2.4904646E+002, 2.0107697E+002, 7.7952460E+001, 5.7359369E+001, 2.0000188E+001, 1.9999750E+001, 1.9999993E+001, 2.0000032E+001, 1.9999832E+001, 1.9999635E+001, 1.9999912E+001, 1.9999588E+001, 2.7481792E+001, 1.9942258E+001, 2.0015807E+001, 2.0021488E+001, 2.0020598E+001, 2.0022865E+001, 2.0024498E+001, 2.0023777E+001, 2.0000077E+001, 1.9999761E+001, 1.9999532E+001, 1.9999906E+001, 2.0000453E+001, 1.9999897E+001, 1.9999977E+001, 2.0000147E+001, 2.8231159E+002, 2.8541107E+002, 3.8869485E-004, 4.0830061E-002, 1.9999682E+001, 1.9999720E+001, 2.3800936E-123, 2.5001455E-121, 1.9999902E+001, 2.0020874E+001, 5.9253871E-015, 6.2242636E-013, 1.9999839E+001, 1.9999846E+001, 3.4939485E-139, 3.6701833E-137, 1.9971469E+001, 2.0051065E+001, 6.0579372E-009, 6.3634996E-007
