s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol,C,C,mol/mol,mol/mol
 4.5001858E+001, 4.2512503E+001, 4.7063946E+002, 3.6340794E+002, 3.1738151E+002, 3.0531160E+002, 2.8234838E+002, 2.2805790E+002, 1.1325078E+002, 5.5422069E+001, 2.0000223E+001, 1.9999766E+001, 2.0000160E+001, 2.0000401E+001, 2.0000359E+001, 2.0000120E+001, 2.0000343E+001, 1.9999931E+001, 3.2831654E+001, 1.9907837E+001, 2.0025626E+001, 2.0035607E+001, 2.0034277E+001, 2.0036238E+001, 2.0039687E+001, 2.0037176E+001, 1.9999953E+001, 1.9998740E+001, 1.9998750E+001, 1.9999090E+001, 1.9999253E+001, 1.9999384E+001, 1.9999735E+001, 1.9999709E+001, 3.0679294E+002, 3.1025262E+002, 4.5533945E-004, 4.7830677E-002, 1.9999664E+001, 2.0000043E+001, 1.1668561E-073, 1.2257123E-071, 2.0000022E+001, 2.0034738E+001, 6.7053882E-015, 7.0436080E-013, 1.9999111E+001, 1.9999146E+001, 1.2160104E-067, 1.2773460E-065, 2.3994603E+001, 2.4007549E+001, 6.6622662E-006, 6.9983109E-004
 5.0005032E+001, 4.7509560E+001, 5.6504708E+002, 3.9052544E+002, 3.4360045E+002, 3.2855201E+002, 2.8894285E+002, 2.3614682E+002, 1.2634725E+002, 6.1500578E+001, 2.0000353E+001, 1.9999921E+001, 2.0000975E+001, 2.0001854E+001, 2.0002177E+001, 2.0002041E+001, 2.0002008E+001, 2.0001214E+001, 3.6199443E+001, 1.9851264E+001, 2.0054206E+001, 2.0042278E+001, 2.0036955E+001, 2.0041418E+001, 2.0050025E+001, 2.0049844E+001, 1.9999603E+001, 1.9997888E+001, 1.9998690E+001, 2.0001530E+001, 2.0001355E+001, 2.0000697E+001, 1.9999833E+001, 1.9999277E+001, 3.2986579E+002, 3.3443983E+002, 5.3895945E-004, 5.6614457E-002, 1.9999665E+001, 2.0001370E+001, 8.4825150E-048, 8.9103731E-046, 2.0013328E+001, 2.0053249E+001, 1.0454362E-008, 1.0981680E-006, 1.9999961E+001, 1.9999963E+001, 2.9960349E-042, 3.1471549E-040, 2.8094762E+001, 2.8042480E+001, 1.3737030E-005, 1.4429926E-003
 5.5008202E+001, 5.2512733E+001, 6.1447948E+002, 4.1380009E+002, 3.7605501E+002, 3.4088793E+002, 2.9600332E+002, 2.3751127E+002, 1.2377254E+002, 5.9478554E+001, 2.0001035E+001, 2.0000927E+001, 2.0002876E+001, 2.0004462E+001, 2.0005157E+001, 2.0005082E+001, 2.0004630E+001, 2.0003405E+001, 4.4192290E+001, 2.0667176E+001, 2.0139631E+001, 2.0085102E+001, 2.0039892E+001, 2.0045599E+001, 2.0059854E+001, 2.0079607E+001, 1.9999558E+001, 1.9997544E+001, 1.9998096E+001, 1.9998031E+001, 1.9998736E+001, 2.0000864E+001, 2.0003286E+001, 2.0004643E+001, 3.5230342E+002, 3.5648626E+002, 6.3986135E-004, 6.7213595E-002, 1.9999752E+001, 2.0003841E+001, 4.7514264E-027, 4.9910883E-025, 2.0067648E+001, 2.0112247E+001, 1.2003578E-007, 1.2609038E-005, 1.9997985E+001, 1.9998059E+001, 6.4244162E-035, 6.7484638E-033, 2.2225089E+001, 2.2441425E+001, 4.3081315E-006, 4.5254337E-004
 6.0011375E+001, 5.7515905E+001, 6.2926253E+002, 4.3177479E+002, 3.8232532E+002, 3.4814791E+002, 3.1674830E+002, 2.8403965E+002, 1.1564153E+002, 6.1833372E+001, 2.2176154E+001, 2.0093490E+001, 2.0008721E+001, 2.0009895E+001, 2.0010769E+001, 2.0010369E+001, 2.0009345E+001, 2.0007626E+001, 4.5432010E+001, 2.4816548E+001, 2.0921599E+001, 2.0208026E+001, 2.0065321E+001, 2.0051173E+001, 2.0061793E+001, 2.0077407E+001, 1.9999903E+001, 1.9998654E+001, 1.9998156E+001, 1.9999533E+001, 2.0000201E+001, 2.0000301E+001, 1.9998426E+001, 2.0000569E+001, 3.5295708E+002, 3.5853352E+002, 7.1114241E-004, 7.4701244E-002, 2.0001050E+001, 2.0009592E+001, 1.3343091E-012, 1.4016116E-010, 2.0333185E+001, 2.0379151E+001, 6.1404640E-007, 6.4501890E-005, 1.9998010E+001, 1.9998334E+001, 1.4810739E-036, 1.5557793E-034, 2.2783587E+001, 2.3089488E+001, 7.3512773E-006, 7.7220757E-004
 6.5002319E+001, 6.2512962E+001, 5.9523570E+002, 4.2682398E+002, 3.9196645E+002, 3.5371954E+002, 3.0705895E+002, 2.7004421E+002, 1.4160578E+002, 7.4168515E+001, 2.9485143E+001, 2.0158606E+001, 2.0019642E+001, 2.0023101E+001, 2.0022818E+001, 2.0020878E+001, 2.0018349E+001, 2.0014748E+001, 5.2346809E+001, 2.8727881E+001, 2.1911053E+001, 2.0156616E+001, 2.0045422E+001, 2.0059277E+001, 2.0070362E+001, 2.0088203E+001, 2.0000945E+001, 2.0002137E+001, 1.9999321E+001, 2.0000464E+001, 2.0000466E+001, 2.0001653E+001, 2.0001824E+001, 2.0002267E+001, 3.6802221E+002, 3.7196528E+002, 7.6287571E-004, 8.0135516E-002, 2.0002709E+001, 2.0024064E+001, 6.7025997E-012, 7.0406789E-010, 2.0362955E+001, 2.0416761E+001, 6.6047364E-007, 6.9378792E-005, 1.9998073E+001, 1.9999984E+001, 8.8933777E-024, 9.3419596E-022, 2.3873990E+001, 2.4162126E+001, 1.2111940E-005, 1.2722867E-003
 7.0005486E+001, 6.7510018E+001, 6.0720772E+002, 4.1877094E+002, 3.9667552E+002, 3.6137151E+002, 3.4265054E+002, 2.6693605E+002, 1.3983101E+002, 7.0220420E+001, 3.6683583E+001, 2.0639444E+001, 2.0024552E+001, 2.0039883E+001, 2.0034947E+001, 2.0032335E+001, 2.0025666E+001, 2.0022409E+001, 5.3215750E+001, 3.2314160E+001, 2.1407312E+001, 2.0298117E+001, 2.0074787E+001, 2.0075712E+001, 2.0078260E+001, 2.0092188E+001, 2.0007000E+001, 1.9999455E+001, 2.0014649E+001, 2.0184547E+001, 2.0217152E+001, 2.0027642E+001, 2.0009812E+001, 2.0008315E+001, 3.7636648E+002, 3.7977258E+002, 8.1759922E-004, 8.5883893E-002, 2.0019886E+001, 2.0056352E+001, 1.9802693E-009, 2.0801541E-007, 2.0302811E+001, 2.0366907E+001, 6.8546619E-007, 7.2004110E-005, 2.0100092E+001, 2.0101324E+001, 1.9672058E-007, 2.0664317E-005, 2.5978202E+001, 2.6217749E+001, 2.1326301E-005, 2.2402000E-003
 7.5001663E+001, 7.2506591E+001, 5.9626086E+002, 4.2298065E+002, 4.0392398E+002, 3.6921602E+002, 3.2771508E+002, 2.7437330E+002, 1.3930332E+002, 7.0962308E+001, 3.8400944E+001, 2.7101078E+001, 2.4287564E+001, 2.2555427E+001, 2.2737332E+001, 2.0362097E+001, 2.0045576E+001, 2.0037764E+001, 5.3714820E+001, 3.4968525E+001, 2.4957440E+001, 2.0477519E+001, 2.0076983E+001, 2.0105237E+001, 2.0103905E+001, 2.0082379E+001, 2.0715639E+001, 2.0084633E+001, 2.0088515E+001, 2.0400419E+001, 2.0258344E+001, 2.0214140E+001, 2.0531830E+001, 2.0239850E+001, 3.8690224E+002, 3.8908234E+002, 8.5686676E-004, 9.0008712E-002, 2.2983503E+001, 2.2951179E+001, 7.8489425E-006, 8.2448431E-004, 2.1112269E+001, 2.1169320E+001, 2.3261563E-006, 2.4434876E-004, 2.0331000E+001, 2.0328191E+001, 8.3627735E-007, 8.7845918E-005, 2.0046045E+001, 2.0505333E+001, 8.8394635E-006, 9.2853261E-004
 8.0005760E+001, 7.7509741E+001, 6.2385004E+002, 4.3138314E+002, 4.0017680E+002, 3.6122604E+002, 3.4314578E+002, 2.5229835E+002, 1.4150266E+002, 8.6807671E+001, 4.2234100E+001, 3.3359419E+001, 2.6608125E+001, 2.2795244E+001, 2.2930357E+001, 2.0266549E+001, 2.0065834E+001, 2.0052069E+001, 5.8564125E+001, 3.6193481E+001, 2.7237536E+001, 2.1271568E+001, 2.0108503E+001, 2.0113993E+001, 2.0113186E+001, 2.0099052E+001, 2.4681852E+001, 2.0563679E+001, 2.1413438E+001, 2.0445953E+001, 2.0138713E+001, 2.0187161E+001, 2.0103190E+001, 2.0018159E+001, 3.7882294E+002, 3.8294874E+002, 8.5557803E-004, 8.9873338E-002, 2.2997129E+001, 2.2980627E+001, 7.4788717E-006, 7.8561060E-004, 2.2968298E+001, 2.2998440E+001, 6.8690655E-006, 7.2155412E-004, 2.1121374E+001, 2.1096069E+001, 3.0548111E-006, 3.2088958E-004, 2.1133066E+001, 2.1544730E+001, 9.7417094E-006, 1.0233081E-003
 8.5008636E+001, 8.2517935E+001, 6.3889669E+002, 4.3414986E+002, 4.0903394E+002, 3.7122647E+002, 3.4221111E+002, 2.7629128E+002, 1.2469147E+002, 8.8690238E+001, 4.3801429E+001, 3.5201694E+001, 2.5117183E+001, 2.3771385E+001, 2.3967723E+001, 2.2272374E+001, 2.0220118E+001, 2.0083075E+001, 5.9958125E+001, 4.0754315E+001, 3.1606870E+001, 2.3370191E+001, 2.0106106E+001, 2.0112903E+001, 2.0149701E+001, 2.0138618E+001, 2.6361446E+001, 2.2046403E+001, 2.1278331E+001, 2.1370036E+001, 2.1136564E+001, 2.0062793E+001, 2.0018414E+001, 2.0047707E+001, 3.8762013E+002, 3.9089962E+002, 8.8540491E-004, 9.3006474E-002, 2.3315432E+001, 2.3309138E+001, 8.7786635E-006, 9.2214593E-004, 2.5721452E+001, 2.5691907E+001, 1.3497640E-005, 1.4178461E-003, 2.1290612E+001, 2.1264880E+001, 3.6441372E-006, 3.8279475E-004, 1.9433114E+001, 1.9962632E+001, 2.8068467E-006, 2.9484241E-004
 9.0009476E+001, 8.7516120E+001, 6.2088717E+002, 4.2953515E+002, 4.0504852E+002, 3.7897753E+002, 3.4230462E+002, 2.9272523E+002, 1.3327773E+002, 8.5173625E+001, 4.4983945E+001, 3.7777587E+001, 3.3820294E+001, 2.8285843E+001, 2.7593249E+001, 2.5607005E+001, 2.1519828E+001, 2.0104379E+001, 5.9182901E+001, 4.1355011E+001, 3.1313118E+001, 2.3503021E+001, 2.0155154E+001, 2.0107259E+001, 2.0139636E+001, 2.0165005E+001, 2.6650467E+001, 2.1555152E+001, 2.1025911E+001, 2.0778949E+001, 2.0691953E+001, 2.0046889E+001, 2.0038586E+001, 2.0073930E+001, 3.9055719E+002, 3.9394537E+002, 8.9346532E-004, 9.3853171E-002, 2.9395166E+001, 2.9233846E+001, 3.0621833E-005, 3.2166399E-003, 2.5403612E+001, 2.5398625E+001, 1.3705374E-005, 1.4396673E-003, 2.0887126E+001, 2.0879970E+001, 2.5915144E-006, 2.7222304E-004, 1.6266588E+001, 1.6883636E+001, 5.2912350E-006, 5.5581249E-004
 9.5010712E+001, 9.2523520E+001, 6.5292721E+002, 4.5288875E+002, 4.1807710E+002, 3.8659347E+002, 3.5853586E+002, 2.7415630E+002, 1.3639844E+002, 9.6806262E+001, 4.4042282E+001, 3.8705627E+001, 3.5914119E+001, 3.3128069E+001, 3.1536011E+001, 2.8216705E+001, 2.3752815E+001, 2.0236579E+001, 6.2429293E+001, 4.2097908E+001, 3.3149310E+001, 2.5021510E+001, 2.0442906E+001, 2.0114435E+001, 2.0133627E+001, 2.0198349E+001, 2.8382963E+001, 2.3714016E+001, 2.3266294E+001, 2.0307948E+001, 2.0169196E+001, 2.0304251E+001, 2.0040097E+001, 2.0028067E+001, 3.9478404E+002, 3.9884230E+002, 8.6664713E-004, 9.1036081E-002, 3.4307841E+001, 3.4011261E+001, 4.8236337E-005, 5.0669378E-003, 2.7515663E+001, 2.7461814E+001, 2.2292017E-005, 2.3416426E-003, 2.0969542E+001, 2.0971265E+001, 3.2034020E-006, 3.3649816E-004, 1.7239793E+001, 1.7868873E+001, 8.4357649E-006, 8.8612649E-004
 1.0000875E+002, 9.7518410E+001, 6.9036116E+002, 4.5640780E+002, 4.2510124E+002, 3.7764986E+002, 3.6756827E+002, 2.8419966E+002, 1.3938542E+002, 9.3569052E+001, 5.0794786E+001, 4.2468119E+001, 3.7583057E+001, 3.6608709E+001, 3.5729181E+001, 2.8893084E+001, 2.3203631E+001, 2.0194033E+001, 6.0672722E+001, 4.4181028E+001, 3.6087855E+001, 2.7928532E+001, 2.1184578E+001, 2.0118139E+001, 2.0133568E+001, 2.0363985E+001, 3.0206655E+001, 2.5867144E+001, 2.3503605E+001, 2.2494831E+001, 2.2177395E+001, 2.1357281E+001, 2.0236568E+001, 2.0073121E+001, 3.9171591E+002, 3.9688499E+002, 8.9150683E-004, 9.3647443E-002, 3.7108840E+001, 3.6730679E+001, 6.0065932E-005, 6.3095657E-003, 3.1242179E+001, 3.1082392E+001, 3.7635599E-005, 3.9533939E-003, 2.3752340E+001, 2.3673965E+001, 1.2878339E-005, 1.3527922E-003, 1.9016600E+001, 1.9614897E+001, 6.5981498E-006, 6.9309604E-004
 1.0501067E+002, 1.0251580E+002, 7.1037097E+002, 4.7556298E+002, 4.2709858E+002, 3.9328775E+002, 3.6611923E+002, 3.0859304E+002, 1.5954997E+002, 9.8607141E+001, 5.1808205E+001, 4.4833577E+001, 3.8166341E+001, 3.8353460E+001, 3.8207577E+001, 3.3095533E+001, 2.3077549E+001, 2.0534539E+001, 6.4095806E+001, 4.3878861E+001, 3.6561278E+001, 2.7759548E+001, 2.2772657E+001, 2.0155771E+001, 2.0276661E+001, 2.0332645E+001, 3.0738775E+001, 2.8014834E+001, 2.6497809E+001, 2.3087692E+001, 2.3115168E+001, 2.1851997E+001, 2.0397930E+001, 2.0246718E+001, 3.9608255E+002, 4.0313286E+002, 9.0194262E-004, 9.4743660E-002, 3.8681779E+001, 3.8310936E+001, 6.8113428E-005, 7.1549070E-003, 2.8848491E+001, 2.8782744E+001, 3.1398327E-005, 3.2982059E-003, 2.4538123E+001, 2.4439449E+001, 1.6166748E-005, 1.6982199E-003, 2.0629070E+001, 2.1362080E+001, 3.6467186E-006, 3.8306591E-004
 1.1000043E+002, 1.0751164E+002, 7.3586789E+002, 4.9815393E+002, 4.2114907E+002, 3.9586100E+002, 3.6533034E+002, 3.4432123E+002, 1.5392068E+002, 9.3416701E+001, 5.1495924E+001, 4.5039473E+001, 4.0800094E+001, 3.9421043E+001, 3.9462227E+001, 3.8562241E+001, 2.7669117E+001, 2.2494367E+001, 6.3269938E+001, 4.5286157E+001, 3.6918457E+001, 2.9748413E+001, 2.3387965E+001, 2.0188838E+001, 2.0468611E+001, 2.0366912E+001, 3.2294029E+001, 3.0160458E+001, 2.8348784E+001, 2.3650114E+001, 2.3556910E+001, 2.2878395E+001, 2.2400039E+001, 2.0599843E+001, 3.9668063E+002, 4.0496335E+002, 8.9183673E-004, 9.3682097E-002, 3.9809891E+001, 3.9453971E+001, 7.6437291E-005, 8.0292787E-003, 3.1270763E+001, 3.1126308E+001, 4.2062324E-005, 4.4183947E-003, 2.4511937E+001, 2.4430703E+001, 1.6489250E-005, 1.7320968E-003, 1.8475546E+001, 1.9194827E+001, 7.5576940E-006, 7.9389040E-004
 1.1500235E+002, 1.1250747E+002, 6.9000971E+002, 4.8596348E+002, 4.3003495E+002, 3.9855235E+002, 3.5637868E+002, 3.3048603E+002, 1.6140650E+002, 1.0017182E+002, 5.4073488E+001, 4.3468962E+001, 4.1816513E+001, 4.1446195E+001, 4.1316087E+001, 3.6392998E+001, 2.9823501E+001, 2.4365273E+001, 6.3793631E+001, 4.5946210E+001, 3.8818984E+001, 2.9489699E+001, 2.4317107E+001, 2.0462792E+001, 2.0688947E+001, 2.0409066E+001, 3.2992316E+001, 3.0938770E+001, 2.7008306E+001, 2.4655673E+001, 2.4383443E+001, 2.4024073E+001, 2.2950624E+001, 2.1496762E+001, 4.0552488E+002, 4.1229091E+002, 8.9503337E-004, 9.4017885E-002, 4.1760933E+001, 4.1353283E+001, 8.7962151E-005, 9.2398962E-003, 3.0798184E+001, 3.0684454E+001, 4.1028359E-005, 4.3097829E-003, 2.5120549E+001, 2.5040300E+001, 1.9321456E-005, 2.0296031E-003, 1.7720772E+001, 1.8454516E+001, 6.2574964E-006, 6.5731245E-004
