s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.1785113E-001, 2.0000000E+001, 2.0000007E+001, 1.9999979E+001, 2.0000014E+001, 1.9999998E+001, 2.0000012E+001, 2.0000001E+001, 1.9999989E+001, 2.0000002E+001, 1.9999988E+001, 1.9999998E+001, 1.9999995E+001, 1.9999997E+001, 1.9999999E+001, 1.9999973E+001, 1.9999997E+001
 2.3570226E-001, 2.0000003E+001, 2.0000010E+001, 1.9999971E+001, 2.0000020E+001, 1.9999997E+001, 2.0000018E+001, 2.0000002E+001, 1.9999985E+001, 2.0000002E+001, 1.9999984E+001, 1.9999997E+001, 1.9999993E+001, 1.9999995E+001, 1.9999998E+001, 1.9999961E+001, 1.9999996E+001
 3.5355338E-001, 2.0000003E+001, 2.0000013E+001, 1.9999962E+001, 2.0000026E+001, 1.9999996E+001, 2.0000023E+001, 2.0000002E+001, 1.9999980E+001, 2.0000003E+001, 1.9999979E+001, 1.9999996E+001, 1.9999990E+001, 1.9999993E+001, 1.9999998E+001, 1.9999949E+001, 1.9999994E+001
 4.7140452E-001, 2.0000005E+001, 2.0000015E+001, 1.9999954E+001, 2.0000032E+001, 1.9999995E+001, 2.0000082E+001, 2.0000003E+001, 1.9999976E+001, 2.0000003E+001, 1.9999974E+001, 1.9999995E+001, 1.9999988E+001, 1.9999991E+001, 1.9999997E+001, 1.9999938E+001, 1.9999993E+001
 5.8925563E-001, 2.0000005E+001, 2.0000018E+001, 1.9999945E+001, 2.0000037E+001, 1.9999994E+001, 2.0000087E+001, 2.0000003E+001, 1.9999971E+001, 2.0000004E+001, 1.9999969E+001, 1.9999994E+001, 1.9999986E+001, 1.9999989E+001, 1.9999996E+001, 1.9999926E+001, 1.9999992E+001
 7.0710677E-001, 2.0000006E+001, 2.0000020E+001, 1.9999937E+001, 2.0000043E+001, 1.9999994E+001, 2.0000091E+001, 2.0000002E+001, 1.9999967E+001, 2.0000004E+001, 1.9999964E+001, 1.9999993E+001, 1.9999984E+001, 1.9999987E+001, 1.9999994E+001, 1.9999914E+001, 1.9999991E+001
 8.2495791E-001, 2.0000006E+001, 2.0000021E+001, 1.9999928E+001, 2.0000048E+001, 1.9999994E+001, 2.0000444E+001, 2.0000001E+001, 1.9999964E+001, 2.0000005E+001, 1.9999959E+001, 1.9999992E+001, 1.9999981E+001, 1.9999985E+001, 1.9999993E+001, 1.9999903E+001, 1.9999990E+001
 9.4280905E-001, 2.0000007E+001, 2.0000022E+001, 1.9999919E+001, 2.0000053E+001, 1.9999995E+001, 2.0000449E+001, 2.0000000E+001, 1.9999960E+001, 2.0000005E+001, 1.9999954E+001, 1.9999991E+001, 1.9999979E+001, 1.9999982E+001, 1.9999992E+001, 1.9999891E+001, 1.9999989E+001
 1.0070487E+000, 2.0000007E+001, 2.0000022E+001, 1.9999914E+001, 2.0000057E+001, 1.9999996E+001, 2.0000453E+001, 2.0000000E+001, 1.9999958E+001, 2.0000005E+001, 1.9999952E+001, 1.9999991E+001, 1.9999978E+001, 1.9999981E+001, 1.9999991E+001, 1.9999885E+001, 1.9999988E+001
 1.0641735E+000, 2.0000008E+001, 2.0000054E+001, 1.9999950E+001, 2.0000085E+001, 2.0000001E+001, 2.0003553E+001, 2.0000048E+001, 2.0000027E+001, 2.0000005E+001, 1.9999950E+001, 1.9999990E+001, 1.9999977E+001, 1.9999980E+001, 1.9999990E+001, 1.9999879E+001, 1.9999988E+001
 1.1057054E+000, 2.0000008E+001, 2.0000053E+001, 1.9999946E+001, 2.0000087E+001, 2.0000004E+001, 2.0003585E+001, 2.0000048E+001, 2.0000026E+001, 2.0000006E+001, 1.9999948E+001, 1.9999990E+001, 1.9999976E+001, 1.9999979E+001, 1.9999990E+001, 1.9999875E+001, 1.9999987E+001
 1.2011814E+000, 2.0000039E+001, 2.0000852E+001, 2.0000898E+001, 2.0002038E+001, 2.0002338E+001, 2.0040584E+001, 2.0011098E+001, 2.0001051E+001, 2.0000006E+001, 1.9999945E+001, 1.9999989E+001, 1.9999975E+001, 1.9999978E+001, 1.9999989E+001, 1.9999868E+001, 1.9999987E+001
 1.3179767E+000, 2.0000344E+001, 2.0043159E+001, 2.0038645E+001, 2.0246357E+001, 2.0348071E+001, 2.0695343E+001, 2.0204685E+001, 2.0025464E+001, 2.0000006E+001, 1.9999941E+001, 1.9999988E+001, 1.9999973E+001, 1.9999976E+001, 1.9999988E+001, 1.9999859E+001, 1.9999986E+001
 1.4039729E+000, 2.0113535E+001, 2.0528349E+001, 2.0491931E+001, 2.0873353E+001, 2.1041833E+001, 2.1468314E+001, 2.0517963E+001, 2.0132121E+001, 2.0000006E+001, 1.9999937E+001, 1.9999986E+001, 1.9999970E+001, 1.9999973E+001, 1.9999986E+001, 1.9999849E+001, 1.9999985E+001
 1.5001421E+000, 2.0666914E+001, 2.2130672E+001, 2.2270704E+001, 2.1704153E+001, 2.1366410E+001, 2.1496419E+001, 2.0615232E+001, 2.0210039E+001, 2.0000006E+001, 1.9999934E+001, 1.9999986E+001, 1.9999971E+001, 1.9999978E+001, 1.9999993E+001, 1.9999844E+001, 1.9999986E+001
 1.6083493E+000, 2.1383975E+001, 2.3076676E+001, 2.3754692E+001, 2.3782188E+001, 2.3663591E+001, 2.1603569E+001, 2.0707317E+001, 2.0255402E+001, 2.0000007E+001, 1.9999929E+001, 2.0000006E+001, 1.9999994E+001, 2.0000001E+001, 2.0000026E+001, 1.9999863E+001, 2.0000015E+001
 1.7052211E+000, 2.1865951E+001, 2.4168542E+001, 2.5000180E+001, 2.5656367E+001, 2.6243920E+001, 2.2212973E+001, 2.1404900E+001, 2.0828683E+001, 2.0000008E+001, 1.9999924E+001, 2.0000276E+001, 2.0001367E+001, 2.0003830E+001, 2.0004933E+001, 2.0002633E+001, 2.0001000E+001
 1.8085796E+000, 2.2244817E+001, 2.4640817E+001, 2.5262021E+001, 2.5978413E+001, 2.6497542E+001, 2.3037718E+001, 2.1976609E+001, 2.1288686E+001, 2.0000015E+001, 1.9999926E+001, 2.0001008E+001, 2.0003123E+001, 2.0007935E+001, 2.0010068E+001, 2.0005966E+001, 2.0002451E+001
 1.9119381E+000, 2.2203632E+001, 2.4963314E+001, 2.5381829E+001, 2.6317195E+001, 2.6690026E+001, 2.5145711E+001, 2.3086388E+001, 2.1949720E+001, 2.0000107E+001, 2.0000074E+001, 2.0002064E+001, 2.0007604E+001, 2.0015463E+001, 2.0016339E+001, 2.0009291E+001, 2.0004006E+001
 2.0044839E+000, 2.2184804E+001, 2.5564601E+001, 2.5926941E+001, 2.6762528E+001, 2.7074888E+001, 2.5885682E+001, 2.3787839E+001, 2.2493216E+001, 2.0000546E+001, 2.0000785E+001, 2.0006105E+001, 2.0028663E+001, 2.0049878E+001, 2.0044256E+001, 2.0023073E+001, 2.0009579E+001
 2.1081910E+000, 2.1987329E+001, 2.6411746E+001, 2.7064627E+001, 2.8250136E+001, 2.8455483E+001, 2.6742356E+001, 2.4305079E+001, 2.2843812E+001, 2.0001087E+001, 2.0001606E+001, 2.0010826E+001, 2.0034295E+001, 2.0056057E+001, 2.0051164E+001, 2.0030864E+001, 2.0017262E+001
 2.2118981E+000, 2.1474533E+001, 2.6837105E+001, 2.7655883E+001, 2.9220282E+001, 2.9552360E+001, 2.7300238E+001, 2.4874030E+001, 2.3307305E+001, 2.0003161E+001, 2.0004739E+001, 2.0014793E+001, 2.0041489E+001, 2.0063049E+001, 2.0058381E+001, 2.0038502E+001, 2.0022657E+001
 2.3026419E+000, 2.1178505E+001, 2.6678472E+001, 2.7702202E+001, 2.9794017E+001, 3.0389977E+001, 2.8043903E+001, 2.5449435E+001, 2.3693108E+001, 2.0006258E+001, 2.0009148E+001, 2.0015868E+001, 2.0043774E+001, 2.0067080E+001, 2.0062171E+001, 2.0041405E+001, 2.0025121E+001
 2.4024599E+000, 6.0133670E+001, 2.5816238E+001, 2.7188307E+001, 2.9830042E+001, 3.0647129E+001, 2.8697614E+001, 2.6167006E+001, 2.4307654E+001, 2.0008333E+001, 2.0012775E+001, 2.0017042E+001, 2.0045208E+001, 2.0071585E+001, 2.0067684E+001, 2.0045077E+001, 2.0026889E+001
 2.5022781E+000, 1.9802455E+002, 2.6497676E+001, 2.6035880E+001, 2.8590510E+001, 2.9650264E+001, 2.8973863E+001, 2.6331164E+001, 2.4458991E+001, 2.0009179E+001, 2.0013942E+001, 2.0018676E+001, 2.0047962E+001, 2.0075105E+001, 2.0070658E+001, 2.0047829E+001, 2.0029461E+001
 2.6034818E+000, 1.0593733E+002, 3.2186780E+001, 2.5478266E+001, 2.7695109E+001, 2.8730931E+001, 2.9207551E+001, 2.6501735E+001, 2.4670944E+001, 2.0010235E+001, 2.0015522E+001, 2.0021560E+001, 2.0058069E+001, 2.0090106E+001, 2.0082463E+001, 2.0054802E+001, 2.0032901E+001
 2.7046854E+000, 1.6085860E+002, 4.1015437E+001, 2.5892324E+001, 2.7801377E+001, 2.8922968E+001, 2.8600979E+001, 2.6066746E+001, 2.4454838E+001, 2.0011854E+001, 2.0017756E+001, 2.0023976E+001, 2.0064750E+001, 2.0099844E+001, 2.0090356E+001, 2.0060373E+001, 2.0037415E+001
 2.8084192E+000, 1.3056586E+002, 6.1488146E+001, 2.8087431E+001, 2.8268061E+001, 2.9537508E+001, 2.7873721E+001, 2.5465781E+001, 2.4030179E+001, 2.0013851E+001, 2.0020954E+001, 2.0025790E+001, 2.0073804E+001, 2.0114217E+001, 2.0101281E+001, 2.0066265E+001, 2.0040276E+001
 2.9058278E+000, 1.2841210E+002, 1.0310009E+002, 3.6719104E+001, 2.9367941E+001, 3.0362858E+001, 2.8121554E+001, 2.5568131E+001, 2.4031303E+001, 2.0015440E+001, 2.0023172E+001, 2.0025328E+001, 2.0073270E+001, 2.0114476E+001, 2.0102043E+001, 2.0066854E+001, 2.0040884E+001
 3.0032363E+000, 1.1475739E+002, 1.5038093E+002, 6.2356181E+001, 3.0260634E+001, 3.1215181E+001, 2.8725813E+001, 2.6415305E+001, 2.4864077E+001, 2.0016387E+001, 2.0024751E+001, 2.0023472E+001, 2.0063970E+001, 2.0100829E+001, 2.0092225E+001, 2.0062083E+001, 2.0039358E+001
 3.1006448E+000, 1.1558851E+002, 1.7743681E+002, 1.1822939E+002, 3.1765459E+001, 3.2088764E+001, 2.9129449E+001, 2.6696047E+001, 2.5085832E+001, 2.0016116E+001, 2.0024441E+001, 2.0023172E+001, 2.0069568E+001, 2.0109699E+001, 2.0097602E+001, 2.0063701E+001, 2.0039094E+001
 3.2119687E+000, 1.4813303E+002, 1.7944546E+002, 1.7272369E+002, 3.4931414E+001, 3.4335460E+001, 3.0226432E+001, 2.7976218E+001, 2.6409375E+001, 2.0015073E+001, 2.0022735E+001, 2.0025228E+001, 2.0084402E+001, 2.0131614E+001, 2.0112084E+001, 2.0069984E+001, 2.0041198E+001
 3.3093772E+000, 1.2854402E+002, 1.6647806E+002, 1.7339524E+002, 4.1623842E+001, 3.4891309E+001, 3.0791006E+001, 2.8444470E+001, 2.6851265E+001, 2.0014312E+001, 2.0021598E+001, 2.0027494E+001, 2.0096562E+001, 2.0150804E+001, 2.0126340E+001, 2.0078205E+001, 2.0046825E+001
 3.4067857E+000, 1.2331816E+002, 1.5456978E+002, 1.6059474E+002, 5.9048449E+001, 3.5412786E+001, 3.3253180E+001, 3.0730926E+001, 2.8892060E+001, 2.0014530E+001, 2.0021957E+001, 2.0031363E+001, 2.0125294E+001, 2.0197503E+001, 2.0160492E+001, 2.0094362E+001, 2.0052287E+001
 3.5041943E+000, 2.2657070E+002, 1.5868266E+002, 1.5822088E+002, 8.8666868E+001, 3.5981003E+001, 3.4480138E+001, 3.1693701E+001, 2.9735657E+001, 2.0014976E+001, 2.0022600E+001, 2.0033508E+001, 2.0134795E+001, 2.0209176E+001, 2.0167531E+001, 2.0100594E+001, 2.0061537E+001
 3.6016028E+000, 2.3996823E+002, 1.8219895E+002, 1.6524231E+002, 1.1988035E+002, 3.5182588E+001, 3.5032551E+001, 3.2142466E+001, 3.0021322E+001, 2.0016302E+001, 2.0024825E+001, 2.0040211E+001, 2.0194845E+001, 2.0285928E+001, 2.0209194E+001, 2.0116409E+001, 2.0066597E+001
 3.7129269E+000, 1.1154410E+002, 1.9775883E+002, 1.8026548E+002, 1.4365202E+002, 3.6630344E+001, 3.6014454E+001, 3.2603160E+001, 3.0174280E+001, 2.0017534E+001, 2.0026546E+001, 2.0042136E+001, 2.0189004E+001, 2.0276578E+001, 2.0205484E+001, 2.0122010E+001, 2.0081547E+001
 3.8103354E+000, 1.6967382E+002, 2.3122359E+002, 2.0350642E+002, 1.5201962E+002, 3.8384447E+001, 3.4770324E+001, 3.1383308E+001, 2.9088557E+001, 2.0019651E+001, 2.0029943E+001, 2.0042541E+001, 2.0152006E+001, 2.0214172E+001, 2.0165052E+001, 2.0109337E+001, 2.0081705E+001
 3.9077439E+000, 1.7596902E+002, 3.0204444E+002, 2.4622519E+002, 1.4838756E+002, 3.9071739E+001, 3.4853668E+001, 3.0973223E+001, 2.8364374E+001, 2.0021168E+001, 2.0032058E+001, 2.0043718E+001, 2.0154121E+001, 2.0217122E+001, 2.0167110E+001, 2.0110388E+001, 2.0080577E+001
 4.0051522E+000, 1.8815159E+002, 3.3039842E+002, 2.8184226E+002, 1.3813071E+002, 3.8214089E+001, 3.5322581E+001, 3.1485985E+001, 2.8616703E+001, 2.0023097E+001, 2.0035100E+001, 2.0039519E+001, 2.0101805E+001, 2.0155302E+001, 2.0137561E+001, 2.0101374E+001, 2.0078294E+001
 4.1025610E+000, 2.4548100E+002, 2.8783984E+002, 2.3830949E+002, 1.2301322E+002, 3.7688556E+001, 3.4744316E+001, 3.1287918E+001, 2.8522099E+001, 2.0023871E+001, 2.0036142E+001, 2.0038539E+001, 2.0099684E+001, 2.0152606E+001, 2.0134142E+001, 2.0095242E+001, 2.0066815E+001
