s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 2.6000723E+002, 1.6895244E+003, 1.1447547E+003, 2.6742779E+002, 1.3867769E+003, 3.3578754E-002
 2.6500760E+002, 1.6141022E+003, 1.1157511E+003, 2.3610910E+002, 1.3544946E+003, 3.3057377E-002
 2.7001477E+002, 9.5647752E+002, 7.7839522E+002, 2.2421697E+001, 1.0430340E+003, 1.4245046E-002
 2.7501089E+002, 2.2331296E+002, 2.6428579E+002,-9.2444955E+001, 4.2565966E+002, 2.8926109E-003
 2.8000699E+002, 2.1264433E+002, 2.0065220E+002,-2.1462986E+001, 3.1935065E+002, 2.8926109E-003
 2.8500311E+002, 2.0151511E+002, 1.6626320E+002, 5.0209776E+000, 2.6281695E+002, 2.8926109E-003
 2.9000620E+002, 1.9304591E+002, 1.4683364E+002, 2.9750837E+001, 2.2951337E+002, 2.8926109E-003
 2.9500403E+002, 1.8485253E+002, 1.3187996E+002, 4.0669433E+001, 2.0552493E+002, 2.8926109E-003
 3.0000189E+002, 1.7778591E+002, 1.2121066E+002, 4.8841581E+001, 1.8665167E+002, 2.8926109E-003
 3.0500934E+002, 1.7296418E+002, 1.1237468E+002, 5.4204348E+001, 1.7107254E+002, 2.8926109E-003
 3.1000128E+002, 1.6809070E+002, 1.0580492E+002, 6.2089769E+001, 1.5994088E+002, 2.8926109E-003
 3.1500464E+002, 1.6558994E+002, 1.0122359E+002, 6.5283415E+001, 1.5173124E+002, 2.8926109E-003
 3.2000983E+002, 1.6354893E+002, 9.7401637E+001, 7.0640629E+001, 1.4470476E+002, 2.8926109E-003
 3.2501410E+002, 1.6406488E+002, 9.4630716E+001, 7.4342234E+001, 1.3908596E+002, 2.8926109E-003
 3.3001065E+002, 1.6257482E+002, 9.1855403E+001, 7.3242389E+001, 1.3460650E+002, 2.8926109E-003
 3.3502191E+002, 1.6044706E+002, 8.9427763E+001, 7.6969389E+001, 1.3048948E+002, 2.8926109E-003
 3.4000540E+002, 1.5796543E+002, 8.6985388E+001, 7.5068625E+001, 1.2558660E+002, 2.8926109E-003
 3.4501456E+002, 1.5687432E+002, 8.5121369E+001, 7.6335569E+001, 1.2270421E+002, 2.8926109E-003
 3.5001175E+002, 1.5513226E+002, 8.3392765E+001, 7.7439820E+001, 1.2031873E+002, 2.8926109E-003
 3.5500497E+002, 1.5382110E+002, 8.2234901E+001, 7.7920716E+001, 1.1827602E+002, 2.8926109E-003
 3.6002240E+002, 1.5147440E+002, 8.1035291E+001, 7.9692150E+001, 1.1559001E+002, 2.8926109E-003
 3.6500876E+002, 1.4954056E+002, 7.9601747E+001, 7.6893680E+001, 1.1317596E+002, 2.8926109E-003
 3.7001654E+002, 1.4696581E+002, 7.8052944E+001, 7.8315755E+001, 1.1066255E+002, 2.8926109E-003
 3.7501138E+002, 1.4571294E+002, 7.7267073E+001, 7.4514660E+001, 1.0982660E+002, 2.8926109E-003
 3.8001752E+002, 1.4421443E+002, 7.6277168E+001, 7.5945508E+001, 1.0791036E+002, 2.8926109E-003
 3.8501562E+002, 1.4348885E+002, 7.5329449E+001, 7.6859893E+001, 1.0598116E+002, 2.8926109E-003
 3.9001208E+002, 1.4187462E+002, 7.4223369E+001, 7.7735707E+001, 1.0463521E+002, 2.8926109E-003
 3.9502097E+002, 1.4143271E+002, 7.3889639E+001, 7.5313711E+001, 1.0405322E+002, 2.8926109E-003
 4.0001016E+002, 1.4064653E+002, 7.3229070E+001, 7.7282756E+001, 1.0261037E+002, 2.8926109E-003
