s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kg/kg,kg/kg,C,kg/kg,kg/kg,C,kg/kg,kg/kg,C,kg/kg,kg/kg,C,kg/kg,kg/kg
FDS Time,"Spr_1","Spr_2","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7","TC_C8","TC_D1","TC_D2","TC_D3","TC_D4","TC_D5","TC_D6","TC_D7","TC_D8","TEMP_A5ft","CO_A5ft","CO2_A5ft","TEMP_B5ft","CO_A5ft","CO2_A5ft","TEMP_C5ft","CO_A5ft","CO2_A5ft","TEMP_D5ft","CO_A5ft","CO2_A5ft","TEMP_E5ft","CO_E5ft","CO2_E5ft"
 4.5017368E+001, 8.4434379E+001, 2.0000000E+001, 3.0992519E+002, 1.1525741E+002, 1.0654020E+002, 9.6916342E+001, 7.8297803E+001, 5.8467642E+001, 4.4197860E+001, 3.4960984E+001, 1.9999746E+001, 2.0000621E+001, 2.0000545E+001, 1.9999510E+001, 1.9999565E+001, 1.9999976E+001, 2.0000856E+001, 1.9999789E+001, 2.0000948E+001, 2.0002385E+001, 2.0002045E+001, 2.0002983E+001, 2.0001905E+001, 2.0002088E+001, 2.0001799E+001, 2.0001983E+001, 1.9999859E+001, 1.9999417E+001, 2.0000325E+001, 1.9999836E+001, 2.0001076E+001, 2.0000400E+001, 1.9999809E+001, 2.0000859E+001, 9.9711897E+001, 8.7792093E-003, 8.7792093E-003, 1.9999318E+001, 6.2665505E-061, 6.2665505E-061, 2.0000287E+001, 0.0000000E+000, 0.0000000E+000, 1.9999214E+001, 2.5050628E-103, 2.5050628E-103, 2.0029512E+001, 1.2598023E-006, 1.2598023E-006
 5.0009083E+001, 1.0136859E+002, 2.0000000E+001, 3.3639112E+002, 1.2482875E+002, 1.1361050E+002, 1.0259939E+002, 8.3277625E+001, 6.5238643E+001, 5.4483663E+001, 4.7740986E+001, 1.9999777E+001, 2.0000443E+001, 2.0000683E+001, 1.9999573E+001, 1.9999696E+001, 2.0000163E+001, 2.0001643E+001, 2.0000222E+001, 2.0512607E+001, 2.0004462E+001, 2.0003440E+001, 2.0004061E+001, 2.0003016E+001, 2.0003356E+001, 2.0003274E+001, 2.0003075E+001, 1.9999875E+001, 1.9999562E+001, 2.0000700E+001, 2.0000028E+001, 2.0001777E+001, 2.0001537E+001, 2.0000325E+001, 2.0001661E+001, 1.0633397E+002, 1.0933642E-002, 1.0933642E-002, 1.9999416E+001, 1.4404300E-035, 1.4404300E-035, 2.0000826E+001, 3.4700584E-013, 3.4700584E-013, 1.9999336E+001, 4.7697056E-058, 4.7697056E-058, 2.0027256E+001, 5.0508895E-007, 5.0508895E-007
 5.5014931E+001, 1.2030041E+002, 2.0000000E+001, 3.6636613E+002, 1.3183938E+002, 1.2098183E+002, 1.1067713E+002, 8.7497718E+001, 6.5951005E+001, 5.2534028E+001, 4.4306800E+001, 1.9999822E+001, 2.0000330E+001, 2.0000888E+001, 1.9999817E+001, 2.0000117E+001, 2.0000639E+001, 2.0002449E+001, 2.0000857E+001, 2.1259924E+001, 2.0012555E+001, 2.0004212E+001, 2.0005066E+001, 2.0004346E+001, 2.0004563E+001, 2.0004864E+001, 2.0004160E+001, 1.9999854E+001, 1.9999858E+001, 2.0000981E+001, 2.0000370E+001, 2.0002519E+001, 2.0002816E+001, 2.0001334E+001, 2.0002584E+001, 1.1446758E+002, 1.2587164E-002, 1.2587164E-002, 1.9999654E+001, 1.7736747E-023, 1.7736747E-023, 2.0001352E+001, 2.2806625E-012, 2.2806625E-012, 1.9999447E+001, 3.8354166E-029, 3.8354166E-029, 2.0052852E+001, 3.9430680E-007, 3.9430680E-007
 6.0022690E+001, 1.4094213E+002, 2.0000000E+001, 3.9509830E+002, 1.4119181E+002, 1.2777388E+002, 1.1851537E+002, 9.6154207E+001, 7.7544903E+001, 6.2868455E+001, 5.2728535E+001, 1.9999926E+001, 2.0000470E+001, 2.0001302E+001, 2.0000497E+001, 2.0000933E+001, 2.0001457E+001, 2.0003028E+001, 2.0001586E+001, 2.1556325E+001, 1.9997835E+001, 2.0004627E+001, 2.0006419E+001, 2.0006500E+001, 2.0005987E+001, 2.0006572E+001, 2.0005645E+001, 2.0000173E+001, 2.0000506E+001, 2.0001418E+001, 2.0001345E+001, 2.0003490E+001, 2.0004332E+001, 2.0003146E+001, 2.0003740E+001, 1.2060367E+002, 1.4910013E-002, 1.4910013E-002, 2.0000049E+001, 7.0913152E-018, 7.0913152E-018, 2.0001824E+001, 1.2396909E-011, 1.2396909E-011, 1.9999505E+001, 1.1281141E-015, 1.1281141E-015, 2.0070711E+001, 3.6092062E-007, 3.6092062E-007
 6.5007263E+001, 1.6185795E+002, 2.0000024E+001, 3.9472566E+002, 1.4367424E+002, 1.3178057E+002, 1.1892795E+002, 9.6271764E+001, 7.5785952E+001, 6.1319391E+001, 4.9559094E+001, 2.0025754E+001, 2.0001310E+001, 2.0002273E+001, 2.0002042E+001, 2.0002344E+001, 2.0002778E+001, 2.0003677E+001, 2.0002533E+001, 2.2329884E+001, 1.9991547E+001, 2.0005928E+001, 2.0008344E+001, 2.0009454E+001, 2.0008142E+001, 2.0008323E+001, 2.0007850E+001, 2.1240536E+001, 2.0018748E+001, 2.0003465E+001, 2.0003882E+001, 2.0005612E+001, 2.0006786E+001, 2.0005968E+001, 2.0005924E+001, 1.2083241E+002, 1.6452883E-002, 1.6452883E-002, 2.0000799E+001, 7.5326235E-014, 7.5326235E-014, 2.0002487E+001, 1.0216833E-011, 1.0216833E-011, 2.0000401E+001, 6.6184895E-011, 6.6184895E-011, 2.0544761E+001, 2.5715286E-005, 2.5715286E-005
 7.0001541E+001, 1.8071058E+002, 2.0036638E+001, 4.0649326E+002, 1.4889709E+002, 1.3515957E+002, 1.2566408E+002, 1.0272464E+002, 8.2355202E+001, 6.5712501E+001, 5.3679594E+001, 2.2607938E+001, 2.0029862E+001, 2.0004807E+001, 2.0004574E+001, 2.0004640E+001, 2.0004895E+001, 2.0005182E+001, 2.0004120E+001, 2.3278712E+001, 1.9989527E+001, 2.0006963E+001, 2.0009934E+001, 2.0011256E+001, 2.0010847E+001, 2.0010237E+001, 2.0010582E+001, 2.3933045E+001, 2.0028867E+001, 2.0006955E+001, 2.0006731E+001, 2.0008525E+001, 2.0009499E+001, 2.0008370E+001, 2.0008017E+001, 1.2773985E+002, 1.8377954E-002, 1.8377954E-002, 2.0001796E+001, 2.3025377E-010, 2.3025377E-010, 2.0003058E+001, 1.9117525E-012, 1.9117525E-012, 2.0001419E+001, 2.7882142E-010, 2.7882142E-010, 2.0767731E+001, 3.4732080E-005, 3.4732080E-005
 7.5007072E+001, 1.9912872E+002, 2.0129181E+001, 4.2599235E+002, 1.5183491E+002, 1.3636444E+002, 1.2404707E+002, 1.0112226E+002, 8.2747660E+001, 6.7364001E+001, 5.4844836E+001, 2.3878927E+001, 1.9963908E+001, 2.0006663E+001, 2.0006679E+001, 2.0006900E+001, 2.0006849E+001, 2.0007214E+001, 2.0005688E+001, 2.3399933E+001, 2.0013552E+001, 2.0005421E+001, 2.0011465E+001, 2.0012344E+001, 2.0012374E+001, 2.0013639E+001, 2.0013821E+001, 2.5548897E+001, 1.9933872E+001, 2.0009771E+001, 2.0009837E+001, 2.0011601E+001, 2.0011965E+001, 2.0010341E+001, 2.0010432E+001, 1.2855614E+002, 1.9491038E-002, 1.9491038E-002, 2.0002041E+001, 1.2440576E-010, 1.2440576E-010, 2.0004150E+001, 2.7044085E-010, 2.7044085E-010, 2.0002081E+001, 7.1441969E-011, 7.1441969E-011, 2.1141801E+001, 5.6299929E-005, 5.6299929E-005
 8.0016945E+001, 2.1821526E+002, 2.0296672E+001, 4.5461762E+002, 1.5753501E+002, 1.4040807E+002, 1.2972051E+002, 1.0571205E+002, 8.5533389E+001, 7.0085268E+001, 5.8392983E+001, 2.6324228E+001, 1.9960879E+001, 2.0009607E+001, 2.0009779E+001, 2.0009586E+001, 2.0009084E+001, 2.0009710E+001, 2.0007450E+001, 2.3556232E+001, 2.0038813E+001, 2.0015272E+001, 2.0014071E+001, 2.0013871E+001, 2.0013716E+001, 2.0014134E+001, 2.0017853E+001, 2.8534876E+001, 1.9823766E+001, 2.0007297E+001, 2.0013607E+001, 2.0014772E+001, 2.0014169E+001, 2.0012641E+001, 2.0013092E+001, 1.3200935E+002, 2.1269198E-002, 2.1269198E-002, 2.0002650E+001, 1.8383550E-010, 1.8383550E-010, 2.0006522E+001, 3.7164052E-008, 3.7164052E-008, 2.0003450E+001, 3.8238945E-011, 3.8238945E-011, 2.4667292E+001, 2.8210854E-004, 2.8210854E-004
 8.5012726E+001, 2.3842605E+002, 2.0594338E+001, 4.6969685E+002, 1.6298066E+002, 1.4701234E+002, 1.2969021E+002, 1.0450474E+002, 8.5558601E+001, 7.1007036E+001, 5.6258444E+001, 2.8396851E+001, 2.0378469E+001, 2.0017696E+001, 2.0013865E+001, 2.0013076E+001, 2.0011903E+001, 2.0011887E+001, 2.0009369E+001, 2.4802656E+001, 2.0074150E+001, 2.0029692E+001, 2.0020116E+001, 2.0015873E+001, 2.0014376E+001, 2.0016585E+001, 2.0023114E+001, 2.9518793E+001, 1.9793675E+001, 2.0010601E+001, 2.0018053E+001, 2.0018364E+001, 2.0017078E+001, 2.0016253E+001, 2.0016047E+001, 1.3603370E+002, 2.1847197E-002, 2.1847197E-002, 2.0004153E+001, 6.5309410E-009, 6.5309410E-009, 2.0014310E+001, 3.6583948E-007, 3.6583948E-007, 2.0005535E+001, 3.3716422E-010, 3.3716422E-010, 2.5342091E+001, 3.6483401E-004, 3.6483401E-004
 9.0010994E+001, 2.5922577E+002, 2.0906506E+001, 4.9289488E+002, 1.7178280E+002, 1.5932862E+002, 1.4940518E+002, 1.2730670E+002, 1.0305387E+002, 8.2985981E+001, 6.6639580E+001, 2.8975103E+001, 1.9954021E+001, 2.0020076E+001, 2.0018556E+001, 2.0017998E+001, 2.0016167E+001, 2.0014436E+001, 2.0012270E+001, 2.4507986E+001, 2.0378747E+001, 2.0104808E+001, 2.0031741E+001, 2.0022773E+001, 2.0018834E+001, 2.0021162E+001, 2.0027725E+001, 3.0626618E+001, 2.0648156E+001, 2.0103296E+001, 2.0026851E+001, 2.0023167E+001, 2.0022036E+001, 2.0021319E+001, 2.0020418E+001, 1.4909596E+002, 2.3914780E-002, 2.3914780E-002, 2.0005043E+001, 1.5744875E-008, 1.5744875E-008, 2.0039403E+001, 1.5811811E-006, 1.5811811E-006, 2.0028926E+001, 3.5883620E-006, 3.5883620E-006, 2.6955236E+001, 5.2743149E-004, 5.2743149E-004
 9.5002846E+001, 2.7991179E+002, 2.1218838E+001, 5.0415086E+002, 1.7050803E+002, 1.5307222E+002, 1.3716290E+002, 1.1236309E+002, 9.1903058E+001, 7.6922537E+001, 6.5356978E+001, 2.9726334E+001, 2.1673530E+001, 2.0652012E+001, 2.0072345E+001, 2.0025010E+001, 2.0022278E+001, 2.0019491E+001, 2.0017018E+001, 2.8403574E+001, 2.1119696E+001, 2.0465508E+001, 2.0111132E+001, 2.0046319E+001, 2.0026775E+001, 2.0025398E+001, 2.0032837E+001, 3.1839940E+001, 2.3190190E+001, 2.2823200E+001, 2.1780845E+001, 2.0697681E+001, 2.0094489E+001, 2.0029881E+001, 2.0026635E+001, 1.4203157E+002, 2.5066307E-002, 2.5066307E-002, 2.0223702E+001, 1.8926652E-005, 1.8926652E-005, 2.0225589E+001, 1.1858716E-005, 1.1858716E-005, 2.2347826E+001, 2.4746570E-004, 2.4746570E-004, 2.6300696E+001, 4.8643580E-004, 4.8643580E-004
 1.0001824E+002, 3.0147148E+002, 2.1661685E+001, 5.2866139E+002, 1.7445996E+002, 1.5681007E+002, 1.4363793E+002, 1.1764104E+002, 9.7757236E+001, 8.0240883E+001, 6.6768808E+001, 3.3097377E+001, 2.3405174E+001, 2.2451281E+001, 2.1043478E+001, 2.0368037E+001, 2.0051003E+001, 2.0027902E+001, 2.0023461E+001, 2.9444217E+001, 2.1488864E+001, 2.0760719E+001, 2.0200330E+001, 2.0066682E+001, 2.0035993E+001, 2.0030931E+001, 2.0037513E+001, 3.3077527E+001, 2.4495934E+001, 2.3329311E+001, 2.2008021E+001, 2.2400017E+001, 2.0599981E+001, 2.0053196E+001, 2.0033545E+001, 1.4649265E+002, 2.6826600E-002, 2.6826600E-002, 2.1575898E+001, 1.4663479E-004, 1.4663479E-004, 2.0432111E+001, 2.4922884E-005, 2.4922884E-005, 2.2602569E+001, 2.8704678E-004, 2.8704678E-004, 2.9373727E+001, 8.6385711E-004, 8.6385711E-004
 1.0501009E+002, 3.2217414E+002, 2.2082076E+001, 5.3211545E+002, 1.7695743E+002, 1.6046402E+002, 1.5061500E+002, 1.2529219E+002, 1.0282066E+002, 8.5367767E+001, 6.8875874E+001, 3.1442606E+001, 2.4133584E+001, 2.2251115E+001, 2.1507928E+001, 2.1227174E+001, 2.0148106E+001, 2.0038209E+001, 2.0030745E+001, 3.1852208E+001, 2.1647516E+001, 2.0667903E+001, 2.0255906E+001, 2.0069060E+001, 2.0045483E+001, 2.0037395E+001, 2.0042074E+001, 3.4548618E+001, 2.4353266E+001, 2.2558156E+001, 2.1698445E+001, 2.0771114E+001, 2.0172921E+001, 2.0048063E+001, 2.0041072E+001, 1.4966673E+002, 2.8494941E-002, 2.8494941E-002, 2.1760610E+001, 1.7544332E-004, 1.7544332E-004, 2.0524513E+001, 3.2220274E-005, 3.2220274E-005, 2.1843919E+001, 1.9321360E-004, 1.9321360E-004, 3.0839666E+001, 1.0721648E-003, 1.0721648E-003
 1.1001795E+002, 3.4226493E+002, 2.2439211E+001, 5.3367380E+002, 1.7854197E+002, 1.6368215E+002, 1.5461281E+002, 1.2567031E+002, 1.0600041E+002, 8.6752884E+001, 6.8413924E+001, 3.2494834E+001, 2.3965355E+001, 2.2303318E+001, 2.1499083E+001, 2.0689433E+001, 2.0068460E+001, 2.0043343E+001, 2.0037600E+001, 3.1108511E+001, 2.3346071E+001, 2.1482932E+001, 2.0571634E+001, 2.0088222E+001, 2.0056155E+001, 2.0045429E+001, 2.0048064E+001, 3.5896315E+001, 2.5264293E+001, 2.2220747E+001, 2.0967217E+001, 2.0107697E+001, 2.0039773E+001, 2.0059559E+001, 2.0047276E+001, 1.5699878E+002, 2.9177922E-002, 2.9177922E-002, 2.1820907E+001, 1.8067698E-004, 1.8067698E-004, 2.0980441E+001, 7.2118222E-005, 7.2118222E-005, 2.1266378E+001, 1.2487279E-004, 1.2487279E-004, 3.3665853E+001, 1.5698790E-003, 1.5698790E-003
 1.1501807E+002, 3.5908826E+002, 2.2914132E+001, 5.2321083E+002, 1.8376465E+002, 1.7353426E+002, 1.7021509E+002, 1.3764973E+002, 1.1250750E+002, 8.9131406E+001, 6.9406949E+001, 3.6681155E+001, 2.5363734E+001, 2.3237154E+001, 2.1172133E+001, 2.0234197E+001, 2.0049021E+001, 2.0049053E+001, 2.0042278E+001, 3.2470078E+001, 2.4689018E+001, 2.2104691E+001, 2.1018249E+001, 2.0153109E+001, 2.0066639E+001, 2.0053957E+001, 2.0055045E+001, 3.7753463E+001, 2.7061174E+001, 2.5969559E+001, 2.3253218E+001, 2.0973037E+001, 2.0113023E+001, 2.0066579E+001, 2.0055978E+001, 1.6572144E+002, 3.0369666E-002, 3.0369666E-002, 2.1908869E+001, 2.0190095E-004, 2.0190095E-004, 2.1543738E+001, 1.2569463E-004, 1.2569463E-004, 2.4662210E+001, 5.7741212E-004, 5.7741212E-004, 3.5698598E+001, 1.9704044E-003, 1.9704044E-003
