 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.43671E+02
 0.10000E+00, 0.44797E+02
 0.20000E+00, 0.46028E+02
 0.30000E+00, 0.46664E+02
 0.40000E+00, 0.48102E+02
 0.50000E+00, 0.50714E+02
 0.60000E+00, 0.54628E+02
 0.70000E+00, 0.59573E+02
 0.80000E+00, 0.65588E+02
 0.90000E+00, 0.74965E+02
 0.10000E+01, 0.92760E+02
 0.11000E+01, 0.12033E+03
 0.12000E+01, 0.15754E+03
 0.13000E+01, 0.21582E+03
 0.14000E+01, 0.29419E+03
 0.15000E+01, 0.37422E+03
 0.16000E+01, 0.44601E+03
 0.17000E+01, 0.49130E+03
 0.18000E+01, 0.50468E+03
 0.19000E+01, 0.50573E+03
 0.20000E+01, 0.50576E+03
 0.21000E+01, 0.50662E+03
 0.22000E+01, 0.50787E+03
 0.23000E+01, 0.50963E+03
 0.24000E+01, 0.51241E+03
 0.25000E+01, 0.51611E+03
 0.26000E+01, 0.52213E+03
 0.27000E+01, 0.54676E+03
 0.28000E+01, 0.56741E+03
