s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"removeobst_0","removeobst_0b","addhole_0","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0138049E+000, 2.8927457E+000, 2.8927457E+000, 2.8927457E+000, 3.0461172E+001, 2.0888690E+001, 2.1073356E+001, 2.1370205E+001, 2.1728467E+001, 2.2160528E+001, 2.1922847E+001, 2.0767861E+001, 2.0001814E+001, 2.0001790E+001, 2.0002472E+001, 2.0002296E+001, 2.0002198E+001, 2.0001934E+001, 2.0001428E+001, 2.0001310E+001
 1.0006804E+001, 7.5371859E+000, 7.5371859E+000, 7.5371859E+000, 5.0889699E+001, 2.3843702E+001, 2.1413895E+001, 2.1632850E+001, 2.2109385E+001, 2.2519422E+001, 2.2194146E+001, 2.0884967E+001, 2.0003722E+001, 2.0003848E+001, 2.0005227E+001, 2.0005150E+001, 2.0004882E+001, 2.0004126E+001, 2.0003368E+001, 2.0002867E+001
 1.5014542E+001, 1.2538204E+001, 1.2538204E+001, 1.2538204E+001, 5.8125366E+001, 3.9849701E+001, 3.2551777E+001, 2.2523160E+001, 2.2527383E+001, 2.2939342E+001, 2.2559026E+001, 2.1002859E+001, 2.0204933E+001, 2.0006166E+001, 2.0007870E+001, 2.0008134E+001, 2.0007103E+001, 2.0006125E+001, 2.0005288E+001, 2.0004440E+001
 2.0016933E+001, 1.7525849E+001, 1.7525849E+001, 1.7525849E+001, 7.0942689E+001, 5.0288391E+001, 3.6200165E+001, 2.2773069E+001, 2.2470364E+001, 2.3055507E+001, 2.2687827E+001, 2.1052243E+001, 3.2187787E+001, 2.0368664E+001, 2.0013766E+001, 2.0012623E+001, 2.0010966E+001, 2.0009077E+001, 2.0008370E+001, 2.0006883E+001
 2.5000395E+001, 2.2505871E+001, 2.2505871E+001, 2.2505871E+001, 7.5478099E+001, 5.6767644E+001, 3.9366973E+001, 2.2680994E+001, 2.2253919E+001, 2.2742478E+001, 2.2421281E+001, 2.0997572E+001, 3.6583121E+001, 2.2744323E+001, 2.0928378E+001, 2.0138748E+001, 2.0016840E+001, 2.0014337E+001, 2.0013002E+001, 2.0010476E+001
 3.0011505E+001, 2.7557203E+001, 2.7557203E+001, 2.7557203E+001, 7.7759454E+001, 6.1062004E+001, 3.8364850E+001, 2.2457343E+001, 2.2375347E+001, 2.2764778E+001, 2.2137246E+001, 2.0876514E+001, 3.8239723E+001, 2.9339126E+001, 2.6442798E+001, 2.3435867E+001, 2.0091790E+001, 2.0020586E+001, 2.0017819E+001, 2.0014579E+001
 3.5005108E+001, 3.2533143E+001, 3.2533143E+001, 3.2533143E+001, 9.2527791E+001, 6.6861900E+001, 3.7559492E+001, 2.2924898E+001, 2.2896949E+001, 2.3130116E+001, 2.2561203E+001, 2.1176445E+001, 3.9994225E+001, 3.3460589E+001, 2.3120187E+001, 2.0051197E+001, 2.0034250E+001, 2.0027366E+001, 2.0023950E+001, 2.0020864E+001
 4.0007267E+001, 3.7581525E+001, 3.7581525E+001, 3.7581525E+001, 9.8276100E+001, 7.3526988E+001, 3.9518894E+001, 2.3854047E+001, 2.3271115E+001, 2.3575194E+001, 2.2879072E+001, 2.1341617E+001, 4.4652187E+001, 3.5903285E+001, 3.1298071E+001, 2.0732425E+001, 2.0062416E+001, 2.0036556E+001, 2.0030469E+001, 2.0025007E+001
