s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"removeobst_0","removeobst_0b","addhole_0","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_A8","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_B8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0155559E+000, 2.8649654E+000, 2.8649654E+000, 2.8649654E+000, 3.0814046E+001, 2.0888629E+001, 2.1090334E+001, 2.1345377E+001, 2.1805308E+001, 2.2294015E+001, 2.1978409E+001, 2.0770886E+001, 2.0003048E+001, 2.0003644E+001, 2.0003812E+001, 2.0003696E+001, 2.0003806E+001, 2.0003485E+001, 2.0003137E+001, 2.0002353E+001
 1.0015191E+001, 7.5729904E+000, 7.5729904E+000, 7.5729904E+000, 5.0251109E+001, 2.3608150E+001, 2.1457102E+001, 2.1591929E+001, 2.2067526E+001, 2.2517335E+001, 2.2207225E+001, 2.0880679E+001, 2.0006148E+001, 2.0007376E+001, 2.0008065E+001, 2.0007851E+001, 2.0008134E+001, 2.0007397E+001, 2.0006653E+001, 2.0005219E+001
 1.5018447E+001, 1.2569335E+001, 1.2569335E+001, 1.2569335E+001, 6.0883586E+001, 4.5213906E+001, 3.5341799E+001, 2.9778283E+001, 2.2986110E+001, 2.2679248E+001, 2.2408241E+001, 2.0998878E+001, 2.2742819E+001, 2.0074153E+001, 2.0011538E+001, 2.0011894E+001, 2.0011008E+001, 2.0010522E+001, 2.0009120E+001, 2.0006976E+001
 2.0004274E+001, 1.7495372E+001, 1.7495372E+001, 1.7495372E+001, 7.1995653E+001, 5.7131500E+001, 4.3895872E+001, 2.5407703E+001, 2.2778406E+001, 2.2903725E+001, 2.2560222E+001, 2.1080856E+001, 3.7150196E+001, 2.1044752E+001, 2.0027807E+001, 2.0019113E+001, 2.0016645E+001, 2.0015740E+001, 2.0013022E+001, 2.0009976E+001
 2.5012854E+001, 2.2518545E+001, 2.2518545E+001, 2.2518545E+001, 8.1935212E+001, 6.7235625E+001, 5.4058696E+001, 2.9510203E+001, 2.2656088E+001, 2.2610250E+001, 2.2257046E+001, 2.1036104E+001, 4.3421765E+001, 2.8643619E+001, 2.5812875E+001, 2.3951405E+001, 2.0603237E+001, 2.0028337E+001, 2.0022730E+001, 2.0018604E+001
 3.0015762E+001, 2.7599935E+001, 2.7599935E+001, 2.7599935E+001, 9.3090857E+001, 7.0865124E+001, 5.4911926E+001, 3.4003256E+001, 2.3540714E+001, 2.3071296E+001, 2.2627140E+001, 2.1129332E+001, 4.7008427E+001, 3.5434434E+001, 3.1997760E+001, 2.3453999E+001, 2.0444890E+001, 2.0050248E+001, 2.0033768E+001, 2.0026527E+001
 3.5011047E+001, 3.2530757E+001, 3.2530757E+001, 3.2530757E+001, 1.0992475E+002, 7.9838143E+001, 6.3499128E+001, 4.2306481E+001, 2.4168777E+001, 2.3364048E+001, 2.2556363E+001, 2.1190869E+001, 5.4797518E+001, 3.9707888E+001, 3.8585304E+001, 2.8273234E+001, 2.0632453E+001, 2.0091035E+001, 2.0051228E+001, 2.0041699E+001
 4.0007450E+001, 3.7611349E+001, 3.7611349E+001, 3.7611349E+001, 1.2180088E+002, 8.7848229E+001, 7.0762215E+001, 4.3961139E+001, 3.0179517E+001, 2.4678181E+001, 2.4396027E+001, 2.1567438E+001, 6.0979715E+001, 4.3687319E+001, 4.0486276E+001, 3.4237174E+001, 2.3900729E+001, 2.0242882E+001, 2.0060554E+001, 2.0049308E+001
