 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.34801E+02
 0.10000E+00, 0.35111E+02
 0.20000E+00, 0.35652E+02
 0.30000E+00, 0.36133E+02
 0.40000E+00, 0.36801E+02
 0.50000E+00, 0.38293E+02
 0.60000E+00, 0.40824E+02
 0.70000E+00, 0.44138E+02
 0.80000E+00, 0.48858E+02
 0.90000E+00, 0.54172E+02
 0.10000E+01, 0.61473E+02
 0.11000E+01, 0.76559E+02
 0.12000E+01, 0.10238E+03
 0.13000E+01, 0.14380E+03
 0.14000E+01, 0.20597E+03
 0.15000E+01, 0.27460E+03
 0.16000E+01, 0.32877E+03
 0.17000E+01, 0.36176E+03
 0.18000E+01, 0.37686E+03
 0.19000E+01, 0.38162E+03
 0.20000E+01, 0.38322E+03
 0.21000E+01, 0.38455E+03
 0.22000E+01, 0.38555E+03
 0.23000E+01, 0.38644E+03
 0.24000E+01, 0.38718E+03
 0.25000E+01, 0.38791E+03
 0.26000E+01, 0.39125E+03
 0.27000E+01, 0.40734E+03
 0.28000E+01, 0.42051E+03
