 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.34281E+02
 0.10000E+00, 0.34630E+02
 0.20000E+00, 0.35090E+02
 0.30000E+00, 0.35285E+02
 0.40000E+00, 0.35411E+02
 0.50000E+00, 0.35758E+02
 0.60000E+00, 0.36505E+02
 0.70000E+00, 0.37877E+02
 0.80000E+00, 0.41000E+02
 0.90000E+00, 0.46198E+02
 0.10000E+01, 0.51970E+02
 0.11000E+01, 0.65903E+02
 0.12000E+01, 0.98288E+02
 0.13000E+01, 0.14629E+03
 0.14000E+01, 0.20800E+03
 0.15000E+01, 0.27542E+03
 0.16000E+01, 0.33090E+03
 0.17000E+01, 0.36623E+03
 0.18000E+01, 0.38345E+03
 0.19000E+01, 0.38949E+03
 0.20000E+01, 0.39041E+03
 0.21000E+01, 0.39058E+03
 0.22000E+01, 0.39093E+03
 0.23000E+01, 0.39060E+03
 0.24000E+01, 0.39056E+03
 0.25000E+01, 0.39211E+03
 0.26000E+01, 0.39647E+03
 0.27000E+01, 0.41562E+03
 0.28000E+01, 0.43177E+03
