s,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC1 (2.8 m)","TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0013227E+000, 2.0238637E+001, 2.0000068E+001, 2.0254223E+001, 2.0254357E+001, 2.0474065E+001, 2.0499442E+001, 2.0525545E+001, 2.0000756E+001, 2.1705201E+001, 2.0788892E+001, 2.1018611E+001
 1.0007190E+001, 5.1440818E+001, 2.0000117E+001, 3.8614362E+001, 2.9695462E+001, 2.5042283E+001, 2.4980562E+001, 2.2671420E+001, 2.0083123E+001, 2.4055773E+001, 2.2123134E+001, 2.2800803E+001
 1.5003001E+001, 8.3976140E+001, 2.0000134E+001, 6.8118123E+001, 6.3917994E+001, 6.2626513E+001, 5.3551895E+001, 4.8442234E+001, 2.8307353E+001, 2.6366047E+001, 2.3916997E+001, 2.5120775E+001
 2.0003178E+001, 1.3054671E+002, 2.0000137E+001, 1.0643699E+002, 1.0710159E+002, 1.0599075E+002, 6.1712332E+001, 2.7113839E+001, 2.0188247E+001, 2.8043062E+001, 2.5475624E+001, 2.6398412E+001
 2.5008333E+001, 1.7374042E+002, 2.0000130E+001, 1.5293662E+002, 1.5116443E+002, 1.4272317E+002, 1.1322539E+002, 4.3421704E+001, 2.4495181E+001, 3.0273327E+001, 2.7618074E+001, 2.8300486E+001
 3.0005123E+001, 2.2067848E+002, 2.0000119E+001, 2.0163095E+002, 1.9437438E+002, 1.8494328E+002, 1.3785738E+002, 6.9921602E+001, 2.9653568E+001, 3.6474276E+001, 3.1955837E+001, 3.0750031E+001
 3.5009460E+001, 2.8516613E+002, 2.0000097E+001, 2.4993353E+002, 2.4744935E+002, 2.3851649E+002, 2.1681945E+002, 8.3205406E+001, 3.1196292E+001, 4.1607034E+001, 3.5639344E+001, 3.6385421E+001
 4.0009113E+001, 3.5746711E+002, 2.0000085E+001, 2.9473145E+002, 2.8644816E+002, 2.7734916E+002, 2.1253861E+002, 1.0069178E+002, 3.2922359E+001, 4.6390392E+001, 3.7503010E+001, 3.8760563E+001
 4.5007160E+001, 4.3572122E+002, 2.0000048E+001, 3.5536969E+002, 3.4364331E+002, 3.1201860E+002, 2.5692087E+002, 1.1420273E+002, 3.5363435E+001, 5.0368600E+001, 4.2728453E+001, 4.1221342E+001
 5.0001057E+001, 4.3331806E+002, 2.0000002E+001, 3.8146271E+002, 3.7148807E+002, 3.3451637E+002, 2.7975237E+002, 1.3604952E+002, 3.8212423E+001, 5.6696056E+001, 4.8184977E+001, 4.5870372E+001
 5.5007637E+001, 4.7064047E+002, 1.9999964E+001, 4.0839678E+002, 4.0374659E+002, 3.8883678E+002, 3.1635522E+002, 1.6796168E+002, 4.3745283E+001, 6.0123595E+001, 4.7426124E+001, 4.7222323E+001
 6.0009270E+001, 4.9973145E+002, 1.9999929E+001, 4.2927685E+002, 4.1957553E+002, 4.0202963E+002, 3.1794017E+002, 1.7265567E+002, 5.2027723E+001, 5.9689487E+001, 5.1420020E+001, 5.0723457E+001
