 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.62554E+02
 0.10000E+00, 0.61521E+02
 0.20000E+00, 0.61084E+02
 0.30000E+00, 0.63185E+02
 0.40000E+00, 0.66640E+02
 0.50000E+00, 0.70927E+02
 0.60000E+00, 0.75296E+02
 0.70000E+00, 0.81839E+02
 0.80000E+00, 0.91840E+02
 0.90000E+00, 0.10417E+03
 0.10000E+01, 0.12113E+03
 0.11000E+01, 0.15168E+03
 0.12000E+01, 0.19951E+03
 0.13000E+01, 0.26046E+03
 0.14000E+01, 0.33473E+03
 0.15000E+01, 0.42296E+03
 0.16000E+01, 0.51738E+03
 0.17000E+01, 0.60084E+03
 0.18000E+01, 0.66526E+03
 0.19000E+01, 0.70243E+03
 0.20000E+01, 0.71612E+03
 0.21000E+01, 0.72648E+03
 0.22000E+01, 0.73865E+03
 0.23000E+01, 0.75391E+03
 0.24000E+01, 0.76752E+03
 0.25000E+01, 0.77467E+03
 0.26000E+01, 0.79249E+03
 0.27000E+01, 0.85730E+03
 0.28000E+01, 0.90687E+03
