s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0941535E-005, 0.0000000E+000, 0.0000000E+000
 5.0173025E+000, 1.3585105E+002, 4.8021411E+001, 7.3809416E+001, 4.9557460E+001, 2.8583094E-003
 1.0002706E+001, 3.0708689E+002, 1.1491098E+002, 1.5193310E+002, 1.4222425E+002, 6.5822971E-003
 1.5011063E+001, 5.0829140E+002, 2.0346115E+002, 2.2497298E+002, 2.6397630E+002, 1.0912562E-002
 2.0005535E+001, 7.0932229E+002, 3.0473680E+002, 2.8065667E+002, 4.0033272E+002, 1.5215518E-002
 2.5006786E+001, 9.0736619E+002, 4.1142278E+002, 3.2756961E+002, 5.3982763E+002, 1.9494880E-002
 3.0007183E+001, 1.1121195E+003, 5.3148392E+002, 3.6395912E+002, 6.9584842E+002, 2.3820767E-002
 3.5007660E+001, 1.3092444E+003, 6.7198699E+002, 3.6880694E+002, 8.7574388E+002, 2.7849742E-002
 4.0001907E+001, 1.3917140E+003, 7.3067235E+002, 3.6851673E+002, 9.5920465E+002, 2.9180240E-002
 4.5007442E+001, 1.4102802E+003, 7.7237254E+002, 3.3791444E+002, 1.0111409E+003, 2.9853815E-002
 5.0001049E+001, 1.4452700E+003, 8.2605349E+002, 3.0202671E+002, 1.0826359E+003, 3.0535595E-002
 5.5001659E+001, 1.4889496E+003, 8.6563780E+002, 2.9334499E+002, 1.1317766E+003, 3.1212130E-002
 6.0004147E+001, 1.5023500E+003, 8.9196236E+002, 2.7913092E+002, 1.1696196E+003, 3.1888434E-002
 6.5004074E+001, 1.5427738E+003, 9.4026118E+002, 2.5281301E+002, 1.2242303E+003, 3.2569354E-002
 7.0001053E+001, 1.5777473E+003, 9.7798615E+002, 2.4494148E+002, 1.2730282E+003, 3.3241518E-002
 7.5001892E+001, 1.6121805E+003, 1.0070666E+003, 2.4354912E+002, 1.3076998E+003, 3.3918940E-002
 8.0002815E+001, 1.6395509E+003, 1.0394776E+003, 2.3225434E+002, 1.3435605E+003, 3.4596600E-002
 8.5000771E+001, 1.6695601E+003, 1.0663650E+003, 2.3070151E+002, 1.3799635E+003, 3.5276821E-002
 9.0008392E+001, 1.7052875E+003, 1.0980940E+003, 2.3540753E+002, 1.4129295E+003, 3.5951496E-002
 9.5002876E+001, 1.7243538E+003, 1.1292554E+003, 2.1286763E+002, 1.4390722E+003, 3.6632270E-002
