 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.62227E+02
 0.10000E+00, 0.61713E+02
 0.20000E+00, 0.61772E+02
 0.30000E+00, 0.62839E+02
 0.40000E+00, 0.64543E+02
 0.50000E+00, 0.67866E+02
 0.60000E+00, 0.72425E+02
 0.70000E+00, 0.77362E+02
 0.80000E+00, 0.86117E+02
 0.90000E+00, 0.10035E+03
 0.10000E+01, 0.12203E+03
 0.11000E+01, 0.16429E+03
 0.12000E+01, 0.21604E+03
 0.13000E+01, 0.27179E+03
 0.14000E+01, 0.35302E+03
 0.15000E+01, 0.44710E+03
 0.16000E+01, 0.52761E+03
 0.17000E+01, 0.59772E+03
 0.18000E+01, 0.65012E+03
 0.19000E+01, 0.67448E+03
 0.20000E+01, 0.68735E+03
 0.21000E+01, 0.69719E+03
 0.22000E+01, 0.70710E+03
 0.23000E+01, 0.71887E+03
 0.24000E+01, 0.72716E+03
 0.25000E+01, 0.73405E+03
 0.26000E+01, 0.75547E+03
 0.27000E+01, 0.82277E+03
 0.28000E+01, 0.87301E+03
