 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.47702E+02
 0.10000E+00, 0.47797E+02
 0.20000E+00, 0.48023E+02
 0.30000E+00, 0.48640E+02
 0.40000E+00, 0.49926E+02
 0.50000E+00, 0.51465E+02
 0.60000E+00, 0.54423E+02
 0.70000E+00, 0.59589E+02
 0.80000E+00, 0.65857E+02
 0.90000E+00, 0.75006E+02
 0.10000E+01, 0.92461E+02
 0.11000E+01, 0.12452E+03
 0.12000E+01, 0.16580E+03
 0.13000E+01, 0.21463E+03
 0.14000E+01, 0.28589E+03
 0.15000E+01, 0.37041E+03
 0.16000E+01, 0.43782E+03
 0.17000E+01, 0.47536E+03
 0.18000E+01, 0.49406E+03
 0.19000E+01, 0.50579E+03
 0.20000E+01, 0.51146E+03
 0.21000E+01, 0.51310E+03
 0.22000E+01, 0.51431E+03
 0.23000E+01, 0.51612E+03
 0.24000E+01, 0.51790E+03
 0.25000E+01, 0.51828E+03
 0.26000E+01, 0.52222E+03
 0.27000E+01, 0.55107E+03
 0.28000E+01, 0.57553E+03
