 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.46816E+02
 0.10000E+00, 0.47111E+02
 0.20000E+00, 0.47908E+02
 0.30000E+00, 0.48650E+02
 0.40000E+00, 0.49297E+02
 0.50000E+00, 0.50590E+02
 0.60000E+00, 0.52909E+02
 0.70000E+00, 0.56776E+02
 0.80000E+00, 0.63306E+02
 0.90000E+00, 0.72825E+02
 0.10000E+01, 0.86492E+02
 0.11000E+01, 0.11767E+03
 0.12000E+01, 0.18488E+03
 0.13000E+01, 0.26990E+03
 0.14000E+01, 0.35957E+03
 0.15000E+01, 0.44067E+03
 0.16000E+01, 0.49703E+03
 0.17000E+01, 0.54172E+03
 0.18000E+01, 0.57235E+03
 0.19000E+01, 0.59066E+03
 0.20000E+01, 0.60621E+03
 0.21000E+01, 0.61844E+03
 0.22000E+01, 0.62701E+03
 0.23000E+01, 0.63312E+03
 0.24000E+01, 0.63727E+03
 0.25000E+01, 0.64004E+03
 0.26000E+01, 0.64668E+03
 0.27000E+01, 0.68567E+03
 0.28000E+01, 0.71898E+03
