 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.45474E+02
 0.10000E+00, 0.45591E+02
 0.20000E+00, 0.46716E+02
 0.30000E+00, 0.47978E+02
 0.40000E+00, 0.49021E+02
 0.50000E+00, 0.50702E+02
 0.60000E+00, 0.53478E+02
 0.70000E+00, 0.59060E+02
 0.80000E+00, 0.68349E+02
 0.90000E+00, 0.79640E+02
 0.10000E+01, 0.95030E+02
 0.11000E+01, 0.12500E+03
 0.12000E+01, 0.17404E+03
 0.13000E+01, 0.23681E+03
 0.14000E+01, 0.31926E+03
 0.15000E+01, 0.41011E+03
 0.16000E+01, 0.48330E+03
 0.17000E+01, 0.54228E+03
 0.18000E+01, 0.58515E+03
 0.19000E+01, 0.60466E+03
 0.20000E+01, 0.61250E+03
 0.21000E+01, 0.61889E+03
 0.22000E+01, 0.62420E+03
 0.23000E+01, 0.62744E+03
 0.24000E+01, 0.62977E+03
 0.25000E+01, 0.63255E+03
 0.26000E+01, 0.64064E+03
 0.27000E+01, 0.69191E+03
 0.28000E+01, 0.73686E+03
