 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.45578E+02
 0.10000E+00, 0.45436E+02
 0.20000E+00, 0.45707E+02
 0.30000E+00, 0.46359E+02
 0.40000E+00, 0.47301E+02
 0.50000E+00, 0.48824E+02
 0.60000E+00, 0.51054E+02
 0.70000E+00, 0.55621E+02
 0.80000E+00, 0.64114E+02
 0.90000E+00, 0.74554E+02
 0.10000E+01, 0.91603E+02
 0.11000E+01, 0.12488E+03
 0.12000E+01, 0.18487E+03
 0.13000E+01, 0.26982E+03
 0.14000E+01, 0.35934E+03
 0.15000E+01, 0.43589E+03
 0.16000E+01, 0.49422E+03
 0.17000E+01, 0.53607E+03
 0.18000E+01, 0.56350E+03
 0.19000E+01, 0.57925E+03
 0.20000E+01, 0.58920E+03
 0.21000E+01, 0.59828E+03
 0.22000E+01, 0.60492E+03
 0.23000E+01, 0.60817E+03
 0.24000E+01, 0.61014E+03
 0.25000E+01, 0.61333E+03
 0.26000E+01, 0.62149E+03
 0.27000E+01, 0.65020E+03
 0.28000E+01, 0.67285E+03
