 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.62438E+02
 0.10000E+00, 0.61840E+02
 0.20000E+00, 0.61742E+02
 0.30000E+00, 0.62857E+02
 0.40000E+00, 0.64500E+02
 0.50000E+00, 0.67112E+02
 0.60000E+00, 0.71698E+02
 0.70000E+00, 0.79706E+02
 0.80000E+00, 0.91512E+02
 0.90000E+00, 0.10551E+03
 0.10000E+01, 0.12462E+03
 0.11000E+01, 0.15802E+03
 0.12000E+01, 0.20837E+03
 0.13000E+01, 0.26683E+03
 0.14000E+01, 0.34187E+03
 0.15000E+01, 0.42969E+03
 0.16000E+01, 0.50703E+03
 0.17000E+01, 0.57343E+03
 0.18000E+01, 0.64817E+03
 0.19000E+01, 0.71568E+03
 0.20000E+01, 0.74843E+03
 0.21000E+01, 0.76156E+03
 0.22000E+01, 0.77282E+03
 0.23000E+01, 0.78330E+03
 0.24000E+01, 0.79336E+03
 0.25000E+01, 0.80974E+03
 0.26000E+01, 0.83819E+03
 0.27000E+01, 0.91535E+03
 0.28000E+01, 0.97417E+03
