 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.33909E+02
 0.10000E+00, 0.34374E+02
 0.20000E+00, 0.35279E+02
 0.30000E+00, 0.36302E+02
 0.40000E+00, 0.37067E+02
 0.50000E+00, 0.38085E+02
 0.60000E+00, 0.40713E+02
 0.70000E+00, 0.44258E+02
 0.80000E+00, 0.48649E+02
 0.90000E+00, 0.55284E+02
 0.10000E+01, 0.65471E+02
 0.11000E+01, 0.84401E+02
 0.12000E+01, 0.13643E+03
 0.13000E+01, 0.22183E+03
 0.14000E+01, 0.30867E+03
 0.15000E+01, 0.37751E+03
 0.16000E+01, 0.42746E+03
 0.17000E+01, 0.45792E+03
 0.18000E+01, 0.46944E+03
 0.19000E+01, 0.47399E+03
 0.20000E+01, 0.47706E+03
 0.21000E+01, 0.47939E+03
 0.22000E+01, 0.48034E+03
 0.23000E+01, 0.48077E+03
 0.24000E+01, 0.48262E+03
 0.25000E+01, 0.48579E+03
 0.26000E+01, 0.49178E+03
 0.27000E+01, 0.51054E+03
 0.28000E+01, 0.52499E+03
