s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0007190E+001, 2.4933389E+002, 9.2396418E+001,-9.6363545E-001, 1.1153791E+002, 5.3213309E-003
 2.0003178E+001, 5.9658889E+002, 2.4785603E+002,-3.4703932E+000, 3.2408588E+002, 1.2797622E-002
 3.0005123E+001, 9.7922154E+002, 4.5208025E+002,-4.6113205E+000, 5.9165102E+002, 2.0984214E-002
 4.0009113E+001, 1.3756765E+003, 7.0471227E+002, 1.2181015E+001, 9.1308697E+002, 2.9368727E-002
 5.0001057E+001, 1.7336283E+003, 9.7677078E+002, 4.0374566E+001, 1.2431783E+003, 3.7143078E-002
 6.0009270E+001, 1.8671713E+003, 1.1437562E+003, 7.7729545E+001, 1.4537461E+003, 3.9421082E-002
 7.0003021E+001, 1.9072229E+003, 1.2206436E+003, 1.0808260E+002, 1.5454181E+003, 4.0339710E-002
 8.0009537E+001, 1.9646072E+003, 1.2873786E+003, 1.3151352E+002, 1.6239437E+003, 4.1263647E-002
 9.0001587E+001, 1.9832449E+003, 1.3282897E+003, 1.5443605E+002, 1.6697210E+003, 4.2189282E-002
 1.0000110E+002, 2.0337761E+003, 1.3840397E+003, 1.6652719E+002, 1.7223288E+003, 4.3113276E-002
 1.1000511E+002, 2.0764123E+003, 1.4267846E+003, 1.8031724E+002, 1.7684183E+003, 4.4032617E-002
 1.2000323E+002, 2.0862501E+003, 1.4542805E+003, 1.8662412E+002, 1.7949833E+003, 4.4299977E-002
 1.3000902E+002, 2.0029433E+003, 1.4039219E+003, 1.9256281E+002, 1.7363096E+003, 4.1912983E-002
 1.4000952E+002, 1.9182792E+003, 1.3400915E+003, 1.9970792E+002, 1.6691422E+003, 3.9690568E-002
 1.5000537E+002, 1.8627040E+003, 1.2976979E+003, 1.9850781E+002, 1.6118907E+003, 3.9433811E-002
 1.6000218E+002, 1.8921318E+003, 1.3069681E+003, 1.9462153E+002, 1.6183007E+003, 3.9389169E-002
 1.7000131E+002, 1.8701041E+003, 1.2963057E+003, 1.9835494E+002, 1.6029987E+003, 3.9344311E-002
 1.8000397E+002, 1.8540903E+003, 1.2861118E+003, 1.9167865E+002, 1.5898468E+003, 3.9299734E-002
 1.9000546E+002, 1.8697535E+003, 1.2974671E+003, 2.0016736E+002, 1.5977345E+003, 3.9255078E-002
 2.0000218E+002, 1.8978197E+003, 1.3080710E+003, 2.0246543E+002, 1.6083052E+003, 3.9210519E-002
 2.1000861E+002, 1.8603224E+003, 1.2901603E+003, 2.0616241E+002, 1.5894369E+003, 3.9165645E-002
 2.2000574E+002, 1.8504184E+003, 1.2845542E+003, 2.0433618E+002, 1.5797123E+003, 3.9121350E-002
 2.3000343E+002, 1.8417165E+003, 1.2834326E+003, 2.0658463E+002, 1.5739022E+003, 3.9076579E-002
 2.4000882E+002, 1.8782013E+003, 1.2988152E+003, 2.0934355E+002, 1.5910415E+003, 3.9031758E-002
 2.5000005E+002, 1.8458779E+003, 1.2779190E+003, 2.1324924E+002, 1.5661853E+003, 3.8987421E-002
 2.6000464E+002, 1.8560660E+003, 1.2867589E+003, 2.1600806E+002, 1.5802529E+003, 3.8942797E-002
 2.7000122E+002, 1.8544451E+003, 1.2849276E+003, 2.1410336E+002, 1.5694586E+003, 3.8898145E-002
 2.8000027E+002, 1.8372879E+003, 1.2788274E+003, 2.1477872E+002, 1.5609652E+003, 3.8853195E-002
 2.9000473E+002, 1.8497341E+003, 1.2803709E+003, 2.1779113E+002, 1.5645411E+003, 3.8808671E-002
 3.0000073E+002, 1.8619725E+003, 1.2836491E+003, 2.2103879E+002, 1.5724031E+003, 3.8763918E-002
 3.1000220E+002, 1.8361992E+003, 1.2766895E+003, 2.2325404E+002, 1.5612554E+003, 3.8719417E-002
 3.2000958E+002, 1.8536730E+003, 1.2876714E+003, 2.2238403E+002, 1.5697369E+003, 3.8674981E-002
 3.3000317E+002, 1.8155154E+003, 1.2655937E+003, 2.2150946E+002, 1.5381709E+003, 3.8630050E-002
 3.4000223E+002, 1.8420012E+003, 1.2723067E+003, 2.2328007E+002, 1.5460788E+003, 3.8451632E-002
 3.5000595E+002, 1.8071201E+003, 1.2495171E+003, 2.2961866E+002, 1.5223772E+003, 3.7479674E-002
 3.6000876E+002, 1.7299810E+003, 1.2072230E+003, 2.2197052E+002, 1.4764161E+003, 3.6376853E-002
 3.7000104E+002, 1.6989527E+003, 1.1698105E+003, 2.2144993E+002, 1.4311296E+003, 3.5274055E-002
 3.8000711E+002, 1.6268435E+003, 1.1193133E+003, 2.2086394E+002, 1.3778385E+003, 3.4166739E-002
 3.9000131E+002, 1.5880046E+003, 1.0859663E+003, 2.2201369E+002, 1.3377586E+003, 3.3058975E-002
 4.0000037E+002, 1.5207142E+003, 1.0452422E+003, 2.1559178E+002, 1.2887790E+003, 3.1960525E-002
