 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.57974E+02
 0.10000E+00, 0.58888E+02
 0.20000E+00, 0.61493E+02
 0.30000E+00, 0.64544E+02
 0.40000E+00, 0.68161E+02
 0.50000E+00, 0.72313E+02
 0.60000E+00, 0.76911E+02
 0.70000E+00, 0.82683E+02
 0.80000E+00, 0.90723E+02
 0.90000E+00, 0.10356E+03
 0.10000E+01, 0.12490E+03
 0.11000E+01, 0.15913E+03
 0.12000E+01, 0.20612E+03
 0.13000E+01, 0.26377E+03
 0.14000E+01, 0.33908E+03
 0.15000E+01, 0.41986E+03
 0.16000E+01, 0.49687E+03
 0.17000E+01, 0.56866E+03
 0.18000E+01, 0.61876E+03
 0.19000E+01, 0.64657E+03
 0.20000E+01, 0.66210E+03
 0.21000E+01, 0.67236E+03
 0.22000E+01, 0.67954E+03
 0.23000E+01, 0.68667E+03
 0.24000E+01, 0.69314E+03
 0.25000E+01, 0.69807E+03
 0.26000E+01, 0.70769E+03
 0.27000E+01, 0.76136E+03
 0.28000E+01, 0.80795E+03
