s,C,C,C,C,C,C,C,C,C,C
FDS Time,"TC01","TC02","TC03","TC04","TC05","TC06","TC07","TC08","TC09","TC10"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0010397E+001, 2.0000103E+001, 3.5457296E+001, 3.0329420E+001, 2.5851313E+001, 2.7495953E+001, 2.6865822E+001, 2.2291447E+001, 2.4064064E+001, 2.2171554E+001, 2.2885537E+001
 2.0001942E+001, 2.0000136E+001, 1.1042789E+002, 1.0632029E+002, 1.0182538E+002, 7.6127585E+001, 4.0750561E+001, 2.6343195E+001, 2.9257649E+001, 2.6201983E+001, 2.7076192E+001
 3.0001270E+001, 2.0000123E+001, 2.2781233E+002, 2.1952699E+002, 2.0905180E+002, 1.4763889E+002, 6.6220901E+001, 3.1166319E+001, 3.8495333E+001, 3.3246877E+001, 3.2394362E+001
 4.0005337E+001, 2.0000094E+001, 3.2268854E+002, 3.1264149E+002, 2.9229678E+002, 2.2556207E+002, 1.0617010E+002, 3.3919278E+001, 4.8895222E+001, 4.0356984E+001, 4.1545547E+001
 5.0002602E+001, 2.0000014E+001, 3.6789846E+002, 3.6330895E+002, 3.3524905E+002, 2.7381145E+002, 1.3674214E+002, 3.8751824E+001, 5.3792492E+001, 4.4221897E+001, 4.1965203E+001
 6.0002125E+001, 1.9999944E+001, 3.9595050E+002, 3.8933538E+002, 3.7383598E+002, 2.9772016E+002, 1.6164400E+002, 4.9244188E+001, 5.7374297E+001, 5.1063191E+001, 5.0197149E+001
 7.0009193E+001, 1.9999879E+001, 4.0023142E+002, 4.0179599E+002, 3.8842355E+002, 3.5498225E+002, 1.9914914E+002, 6.4640577E+001, 6.6231748E+001, 5.5812621E+001, 5.2312237E+001
 8.0002419E+001, 1.9999857E+001, 4.3039374E+002, 4.3127913E+002, 4.0844891E+002, 3.3963831E+002, 2.0342394E+002, 7.8064074E+001, 7.3846684E+001, 5.7840160E+001, 5.6447418E+001
 9.0008408E+001, 1.9999813E+001, 4.5451857E+002, 4.5398501E+002, 4.2688512E+002, 3.4760555E+002, 2.1864739E+002, 8.8576453E+001, 8.1301721E+001, 6.0326724E+001, 5.6980531E+001
 1.0000185E+002, 1.9999765E+001, 4.7123365E+002, 4.7110960E+002, 4.5413187E+002, 4.2851967E+002, 2.5546627E+002, 9.0899884E+001, 8.8933262E+001, 6.7311459E+001, 6.3877396E+001
 1.1000375E+002, 1.9999765E+001, 4.9783464E+002, 4.9659293E+002, 4.7708272E+002, 4.7653397E+002, 2.8073171E+002, 9.7992104E+001, 9.5540603E+001, 7.7294650E+001, 6.4477359E+001
 1.2000005E+002, 1.9999810E+001, 5.5634236E+002, 5.5038079E+002, 5.1574112E+002, 4.8290656E+002, 2.9014272E+002, 1.0900955E+002, 1.0970362E+002, 8.7133485E+001, 7.2482045E+001
 1.3000209E+002, 1.9999840E+001, 5.9127241E+002, 5.7539801E+002, 5.3997664E+002, 5.0704454E+002, 3.1934613E+002, 1.2707821E+002, 1.2021580E+002, 9.7556238E+001, 7.6606090E+001
 1.4000269E+002, 1.9999886E+001, 6.4490426E+002, 6.2154048E+002, 5.7506007E+002, 5.2451861E+002, 3.4593295E+002, 1.3525644E+002, 1.3082885E+002, 1.1603514E+002, 9.1549571E+001
 1.5000735E+002, 1.9999917E+001, 6.8650111E+002, 6.5346229E+002, 5.9593765E+002, 5.4367934E+002, 3.5856830E+002, 1.5064275E+002, 1.4947745E+002, 1.2754390E+002, 1.0017864E+002
 1.6000632E+002, 1.9999942E+001, 7.6156090E+002, 7.0783647E+002, 6.1305120E+002, 5.5579508E+002, 3.7516330E+002, 1.6233108E+002, 1.6281837E+002, 1.4149187E+002, 1.0361566E+002
 1.7000392E+002, 1.9999974E+001, 7.6132844E+002, 7.1640622E+002, 6.2199025E+002, 5.7872621E+002, 3.8375926E+002, 1.6772930E+002, 1.6863016E+002, 1.5716853E+002, 1.1354884E+002
 1.8000005E+002, 2.0000000E+001, 7.8143358E+002, 7.2480887E+002, 6.1010586E+002, 5.6375712E+002, 3.8461123E+002, 1.7778980E+002, 1.7541476E+002, 1.5301801E+002, 1.0921048E+002
 1.9000394E+002, 2.0000022E+001, 7.4334124E+002, 6.9770593E+002, 6.0807067E+002, 5.6374004E+002, 3.7363629E+002, 1.9158880E+002, 1.7561610E+002, 1.5887180E+002, 1.1361583E+002
 2.0000421E+002, 2.0000047E+001, 7.3880145E+002, 6.9706399E+002, 6.1081451E+002, 5.7369056E+002, 3.8787311E+002, 1.9206233E+002, 1.8216175E+002, 1.6443864E+002, 1.2228140E+002
 2.1000777E+002, 2.0000057E+001, 7.4511320E+002, 7.0117155E+002, 6.0615682E+002, 5.7070989E+002, 3.7589560E+002, 2.0043856E+002, 1.8161758E+002, 1.6339938E+002, 1.2235743E+002
 2.2000365E+002, 2.0000067E+001, 7.2916375E+002, 6.8359901E+002, 6.0174030E+002, 5.5851626E+002, 3.7131006E+002, 1.9653553E+002, 1.7449888E+002, 1.5846391E+002, 1.1650135E+002
 2.3000861E+002, 2.0000075E+001, 7.0086442E+002, 6.7153643E+002, 5.9832769E+002, 5.5493501E+002, 3.6732912E+002, 2.1600309E+002, 1.7576175E+002, 1.5462483E+002, 1.1745200E+002
 2.4000241E+002, 2.0000083E+001, 7.1331320E+002, 6.6497049E+002, 5.8850721E+002, 5.4426098E+002, 3.6112841E+002, 2.0545898E+002, 1.8160101E+002, 1.5843009E+002, 1.1144376E+002
 2.5000461E+002, 2.0000115E+001, 6.9958797E+002, 6.5078674E+002, 5.7307812E+002, 5.3940964E+002, 3.3914041E+002, 1.9925478E+002, 1.7623126E+002, 1.4963133E+002, 1.1082614E+002
 2.6000677E+002, 2.0000121E+001, 6.6183706E+002, 6.2902548E+002, 5.6209608E+002, 5.1626133E+002, 3.3723628E+002, 2.0922951E+002, 1.7103294E+002, 1.4960571E+002, 1.1365325E+002
 2.7000192E+002, 2.0000119E+001, 6.7359059E+002, 6.3237633E+002, 5.5441486E+002, 5.1467901E+002, 3.2830963E+002, 2.0127190E+002, 1.6647700E+002, 1.5227517E+002, 1.1158036E+002
 2.8000366E+002, 2.0000117E+001, 6.5306138E+002, 6.1578062E+002, 5.4012321E+002, 4.9296962E+002, 3.0953605E+002, 1.9580636E+002, 1.6960940E+002, 1.4148949E+002, 1.0942324E+002
 2.9000647E+002, 2.0000120E+001, 6.2112694E+002, 5.9610274E+002, 5.2934203E+002, 4.8888212E+002, 2.9542337E+002, 1.9636374E+002, 1.5895285E+002, 1.3586954E+002, 1.0887825E+002
 3.0000140E+002, 2.0000127E+001, 6.0785001E+002, 5.8562115E+002, 5.1802768E+002, 4.7038806E+002, 2.8756669E+002, 1.9665143E+002, 1.5793690E+002, 1.2765180E+002, 1.0956095E+002
 3.1000928E+002, 2.0000130E+001, 6.0197291E+002, 5.7060945E+002, 5.0755015E+002, 4.6204212E+002, 2.7488988E+002, 1.8987292E+002, 1.5547775E+002, 1.3673142E+002, 1.0554950E+002
 3.2000723E+002, 2.0000127E+001, 5.8876056E+002, 5.6178754E+002, 4.9518057E+002, 4.4423127E+002, 2.7594571E+002, 1.7412721E+002, 1.5018236E+002, 1.3055206E+002, 9.8522877E+001
 3.3000531E+002, 2.0000126E+001, 5.8250892E+002, 5.5441147E+002, 4.9021503E+002, 4.4036855E+002, 2.6649793E+002, 1.8314214E+002, 1.5067765E+002, 1.2569962E+002, 1.0559208E+002
 3.4000107E+002, 2.0000125E+001, 5.4784211E+002, 5.2546135E+002, 4.7663242E+002, 4.3131102E+002, 2.4715982E+002, 1.8902862E+002, 1.4350913E+002, 1.2146804E+002, 9.5988867E+001
 3.5000485E+002, 2.0000125E+001, 5.4401814E+002, 5.1718838E+002, 4.6322239E+002, 4.0463634E+002, 2.4284299E+002, 1.6951561E+002, 1.4068312E+002, 1.1685022E+002, 8.8709453E+001
 3.6000677E+002, 2.0000133E+001, 5.1083033E+002, 4.9456821E+002, 4.4871946E+002, 4.0269374E+002, 2.3441057E+002, 1.7924628E+002, 1.3093033E+002, 1.1603298E+002, 9.7549951E+001
 3.7000751E+002, 2.0000139E+001, 5.0322659E+002, 4.8385959E+002, 4.4025782E+002, 3.8779620E+002, 2.2557974E+002, 1.7143935E+002, 1.2788463E+002, 1.0804269E+002, 8.8579819E+001
 3.8000662E+002, 2.0000149E+001, 4.7974958E+002, 4.6547738E+002, 4.2241859E+002, 3.7526692E+002, 2.2721009E+002, 1.6157840E+002, 1.2040652E+002, 1.0493706E+002, 8.5687356E+001
 3.9000378E+002, 2.0000161E+001, 4.6687457E+002, 4.5350394E+002, 4.1205857E+002, 3.5680063E+002, 2.0453496E+002, 1.6046960E+002, 1.1520041E+002, 9.6674310E+001, 8.2989982E+001
 4.0000861E+002, 2.0000168E+001, 4.4935109E+002, 4.3238784E+002, 3.9604623E+002, 3.3532512E+002, 1.9836082E+002, 1.5886574E+002, 1.1013039E+002, 8.9240393E+001, 8.7498171E+001
