 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.36189E+02
 0.10000E+00, 0.36353E+02
 0.20000E+00, 0.36784E+02
 0.30000E+00, 0.37501E+02
 0.40000E+00, 0.38913E+02
 0.50000E+00, 0.40487E+02
 0.60000E+00, 0.41974E+02
 0.70000E+00, 0.45392E+02
 0.80000E+00, 0.52137E+02
 0.90000E+00, 0.60626E+02
 0.10000E+01, 0.72502E+02
 0.11000E+01, 0.94559E+02
 0.12000E+01, 0.13544E+03
 0.13000E+01, 0.20330E+03
 0.14000E+01, 0.29669E+03
 0.15000E+01, 0.38240E+03
 0.16000E+01, 0.43691E+03
 0.17000E+01, 0.46888E+03
 0.18000E+01, 0.48394E+03
 0.19000E+01, 0.48851E+03
 0.20000E+01, 0.48934E+03
 0.21000E+01, 0.48951E+03
 0.22000E+01, 0.49016E+03
 0.23000E+01, 0.49220E+03
 0.24000E+01, 0.49516E+03
 0.25000E+01, 0.49759E+03
 0.26000E+01, 0.50188E+03
 0.27000E+01, 0.52462E+03
 0.28000E+01, 0.54402E+03
