s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0244880E+000, 3.4163008E+001, 1.1052514E+001, 1.5179721E-001, 9.5353441E+000, 7.1032828E-004
 1.0005927E+001, 8.5906634E+001, 2.7585116E+001,-2.4222173E-002, 3.1491465E+001, 1.8424756E-003
 1.5029728E+001, 1.4346312E+002, 4.6384806E+001,-5.8652896E-001, 5.7730532E+001, 3.0387250E-003
 2.0022915E+001, 2.0062538E+002, 6.5415747E+001,-1.1001810E+000, 8.4730518E+001, 4.2470232E-003
 2.5004871E+001, 2.5685377E+002, 8.4393952E+001, 5.7403604E-001, 1.1603519E+002, 5.4355871E-003
 3.0009108E+001, 3.1385328E+002, 1.0674188E+002, 1.1161401E+001, 1.5566279E+002, 6.6417225E-003
 3.5010956E+001, 3.7092050E+002, 1.3258646E+002, 1.9397228E+001, 2.0173000E+002, 7.8474199E-003
 4.0013256E+001, 4.2714966E+002, 1.6280782E+002, 2.8209244E+001, 2.5185779E+002, 9.0513331E-003
 4.5017403E+001, 4.8370511E+002, 1.9435094E+002, 2.8799156E+001, 3.0183533E+002, 1.0267789E-002
 5.0005901E+001, 5.3927092E+002, 2.2505514E+002, 3.0766106E+001, 3.4991047E+002, 1.1448135E-002
 5.5012718E+001, 5.8828235E+002, 2.5698486E+002, 3.2511398E+001, 3.9814350E+002, 1.2463179E-002
 6.0019688E+001, 6.2675488E+002, 2.8696432E+002, 3.5593753E+001, 4.4265344E+002, 1.3268337E-002
 6.5010658E+001, 6.6561536E+002, 3.1457171E+002, 3.8242074E+001, 4.8135027E+002, 1.4068419E-002
 7.0016174E+001, 7.0150750E+002, 3.4074725E+002, 4.0328942E+001, 5.1860615E+002, 1.4869096E-002
 7.5003990E+001, 7.4137595E+002, 3.6882686E+002, 4.4812352E+001, 5.5670601E+002, 1.5677596E-002
 8.0002220E+001, 7.7890546E+002, 3.9433544E+002, 4.5365697E+001, 5.9206070E+002, 1.6478290E-002
 8.5002014E+001, 8.1692470E+002, 4.2150831E+002, 5.0731865E+001, 6.2651615E+002, 1.7275770E-002
 9.0013260E+001, 8.5557979E+002, 4.5121791E+002, 5.3625436E+001, 6.6604495E+002, 1.8087996E-002
 9.5005829E+001, 8.9091493E+002, 4.7804753E+002, 5.5098189E+001, 7.0072271E+002, 1.8890607E-002
 1.0001441E+002, 9.2344235E+002, 5.0510168E+002, 5.7624371E+001, 7.3556504E+002, 1.9696398E-002
 1.0500880E+002, 9.4444052E+002, 5.2481938E+002, 6.0869503E+001, 7.6233692E+002, 2.0599714E-002
 1.1002158E+002, 9.9936833E+002, 5.5219346E+002, 6.5845727E+001, 7.9216044E+002, 2.1596625E-002
 1.1501431E+002, 1.0383246E+003, 5.8002386E+002, 6.6433797E+001, 8.2575073E+002, 2.2610417E-002
 1.2000459E+002, 1.0898083E+003, 6.1875840E+002, 7.0990817E+001, 8.7986679E+002, 2.3617906E-002
 1.2502187E+002, 1.1004667E+003, 6.2243823E+002, 7.4476442E+001, 8.7773223E+002, 2.4442348E-002
 1.3001491E+002, 1.1620702E+003, 6.6128544E+002, 8.3870684E+001, 9.2827039E+002, 2.5115999E-002
 1.3501741E+002, 1.1906357E+003, 6.8374502E+002, 9.1409340E+001, 9.6000252E+002, 2.5789641E-002
 1.4001401E+002, 1.2027327E+003, 6.8993184E+002, 8.8503162E+001, 9.6546718E+002, 2.6459789E-002
 1.4501527E+002, 1.2637657E+003, 7.1876614E+002, 1.0538887E+002, 9.9846629E+002, 2.7128957E-002
 1.5001654E+002, 1.3052733E+003, 7.4747078E+002, 1.0600655E+002, 1.0371177E+003, 2.7798995E-002
 1.5502151E+002, 1.3018081E+003, 7.5932369E+002, 1.0776540E+002, 1.0602297E+003, 2.8386076E-002
 1.6002388E+002, 1.3603297E+003, 7.8769501E+002, 1.1208678E+002, 1.0865231E+003, 2.8886917E-002
 1.6500084E+002, 1.3425101E+003, 7.9134945E+002, 1.2415095E+002, 1.0960177E+003, 2.9388281E-002
