 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.36250E+02
 0.10000E+00, 0.36516E+02
 0.20000E+00, 0.37100E+02
 0.30000E+00, 0.37432E+02
 0.40000E+00, 0.38038E+02
 0.50000E+00, 0.39387E+02
 0.60000E+00, 0.41173E+02
 0.70000E+00, 0.45113E+02
 0.80000E+00, 0.52038E+02
 0.90000E+00, 0.59507E+02
 0.10000E+01, 0.69020E+02
 0.11000E+01, 0.89802E+02
 0.12000E+01, 0.13951E+03
 0.13000E+01, 0.21364E+03
 0.14000E+01, 0.29048E+03
 0.15000E+01, 0.36208E+03
 0.16000E+01, 0.42400E+03
 0.17000E+01, 0.46289E+03
 0.18000E+01, 0.47661E+03
 0.19000E+01, 0.48066E+03
 0.20000E+01, 0.48248E+03
 0.21000E+01, 0.48350E+03
 0.22000E+01, 0.48445E+03
 0.23000E+01, 0.48556E+03
 0.24000E+01, 0.48641E+03
 0.25000E+01, 0.48649E+03
 0.26000E+01, 0.48843E+03
 0.27000E+01, 0.50785E+03
 0.28000E+01, 0.52514E+03
