s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0006804E+001, 4.4752671E+001, 1.5743390E+001,-1.2767853E-002, 1.5795216E+001, 1.1622785E-003
 2.0016933E+001, 5.3324335E+001, 1.8835718E+001, 8.1044563E+000, 2.1430797E+001, 1.6846903E-003
 3.0011505E+001, 5.7364088E+001, 2.0493093E+001, 1.6797157E+001, 2.4018190E+001, 1.8499274E-003
 4.0007267E+001, 7.6978640E+001, 2.7609750E+001, 2.0716646E+001, 3.1955182E+001, 2.4193258E-003
 5.0008507E+001, 1.0605617E+002, 3.8322931E+001, 3.3013287E+001, 4.4516508E+001, 3.2928991E-003
 6.0005081E+001, 1.3076335E+002, 4.7887369E+001, 4.2591724E+001, 5.6364304E+001, 4.0448751E-003
 7.0003822E+001, 1.6135105E+002, 5.9805142E+001, 5.8607347E+001, 7.0040872E+001, 4.8820866E-003
 8.0007332E+001, 1.8243675E+002, 6.8267733E+001, 6.7724626E+001, 7.9921287E+001, 5.6259020E-003
 9.0008316E+001, 2.2145460E+002, 8.4018308E+001, 8.3267373E+001, 9.7363181E+001, 6.5893514E-003
 1.0000626E+002, 2.3032176E+002, 8.8634340E+001, 9.4239415E+001, 1.0296320E+002, 6.7555187E-003
 1.1000191E+002, 2.1882949E+002, 8.4926452E+001, 9.4638573E+001, 9.9310777E+001, 6.4105277E-003
 1.2000879E+002, 2.2549806E+002, 8.7079387E+001, 9.6484754E+001, 9.9938140E+001, 6.9159462E-003
 1.3000343E+002, 2.6204222E+002, 1.0159721E+002, 1.0196189E+002, 1.1410477E+002, 7.9590126E-003
 1.4000105E+002, 2.8869481E+002, 1.1436614E+002, 1.1596195E+002, 1.2895014E+002, 8.4945798E-003
 1.5001306E+002, 2.5378973E+002, 9.9620443E+001, 1.1394233E+002, 1.1347882E+002, 7.8839876E-003
 1.6000777E+002, 3.0030909E+002, 1.1674467E+002, 1.2144713E+002, 1.2969293E+002, 9.4647972E-003
 1.7000586E+002, 3.6284089E+002, 1.4411072E+002, 1.4288460E+002, 1.5681847E+002, 1.1102195E-002
 1.8000151E+002, 4.0534477E+002, 1.6475865E+002, 1.6131894E+002, 1.7644604E+002, 1.2359474E-002
 1.9001262E+002, 3.4856422E+002, 1.4166392E+002, 1.6004156E+002, 1.5513599E+002, 1.1072130E-002
 2.0000098E+002, 3.3275847E+002, 1.3219279E+002, 1.4978674E+002, 1.4283882E+002, 1.0926149E-002
 2.1000114E+002, 4.1199261E+002, 1.6419533E+002, 1.6782782E+002, 1.7282437E+002, 1.3421761E-002
 2.2000348E+002, 5.0448674E+002, 2.0654687E+002, 1.9177722E+002, 2.1317760E+002, 1.6182716E-002
 2.3000949E+002, 5.5940847E+002, 2.3482627E+002, 2.2681409E+002, 2.3965731E+002, 1.7807144E-002
 2.4000305E+002, 6.2468031E+002, 2.6433232E+002, 2.4997616E+002, 2.6336187E+002, 1.9461784E-002
 2.5001019E+002, 7.4224749E+002, 3.2460134E+002, 2.8104429E+002, 3.1351454E+002, 2.2604019E-002
 2.6000967E+002, 8.1228110E+002, 3.6643909E+002, 3.1162091E+002, 3.4883786E+002, 2.5113730E-002
 2.7000916E+002, 8.3891294E+002, 3.7336908E+002, 3.3790820E+002, 3.4797797E+002, 2.6316606E-002
 2.8000681E+002, 9.1064381E+002, 4.0593641E+002, 3.7110059E+002, 3.6919850E+002, 2.8567230E-002
 2.9001135E+002, 9.7552566E+002, 4.4294253E+002, 3.8683768E+002, 3.9926483E+002, 3.0613380E-002
 3.0000107E+002, 1.0248066E+003, 4.6098766E+002, 4.0871701E+002, 4.0844680E+002, 3.2300639E-002
 3.1000931E+002, 1.2260566E+003, 5.5652262E+002, 4.8671220E+002, 4.8299420E+002, 3.9326316E-002
 3.2000565E+002, 1.4023806E+003, 6.3472217E+002, 5.7516017E+002, 5.4152259E+002, 4.6525640E-002
 3.3000275E+002, 1.9003433E+003, 8.8397732E+002, 7.4559106E+002, 7.2022923E+002, 6.3049223E-002
