 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.83266E+02
 0.10000E+00, 0.82747E+02
 0.20000E+00, 0.84011E+02
 0.30000E+00, 0.88041E+02
 0.40000E+00, 0.92699E+02
 0.50000E+00, 0.98000E+02
 0.60000E+00, 0.10475E+03
 0.70000E+00, 0.11441E+03
 0.80000E+00, 0.12739E+03
 0.90000E+00, 0.14635E+03
 0.10000E+01, 0.17979E+03
 0.11000E+01, 0.22837E+03
 0.12000E+01, 0.27899E+03
 0.13000E+01, 0.33367E+03
 0.14000E+01, 0.41290E+03
 0.15000E+01, 0.52533E+03
 0.16000E+01, 0.64553E+03
 0.17000E+01, 0.74440E+03
 0.18000E+01, 0.80734E+03
 0.19000E+01, 0.83394E+03
 0.20000E+01, 0.84378E+03
 0.21000E+01, 0.84845E+03
 0.22000E+01, 0.85341E+03
 0.23000E+01, 0.85926E+03
 0.24000E+01, 0.86526E+03
 0.25000E+01, 0.86924E+03
 0.26000E+01, 0.88618E+03
 0.27000E+01, 0.94334E+03
 0.28000E+01, 0.98375E+03
