 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.39952E+02
 0.10000E+00, 0.40781E+02
 0.20000E+00, 0.42209E+02
 0.30000E+00, 0.43413E+02
 0.40000E+00, 0.43978E+02
 0.50000E+00, 0.44197E+02
 0.60000E+00, 0.44837E+02
 0.70000E+00, 0.46317E+02
 0.80000E+00, 0.49823E+02
 0.90000E+00, 0.56863E+02
 0.10000E+01, 0.67642E+02
 0.11000E+01, 0.86725E+02
 0.12000E+01, 0.12512E+03
 0.13000E+01, 0.18403E+03
 0.14000E+01, 0.25238E+03
 0.15000E+01, 0.32069E+03
 0.16000E+01, 0.38873E+03
 0.17000E+01, 0.45656E+03
 0.18000E+01, 0.51005E+03
 0.19000E+01, 0.53868E+03
 0.20000E+01, 0.55775E+03
 0.21000E+01, 0.57579E+03
 0.22000E+01, 0.58427E+03
 0.23000E+01, 0.58903E+03
 0.24000E+01, 0.59564E+03
 0.25000E+01, 0.59955E+03
 0.26000E+01, 0.60792E+03
 0.27000E+01, 0.66663E+03
 0.28000E+01, 0.71783E+03
