 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.52477E+02
 0.10000E+00, 0.52191E+02
 0.20000E+00, 0.51730E+02
 0.30000E+00, 0.51637E+02
 0.40000E+00, 0.51887E+02
 0.50000E+00, 0.52667E+02
 0.60000E+00, 0.54335E+02
 0.70000E+00, 0.58364E+02
 0.80000E+00, 0.66363E+02
 0.90000E+00, 0.77066E+02
 0.10000E+01, 0.89619E+02
 0.11000E+01, 0.11638E+03
 0.12000E+01, 0.17259E+03
 0.13000E+01, 0.24606E+03
 0.14000E+01, 0.32985E+03
 0.15000E+01, 0.41680E+03
 0.16000E+01, 0.50094E+03
 0.17000E+01, 0.59249E+03
 0.18000E+01, 0.66877E+03
 0.19000E+01, 0.70931E+03
 0.20000E+01, 0.73488E+03
 0.21000E+01, 0.76010E+03
 0.22000E+01, 0.77703E+03
 0.23000E+01, 0.78974E+03
 0.24000E+01, 0.79921E+03
 0.25000E+01, 0.81031E+03
 0.26000E+01, 0.83357E+03
 0.27000E+01, 0.90814E+03
 0.28000E+01, 0.96845E+03
