s,kW,kW,kW,kW,kg/s
FDS_HRR_Time,HRR,RAD_LOSS,CONV_LOSS,COND_LOSS,BURN_RATE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1785113E-001, 0.0000000E+000, 0.0000000E+000,-2.0079271E-007, 1.8815609E-012, 1.2405562E-003
 2.3570226E-001, 3.3650343E-001, 1.1777620E-001, 2.1453895E-005, 6.1887792E-005, 2.4474326E-003
 3.5355338E-001, 1.1979327E+000, 4.1927645E-001, 1.0856391E-003, 6.7452207E-004, 3.5905102E-003
 4.7140452E-001, 3.0709111E+000, 1.0711459E+000,-2.5243160E-003, 2.4304514E-001, 4.6460203E-003
 5.8925563E-001, 1.0343382E+001, 3.6201839E+000, 3.6272292E-002, 2.5391383E-001, 5.5980658E-003
 7.0710677E-001, 2.9519300E+001, 1.0331755E+001, 7.4346959E-001, 3.6127321E-001, 6.4387836E-003
 8.2495791E-001, 4.7794095E+001, 1.6459529E+001, 8.2320842E-001, 4.0337470E+000, 7.1674117E-003
 9.4280905E-001, 6.8539925E+001, 2.3988974E+001,-3.1506772E+000, 5.3669704E+000, 7.7887112E-003
 1.0070291E+000, 7.2447975E+001, 2.5565454E+001,-8.2910832E+000, 5.5557529E+000, 8.0850295E-003
 1.0641652E+000, 8.2811088E+001, 2.8667699E+001,-1.0324717E+001, 1.2101552E+001, 8.3253226E-003
 1.1056917E+000, 9.2906601E+001, 3.3202535E+001,-1.3334734E+001, 1.2094471E+001, 8.4869253E-003
 1.2013381E+000, 1.1181711E+002, 4.0506885E+001,-2.0372119E+001, 1.8001118E+001, 8.7211718E-003
 1.3223839E+000, 1.4096712E+002, 5.1360453E+001,-2.2618587E+001, 2.8080716E+001, 9.0375190E-003
 1.4068525E+000, 1.7518126E+002, 6.4130692E+001,-4.1755281E+000, 3.7832846E+001, 9.3035566E-003
 1.5093122E+000, 2.0039072E+002, 7.6042128E+001, 4.0613658E+000, 4.5826288E+001, 9.5107948E-003
 1.6172576E+000, 1.9609412E+002, 7.8977161E+001,-1.9795896E+000, 5.6372997E+001, 9.7000683E-003
 1.7011180E+000, 1.8930911E+002, 7.5527730E+001,-8.7985219E-001, 6.7363407E+001, 9.8489155E-003
 1.8128347E+000, 1.9737849E+002, 7.3978675E+001,-1.2313961E+000, 7.6103361E+001, 9.9718194E-003
 1.9085920E+000, 2.2055543E+002, 8.1201786E+001,-2.8420553E+000, 8.1296232E+001, 1.0082472E-002
 2.0047784E+000, 2.6549183E+002, 9.5706358E+001, 3.4502061E-001, 8.7015453E+001, 1.0165953E-002
 2.1063566E+000, 3.0882085E+002, 1.0959498E+002,-1.6408556E-001, 9.7301197E+001, 1.0238513E-002
 2.2051518E+000, 3.4693830E+002, 1.2323383E+002,-1.5873786E+000, 1.1172971E+002, 1.0298182E-002
 2.3039472E+000, 3.8903077E+002, 1.3729490E+002,-1.6726785E+000, 1.2676347E+002, 1.0347305E-002
 2.4027424E+000, 4.3100721E+002, 1.5241011E+002,-1.8614115E+000, 1.4213076E+002, 1.0387795E-002
 2.5015378E+000, 4.4465264E+002, 1.5838946E+002,-4.6185643E+000, 1.5701378E+002, 1.0421142E-002
 2.6003330E+000, 4.4766796E+002, 1.6025732E+002,-5.3811735E+000, 1.6772684E+002, 1.0448591E-002
 2.7114778E+000, 4.3951790E+002, 1.5441350E+002,-5.7574519E+000, 1.7256176E+002, 1.0472398E-002
 2.8102729E+000, 4.4279744E+002, 1.5597274E+002,-2.9900788E+000, 1.7377080E+002, 1.0491816E-002
 2.9090683E+000, 4.2159476E+002, 1.4889836E+002,-4.9672869E+000, 1.7397091E+002, 1.0506710E-002
 3.0078635E+000, 3.7831829E+002, 1.3657103E+002,-5.5821932E+000, 1.7101972E+002, 1.0518949E-002
 3.1004841E+000, 3.5058497E+002, 1.2495250E+002,-5.4446018E+000, 1.6378939E+002, 1.0528686E-002
 3.2091589E+000, 3.3252800E+002, 1.1939182E+002,-7.0469403E+000, 1.5433729E+002, 1.0537206E-002
 3.3042493E+000, 3.2426507E+002, 1.1580427E+002,-7.3009648E-001, 1.4656405E+002, 1.0544206E-002
