 Z,TEMPERATURE
 m,C
 0.00000E+00, 0.64470E+02
 0.10000E+00, 0.63332E+02
 0.20000E+00, 0.62365E+02
 0.30000E+00, 0.63748E+02
 0.40000E+00, 0.66009E+02
 0.50000E+00, 0.69670E+02
 0.60000E+00, 0.75770E+02
 0.70000E+00, 0.82550E+02
 0.80000E+00, 0.91273E+02
 0.90000E+00, 0.10333E+03
 0.10000E+01, 0.12059E+03
 0.11000E+01, 0.15227E+03
 0.12000E+01, 0.19928E+03
 0.13000E+01, 0.26201E+03
 0.14000E+01, 0.34425E+03
 0.15000E+01, 0.43424E+03
 0.16000E+01, 0.51880E+03
 0.17000E+01, 0.58816E+03
 0.18000E+01, 0.63973E+03
 0.19000E+01, 0.67500E+03
 0.20000E+01, 0.69708E+03
 0.21000E+01, 0.71178E+03
 0.22000E+01, 0.72551E+03
 0.23000E+01, 0.74311E+03
 0.24000E+01, 0.76028E+03
 0.25000E+01, 0.77117E+03
 0.26000E+01, 0.78812E+03
 0.27000E+01, 0.85295E+03
 0.28000E+01, 0.90409E+03
